table,source_group,role,specimen_code,species_as_published,structure,measure,unit,value,percent_value,n,mean,sd,se,minimum,maximum,median,note
Table1,Armstrong_1979,primary,Hylo.-s,Hylobates sp.,LGB,volume,mm3,17.8,4.8,,,,,,,,Percent of total thalamus.
Table1,Armstrong_1979,primary,Hylo.-s,Hylobates sp.,MGBp,volume,mm3,7.1,1.9,,,,,,,,Percent of total thalamus.
Table1,Armstrong_1979,primary,Hylo.-s,Hylobates sp.,VB,volume,mm3,41.2,11.2,,,,,,,,Percent of total thalamus.
Table1,Armstrong_1979,primary,Hylo.-h,Hylobates sp.,LGB,volume,mm3,21,5.6,,,,,,,,Percent of total thalamus.
Table1,Armstrong_1979,primary,Hylo.-h,Hylobates sp.,MGBp,volume,mm3,8.3,2.2,,,,,,,,Percent of total thalamus.
Table1,Armstrong_1979,primary,Hylo.-h,Hylobates sp.,VB,volume,mm3,37.5,10.2,,,,,,,,Percent of total thalamus.
Table1,Armstrong_1979,primary,H. lar-t,Hylobates lar,LGB,volume,mm3,27.1,4.7,,,,,,,,Percent of total thalamus.
Table1,Armstrong_1979,primary,H. lar-t,Hylobates lar,MGBp,volume,mm3,11.8,2.1,,,,,,,,Percent of total thalamus.
Table1,Armstrong_1979,primary,H. lar-t,Hylobates lar,VB,volume,mm3,62.4,10.8,,,,,,,,Percent of total thalamus.
Table1,Armstrong_1979,primary,Gorilla g.,Gorilla gorilla,LGB,volume,mm3,51,3.2,,,,,,,,Percent of total thalamus.
Table1,Armstrong_1979,primary,Gorilla g.,Gorilla gorilla,MGBp,volume,mm3,29,1.8,,,,,,,,Percent of total thalamus.
Table1,Armstrong_1979,primary,Gorilla g.,Gorilla gorilla,VB,volume,mm3,178.9,11.2,,,,,,,,Percent of total thalamus.
Table1,Armstrong_1979,primary,Pan t.,Pan troglodytes,LGB,volume,mm3,56.3,3.8,,,,,,,,Percent of total thalamus.
Table1,Armstrong_1979,primary,Pan t.,Pan troglodytes,MGBp,volume,mm3,28,1.9,,,,,,,,Percent of total thalamus.
Table1,Armstrong_1979,primary,Pan t.,Pan troglodytes,VB,volume,mm3,144.8,9.9,,,,,,,,Percent of total thalamus.
Table1,Armstrong_1979,primary,Homo s.-s,Homo sapiens,LGB,volume,mm3,69.1,1.6,,,,,,,,Percent of total thalamus.
Table1,Armstrong_1979,primary,Homo s.-s,Homo sapiens,MGBp,volume,mm3,71.2,1.7,,,,,,,,Percent of total thalamus.
Table1,Armstrong_1979,primary,Homo s.-s,Homo sapiens,VB,volume,mm3,300.3,7.1,,,,,,,,Percent of total thalamus.
Table1,Armstrong_1979,primary,Homo s.-t,Homo sapiens,LGB,volume,mm3,78,2.3,,,,,,,,Percent of total thalamus.
Table1,Armstrong_1979,primary,Homo s.-t,Homo sapiens,MGBp,volume,mm3,46.6,1.4,,,,,,,,Percent of total thalamus.
Table1,Armstrong_1979,primary,Homo s.-t,Homo sapiens,VB,volume,mm3,273.1,8.1,,,,,,,,Percent of total thalamus.
Table1,Hopf_1965,secondary,Hopf:Pongo p.,Pongo p.,LGB,volume,mm3,165,4,,,,,,,,Literature-comparison value.
Table1,Hopf_1965,secondary,Hopf:Pongo p.,Pongo p.,MGBp,volume,mm3,50,1.1,,,,,,,,Literature-comparison value.
Table1,Hopf_1965,secondary,Hopf:Homo S.,Homo S.,LGB,volume,mm3,160,1.7,,,,,,,,Literature-comparison value.
Table1,Hopf_1965,secondary,Hopf:Homo S.,Homo S.,MGBp,volume,mm3,105,1.1,,,,,,,,Literature-comparison value.
Table1,Solnitzky_1945,secondary,Solnitzky:Pan t.,Pan t.,LGB,volume,mm3,61.9,,,,,,,,,Literature-comparison value.
Table1,Solnitzky_1945,secondary,Solnitzky:Homo s.,Homo s.,LGB,volume,mm3,125.2,,,,,,,,,Literature-comparison value.
Table1,Chacko_1948,secondary,Chacko:Homo s.,Homo s.,LGB,volume,mm3,60.6,,,,,,,,,Literature-comparison value.
Table1,Blinkov_Zvorykin_1950,secondary,Blinkov:Hylobates,Hylobates,MGB_p_plus_m,volume,mm3,12.2,,,,,,,,,Literature-comparison value; MGBp + MGBm rather than MGBp.
Table1,Blinkov_Zvorykin_1950,secondary,Blinkov:Pongo,Pongo,MGB_p_plus_m,volume,mm3,33.9,,,,,,,,,Literature-comparison value; MGBp + MGBm rather than MGBp.
Table1,Blinkov_Zvorykin_1950,secondary,Blinkov:Pan,Pan,MGB_p_plus_m,volume,mm3,36.5,,,,,,,,,Literature-comparison value; MGBp + MGBm rather than MGBp.
Table1,Blinkov_Zvorykin_1950,secondary,Blinkov:Homo s.,Homo s.,MGB_p_plus_m,volume,mm3,67.9,,,,,,,,,"Mean of 10 hemispheres; MGBp + MGBm rather than MGBp."
Table2,Armstrong_1979,primary,Hylo.-s,Hylobates sp.,MGBp,neuronal_density,neurons_per_0.01_mm3,,,13,532.1,108.9,30.2,354.2,777.8,503.5,
Table2,Armstrong_1979,primary,Hylo.-h,Hylobates sp.,MGBp,neuronal_density,neurons_per_0.01_mm3,,,14,479,142.5,38.1,222.2,676.2,518,
Table2,Armstrong_1979,primary,H. lar-t,Hylobates lar,MGBp,neuronal_density,neurons_per_0.01_mm3,,,16,345.1,89,22.1,193.3,608.3,330.8,
Table2,Armstrong_1979,primary,Gorilla g.,Gorilla gorilla,MGBp,neuronal_density,neurons_per_0.01_mm3,,,24,243.9,82.9,16.9,64.7,418.7,245.1,
