"specimen_row","Species","Species_Barger2012","Common_name_Barger2012","Sex","Age_yr","Age_Barger2012","Hemisphere","collection_key","collection_note"
1,"Homo sapiens","Homo sapiens b","Human","M",11,"11","Left","b","Specimen from the C.M.S. collection."
2,"Homo sapiens","Homo sapiens b","Human","M",14,"14","Right","b","Specimen from the C.M.S. collection."
3,"Homo sapiens","Homo sapiens b","Human","M",17,"17","Left","b","Specimen from the C.M.S. collection."
4,"Homo sapiens","Homo sapiens b","Human","M",18,"18","Left","b","Specimen from the C.M.S. collection."
5,"Homo sapiens","Homo sapiens b","Human","M",24,"24","Right","b","Specimen from the C.M.S. collection."
6,"Homo sapiens","Homo sapiens b","Human","M",25,"25","Left","b","Specimen from the C.M.S. collection."
7,"Homo sapiens","Homo sapiens b","Human","M",27,"27","Right","b","Specimen from the C.M.S. collection."
8,"Homo sapiens","Homo sapiens b","Human","M",27,"27","Left","b","Specimen from the C.M.S. collection."
9,"Homo sapiens","Homo sapiens b","Human","M",32,"32","Left","b","Specimen from the C.M.S. collection."
10,"Homo sapiens","Homo sapiens b","Human","M",44,"44","Left","b","Specimen from the C.M.S. collection."
11,"Homo sapiens","Homo sapiens c","Human","M",75,"75","Left","c","Specimen from the K.S. collection."
12,"Pan troglodytes","Pan troglodytes a","Common chimpanzee","F",2,"2","Left","a","New histological series processed by N.B."
13,"Pan troglodytes","Pan troglodytes c","Common chimpanzee","F",24,"24","Left","c","Specimen from the K.S. collection."
14,"Pan troglodytes","Pan troglodytes a","Common chimpanzee","F",27,"27","Left","a","New histological series processed by N.B."
15,"Pan troglodytes","Pan troglodytes a","Common chimpanzee","F",42,"42","Left","a","New histological series processed by N.B."
16,"Pan troglodytes","Pan troglodytes c","Common chimpanzee","F",,"Adult","Left","c","Specimen from the K.S. collection."
17,"Pan paniscus","Pan paniscus c","Bonobo","F",2,"2","Left","c","Specimen from the K.S. collection."
18,"Pan paniscus","Pan paniscus c","Bonobo","F",11,"11","Left","c","Specimen from the K.S. collection."
19,"Pan paniscus","Pan paniscus d","Bonobo","F",25,"25","Left","d","Specimen from the J.M.A. collection."
20,"Pan paniscus","Pan paniscus d","Bonobo","M",,"Adult","Right","d","Specimen from the J.M.A. collection."
21,"Gorilla gorilla gorilla","Gorilla gorilla gorilla a","Western lowland gorilla","M",10,"10","Right","a","New histological series processed by N.B."
22,"Gorilla gorilla gorilla","Gorilla gorilla gorilla c","Western lowland gorilla","F",20,"20","Left","c","Specimen from the K.S. collection."
23,"Gorilla gorilla gorilla","Gorilla gorilla gorilla a,f","Western lowland gorilla","M",22,"22","Left","a,f","New histological series processed by N.B. Tissue provided by C.C.S. and P.R.H.; specimen sectioned at 40 microns."
24,"Gorilla gorilla gorilla","Gorilla gorilla gorilla a","Western lowland gorilla","M",34,"34","Right","a","New histological series processed by N.B."
25,"Gorilla gorilla gorilla","Gorilla gorilla gorilla a","Western lowland gorilla","F",50,"50","Right","a","New histological series processed by N.B."
26,"Pongo pygmaeus","Pongo pygmaeus c","Orangutan","M",17,"17","Left","c","Specimen from the K.S. collection."
27,"Pongo pygmaeus","Pongo pygmaeus a","Orangutan","F",23,"23","Right","a","New histological series processed by N.B."
28,"Pongo pygmaeus","Pongo pygmaeus c","Orangutan","M",34,"34","Left","c","Specimen from the K.S. collection."
29,"Pongo pygmaeus","Pongo pygmaeus c","Orangutan","F",,"Adult","Right","c","Specimen from the K.S. collection."
30,"Hylobates muelleri","Hylobates muelleri a,f","Müller's Bornean gibbon","M",19,"19","Left","a,f","New histological series processed by N.B. Tissue provided by C.C.S. and P.R.H.; specimen sectioned at 40 microns."
31,"Hylobates concolor","Hylobates concolor c","White-cheeked gibbon","F",22,"22","Right","c","Specimen from the K.S. collection."
32,"Hylobates lar","Hylobates lar c","White-handed gibbon","F",,"Adult","Right","c","Specimen from the K.S. collection."
33,"Macaca fascicularis","Macaca fascicularis e","Long-tailed macaque","M",4,"4","Left","e","Specimen from the J.A.B. collection."
34,"Macaca fascicularis","Macaca fascicularis e","Long-tailed macaque","M",5,"5","Left","e","Specimen from the J.A.B. collection."
35,"Macaca fascicularis","Macaca fascicularis e","Long-tailed macaque","M",5,"5","Left","e","Specimen from the J.A.B. collection."
