"species_printed","is_header","source_pdf_page","n","OBL","MES","CER","DIE","TEL","species_row"
"PTEROPODIDAE","TRUE","56","","","","","","","1"
"  PTEROPODINAE","TRUE","56","","","","","","","2"
"    Eidolon helvum","","56","3","273.7","200.7","463.3","366.5","2714","3"
"    Rousettus aegyptiacus","","56","4","152.1","109.1","288.2","192.4","1371","4"
"    R. amplexicaud. brachyotis §)","","56","3","93.3","68.0","164.2","110.7","842.7","5"
"    R. ampl. stresemanni §)","","56","3","126.9","95.9","215.2","137.1","1050","6"
"    Myonycteris torquata","","56","3","82.2","66.7","155.8","99.2","693.2","7"
"    Pteropus alecto","","56","2","392.1","316.3","843.7","574.1","4492","8"
"    Pteropus conspicillatus","","56","1","413.1","334.6","989.4","685.4","5426","9"
"    Pteropus hypomelanus","","56","1","317.6","239.3","614.8","433.2","3373","10"
"    Pteropus lylei","","56","4","325.9","240.6","711.4","514.2","3909","11"
"    Pteropus mahaganus","","56","2","317.2","223.3","720.5","406.5","3313","12"
"    Pteropus neohibernicus","","56","2","477.2","361.6","1007.6","720.0","5920","13"
"    Pteropus poliocephalus","","56","2","431.6","337.1","880.3","607.8","4505","14"
"    Pteropus samoensis","","56","1","326.0","250.9","723.8","468.6","3680","15"
"    Pteropus scapulatus","","56","2","284.3","236.1","682.0","436.7","3435","16"
"    Pteropus temmincki","","56","2","273.0","225.3","578.1","419.0","3112","17"
"    Pteropus tonganus","","56","3","362.9","248.0","731.8","516.1","3871","18"
"    Pteropus vampyrus","","56","2","448.7","380.7","1019.9","687.3","5964","19"
"    Dobsonia inermis","","56","3","172.8","110.0","357.0","201.2","1714","20"
"    D. moluccensis magna §)","","56","2","327.3","208.5","733.9","409.0","3339","21"
"    D. molucc. anderseni §)","","56","3","213.1","156.3","482.7","287.8","2476","22"
"    Dobsonia praedatrix","","56","3","193.2","127.1","375.5","239.6","1901","23"
"    Hypsignathus monstrosus","","56","3","282.7","216.1","496.5","299.5","1954","24"
"    Epomops franqueti","","56","3","173.5","138.4","318.5","192.4","1254","25"
"    Epomophorus labiatus","","56","3","114.6","92.5","206.9","136.3","939.2","26"
"    Micropteropus pusillus","","56","3","63.5","48.4","108.1","67.7","491.8","27"
"    Scotonycteris zenkeri","","56","2","56.4","42.0","89.3","58.1","423.8","28"
"    Casinycteris argynnis","","56","5","69.3","54.2","116.7","71.5","479.3","29"
"    Cynopterus brachyotis","","56","3","68.3","51.4","122.7","78.1","606.3","30"
"    Cynopterus horsfieldi","","56","3","92.7","74.8","180.5","109.1","843.9","31"
"    Cynopterus sphinx sphinx","","56","3","83.5","66.0","158.6","94.7","727.1","32"
"    Megaerops ecaudatus","","56","2","53.9","44.1","89.9","65.7","502.3","33"
"    Chironax melanocephalus","","56","3","44.3","31.3","72.9","48.0","375.9","34"
"    Sphaerias blanfordi","","56","4","69.2","49.4","114.8","67.9","476.2","35"
"    Balionycteris maculata","","56","2","38.9","29.7","57.7","40.6","317.5","36"
"PTEROPODIDAE (cont.)","TRUE","57","","","","","","","37"
