"species_printed","is_header","source_pdf_page","TR","TSO","FUN","FGR","FCM","FCE","species_row"
"PTEROPODIDAE","TRUE","74","","","","","","","1"
"  PTEROPODINAE","TRUE","74","","","","","","","2"
"    Eidolon helvum","","74","24.143","4.976","6.896","1.309","4.094","1.492","3"
"    Rousettus aegyptiacus","","74","15.519","2.951","4.968","0.778","2.959","1.231","4"
"    Myonycteris torquata","","74","6.912","1.723","1.961","0.347","1.002","0.612","5"
"    Pteropus conspicillatus","","74","39.538","8.623","13.382","2.521","8.139","2.723","6"
"    Pteropus poliocephalus","","74","39.751","8.147","14.420","2.296","8.847","3.277","7"
"    Pteropus scapulatus","","74","26.509","5.855","9.658","1.742","5.185","2.732","8"
"    Pteropus tonganus","","74","34.970","6.378","11.861","2.026","7.386","2.449","9"
"    Pteropus vampyrus","","74","40.134","11.535","15.101","3.092","8.423","3.586","10"
"    Dobsonia inermis","","74","17.850","3.822","4.603","0.875","2.627","1.101","11"
"    D. moluccensis magna","","74","33.737","7.165","9.722","1.859","5.436","2.427","12"
"    Dobsonia praedatrix","","74","19.788","4.409","5.502","0.845","2.948","1.708","13"
"    Epomops franqueti","","74","14.345","3.568","4.400","0.590","2.474","1.336","14"
"    Epomophorus labiatus","","74","9.689","2.566","2.808","0.417","1.649","0.742","15"
"    Micropteropus pusillus","","74","5.960","1.321","1.670","0.252","1.018","0.400","16"
"    Scotonycteris zenkeri","","74","5.445","1.193","1.393","0.244","0.737","0.413","17"
"    Casinycteris argynnis","","74","6.506","1.542","1.826","0.310","0.983","0.534","18"
"    Cynopterus brachyotis","","74","6.400","1.205","1.961","0.305","1.214","0.442","19"
"    Cynopterus horsfieldi","","74","8.381","1.791","2.401","0.410","1.456","0.535","20"
"    Megaerops ecaudatus","","74","5.050","1.175","1.381","0.272","0.725","0.385","21"
"    Chironax melanocephalus","","74","4.749","1.006","1.247","0.212","0.681","0.354","22"
"    Balionycteris maculata","","74","4.458","0.914","1.098","0.176","0.622","0.300","23"
"  NYCTIMENINAE","TRUE","74","","","","","","","24"
"    Nyctimene robinsoni","","74","7.680","1.749","2.002","0.311","1.151","0.540","25"
