"species_row","source_pdf_page","species_printed","motX","motXII","REL","INO","PRP"
1,86,"Eidolon helvum","0.566","1.328","2.161","3.673","1.278"
2,86,"Rousettus aegyptiacus","0.444","1.003","1.468","2.337","0.829"
3,86,"Myonycteris torquata","0.193","0.432","0.663","1.191","0.484"
4,86,"Pteropus conspicillatus","1.095","2.724","3.142","7.267","2.397"
5,86,"Pteropus poliocephalus","1.116","2.791","3.849","7.890","2.148"
6,86,"Pteropus scapulatus","0.617","1.987","2.620","5.753","1.620"
7,86,"Pteropus tonganus","0.965","2.582","3.358","6.240","1.553"
8,86,"Pteropus vampyrus","1.233","2.713","3.510","8.328","2.741"
9,86,"Dobsonia inermis","0.616","1.404","1.400","2.971","0.693"
10,86,"Dobs. moluccensis magna","0.889","2.451","2.930","6.457","1.907"
11,86,"Dobsonia praedatrix","0.580","1.474","1.708","3.143","1.244"
12,86,"Epomops franqueti","0.490","1.234","1.451","2.677","1.079"
13,86,"Epomophorus labiatus","0.281","0.966","0.966","1.989","0.740"
14,86,"Micropteropus pusillus","0.132","0.550","0.518","1.014","0.437"
15,86,"Scotonycteris zenkeri","0.163","0.414","0.450","0.767","0.396"
16,86,"Casinycteris argynnis","0.208","0.493","0.587","1.055","0.613"
17,86,"Cynopterus brachyotis","0.177","0.511","0.525","0.841","0.331"
18,86,"Cynopterus horsfieldi","0.266","0.673","0.719","1.307","0.677"
19,86,"Megaerops ecaudatus","0.135","0.327","0.476","0.626","0.370"
20,86,"Chironax melanocephalus","0.112","0.280","0.425","0.632","0.362"
21,86,"Balionycteris maculata","0.111","0.246","0.334","0.527","0.241"
22,86,"Nyctimene robinsoni","0.238","0.385","0.777","1.154","0.586"
23,86,"Nyctimene vizcaccia","0.154","0.475","0.645","1.115","0.484"
24,86,"Eonycteris speZaea","0.221","0.576","0.874","1.419","0.619"
25,86,"Macroglossus minimus","0.095","0.269","0.308","0.686","0.312"
26,86,"Syconycteris a. australis","0.116","0.243","0.431","0.706","0.322"
27,86,"Notopteris macdonaldi","0.233","0.706","0.834","1.806","0.677"
28,87,"Rhinopoma hardwickei","0.092","0.172","0.373","0.485","0.195"
29,87,"Rhinopoma microphyllum **","0.113","0.192","0.400","0.674","0.239"
30,87,"Emballonura monticola","0.046","0.121","0.165","0.289","0.170"
31,87,"Emballonura raffrayana","0.050","0.145","0.222","0.349","0.162"
32,87,"Emballonura semicaudata","0.053","0.162","0.238","0.389","0.195"
33,87,"Coleura afra","0.055","0.188","0.296","0.495","0.137"
34,87,"Rhynchonycteris naso","0.028","0.073","0.129","0.254","0.081"
35,87,"Saccopteryx leptura","0.040","0.096","0.159","0.306","0.132"
36,87,"Cormura brevirostris","0.059","0.134","0.186","0.387","0.134"
37,87,"Peropteryx trinitatis","0.034","0.085","0.136","0.320","0.106"
38,87,"Taphozous australis","0.131","0.318","0.394","0.840","0.286"
39,87,"Taphozous hildegardeae","0.154","0.314","0.646","1.150","0.364"
40,87,"Taphozous theobaldi","0.229","0.406","0.851","1.486","0.429"
41,87,"Taphozous saccolaimus","0.127","0.331","0.734","1.640","0.391"
42,87,"Cyttarops alecto","0.046","0.116","0.234","0.459","0.196"
43,87,"Craseonycteris thonglongyai","0.020","0.046","0.073","0.161","0.059"
44,87,"Nycteris grandis","0.129","0.293","0.431","1.473","0.626"
45,87,"Nycteris macrotis","0.056","0.197","0.347","0.996","0.446"
46,87,"Nycteris nana","0.042","0.128","0.208","0.553","0.258"
47,87,"Nycteris thebaica","0.058","0.179","0.248","0.717","0.353"
48,87,"Megaderma lyra","0.315","0.378","1.152","1.843","0.581"
49,87,"Megaderma spasm a","0.144","0.183","0.440","1.230","0.472"
50,87,"Macroderma gigas","0.404","0.588","0.995","3.157","1.221"
51,87,"Cardioderma cor","0.120","0.248","0.451","1.027","0.510"
52,87,"Lavia frons","0.161","0.271","0.556","1.234","0.529"
53,87,"Rhinolophus landeri","0.086","0.150","0.274","0.432","0.226"
54,87,"Rhinolophus luctus","0.172","0.272","0.660","1.039","0.464"
55,87,"Rhinolophus pusillus","0.046","0.107","0.156","0.269","0.125"
56,87,"Hipposideros ater","0.063","0.088","0.233","0.352","0.199"
57,87,"Hipposideros ater aruensis","0.054","0.079","0.219","0.284","0.173"
58,87,"Hipposideros commersoni","0.214","0.290","0.657","0.958","0.389"
59,87,"Hipposideros diadema","0.230","0.356","0.649","0.929","0.469"
60,87,"Aselliscus stoliczkanus","0.038","0.071","0.161","0.400","0.180"
61,87,"Aselliscus tricuspidatus","0.036","0.084","0.104","0.239","0.126"
62,87,"Rhinonycteris aurantius","0.058","0.086","0.251","0.487","0.196"
63,87,"Triaenops persicus","0.076","0.134","0.315","0.658","0.246"
64,88,"Noctilio albiventris","0.219","0.303","0.452","0.941","0.293"
65,88,"Noctilio leporinus","0.293","0.589","0.738","1.871","0.658"
66,88,"Pteronotus personatus","0.092","0.170","0.252","0.710","0.230"
67,88,"Pteronotus parnelli","0.107","0.267","0.344","0.884","0.233"
68,88,"Mormoops megalophylla","0.077","0.174","0.302","0.881","0.274"
69,88,"Micronycteris megalotis","0.065","0.116","0.262","0.680","0.235"
70,88,"Micronycteris brachyotis","0.086","0.182","0.351","0.756","0.245"
71,88,"Macrophyllum macrophyllum","0.073","0.145","0.377","0.674","0.296"
72,88,"Tonatia bidens","0.153","0.357","0.524","1.252","0.532"
73,88,"Mimon crenulatum","0.068","0.203","0.214","0.728","0.236"
74,88,"Phyllostomus discolor","0.216","0.607","0.818","1.389","0.474"
75,88,"Phyllostomus hastatus","0.262","0.793","1.090","2.133","0.751"
76,88,"Phylloderma stenops","0.191","0.473","0.932","1.394","0.546"
77,88,"Trachops cirrhosus","0.197","0.431","0.704","1.778","1.002"
78,88,"Vampyrum spectrum","0.611","0.841","1.948","3.052","1.331"
79,88,"Glossophaga soricina","0.075","0.222","0.291","0.620","0.274"
80,88,"Leptonycteris curasoae","0.110","0.428","0.369","1.077","0.340"
81,88,"Lionycteris spurrelli","0.077","0.211","0.251","0.588","0.245"
82,88,"Anoura geoffroyi","0.100","0.324","0.344","0.897","0.337"
83,88,"Carollia perspicillata","0.096","0.286","0.394","0.900","0.356"
84,88,"Rhinophylla pumilio","0.075","0.188","0.232","0.450","0.239"
85,88,"Sturnira lilium","0.084","0.345","0.314","0.766","0.309"
86,88,"Uroderma bilobatum","0.112","0.378","0.355","0.867","0.365"
87,88,"Vampyrops vittatus","0.159","0.546","0.599","1.821","0.565"
88,88,"Chiroderma villosum","0.138","0.420","0.595","1.118","0.489"
89,88,"Artibeus cinereus","0.086","0.203","0.360","0.669","0.283"
90,88,"Artibeus lituratus","0.217","0.534","0.765","1.668","0.548"
91,88,"Brachyphylla cavernarum","0.203","0.558","0.827","1.668","0.482"
92,89,"Desmodus rotundus","0.159","0.542","0.646","1.394","0.423"
93,89,"Diphylla ecaudata","0.122","0.443","0.497","1.225","0.395"
94,89,"Natalus tumidirostris","0.058","0.182","0.153","0.458","0.207"
95,89,"Furipterus horrens","0.035","0.086","0.161","0.270","0.133"
96,89,"Myotis albescens","0.049","0.096","0.132","0.337","0.124"
97,89,"Myotis annectans","0.081","0.164","0.197","0.401","0.145"
98,89,"Myotis dasycneme","0.118","0.241","0.274","0.957","0.260"
99,89,"Myotis myotis","0.125","0.289","0.353","0.974","0.384"
100,89,"Myotis siligorensis","0.033","0.074","0.095","0.249","0.107"
101,89,"Pipistrellus ceylonicus","0.050","0.135","0.208","0.335","0.161"
102,89,"Pipistrellus crassulus","0.048","0.086","0.128","0.260","0.140"
103,89,"Pipistrellus javanicus","0.040","0.088","0.113","0.233","0.132"
104,89,"Pipistrellus mimus","0.025","0.063","0.115","0.230","0.105"
105,89,"Scotozous dormeri","0.054","0.111","0.192","0.327","0.185"
106,89,"Nyctalus noctula","0.153","0.298","0.458","0.899","0.396"
107,89,"Glischropus tylopus","0.035","0.079","0.094","0.228","0.126"
108,89,"Eptesicus brasiliensis","0.062","0.141","0.158","0.399","0.229"
109,89,"Eptesicus br. melanopterus","0.068","0.139","0.202","0.420","0.237"
110,89,"Eptesicus flavescens","0.088","0.172","0.255","0.498","0.247"
111,89,"Eptesicus pumilus","0.038","0.090","0.103","0.279","0.145"
112,89,"Eptesicus serotinus andersoni","0.105","0.230","0.274","0.597","0.305"
113,89,"Ia io","0.222","0.400","0.575","1.584","0.564"
114,89,"Tylonycteris pachypus","0.033","0.097","0.083","0.168","0.103"
115,89,"Tylonycteris robustula","0.043","0.104","0.113","0.257","0.136"
116,89,"Hesperoptenus blanfordi","0.051","0.103","0.185","0.447","0.138"
117,89,"Glauconycteris humeralis","0.059","0.121","0.138","0.380","0.179"
118,89,"Chalinolobus gouldi","0.069","0.142","0.224","0.540","0.274"
119,89,"Scotorepens sanborni","0.045","0.106","0.144","0.307","0.173"
120,89,"Rhogeessa parvula","0.027","0.081","0.111","0.194","0.068"
121,89,"Scotomanes ornatus","0.121","0.302","0.520","0.787","0.376"
122,89,"Scotomanes sp.?","0.079","0.204","0.387","0.576","0.297"
123,89,"Scotophilus dinganii","0.133","0.263","0.492","0.674","0.358"
124,89,"Scotophilus heathi","0.185","0.357","0.658","0.791","0.422"
125,89,"Lasiurus borealis","0.049","0.146","0.169","0.395","0.181"
126,89,"Miniopterus australis","0.066","0.127","0.218","0.389","0.195"
127,89,"Miniopterus magnater","0.113","0.194","0.310","0.689","0.266"
128,89,"Miniopterus medius","0.078","0.157","0.295","0.597","0.270"
129,89,"Miniopterus tristis","0.119","0.238","0.352","0.671","0.311"
130,90,"Murina cyclotis cyclotis","0.070","0.143","0.163","0.483","0.283"
131,90,"Murina c. peninsularis","0.075","0.150","0.155","0.559","0.273"
132,90,"Murina huttoni rubella","0.082","0.172","0.211","0.570","0.244"
133,90,"Murina tubinaris","0.075","0.145","0.178","0.441","0.229"
134,90,"Harpiocephalus harpia","0.074","0.226","0.210","0.712","0.290"
135,90,"Kerivoula papillosa","0.045","0.163","0.188","0.517","0.319"
136,90,"Kerivoula pellucida","0.022","0.075","0.164","0.337","0.207"
137,90,"Kerivoula phalaena","0.023","0.088","0.117","0.281","0.183"
138,90,"Phoniscus atrox","0.024","0.105","0.116","0.308","0.185"
139,90,"Nyctophilus geoffroyi","0.035","0.097","0.107","0.344","0.138"
140,90,"Nyctophilus timoriensis","0.041","0.123","0.155","0.499","0.236"
141,90,"Tadarida condylura","0.152","0.178","0.500","0.716","0.246"
142,90,"Tadarida beccarii","0.066","0.128","0.244","0.451","0.161"
143,90,"Tadarida jobensis","0.120","0.169","0.374","0.604","0.247"
144,90,"Tadarida pumila","0.061","0.129","0.333","0.526","0.191"
145,90,"Otomops martiensseni","0.198","0.373","0.730","1.586","0.402"
146,90,"Molossops abrasus","0.148","0.207","0.539","0.783","0.398"
147,90,"Molossops planirostris","0.049","0.108","0.200","0.383","0.158"
148,90,"Molossus ater","0.131","0.211","0.544","1.068","0.398"
149,90,"Molossus molossus","0.066","0.148","0.373","0.585","0.231"
150,90,"Cheiromeles torquatus","0.243","0.538","1.318","1.658","0.776"
