"species_printed","is_header","source_pdf_page","VC","VM","VI","VL","VS","species_row"
"PTEROPODIDAE","TRUE","98","","","","","","1"
"  PTEROPODINAE","TRUE","98","","","","","","2"
"    Eidolon helvum","","98","16.465","6.435","4.979","2.397","2.654","3"
"    Rousettus aegyptiacus","","98","9.596","3.767","2.672","1.666","1.491","4"
"    Myonycteris torquata","","98","6.759","2.560","1.850","1.095","1.254","5"
"    Pteropus conspicillatus","","98","21.897","8.434","6.132","3.679","3.652","6"
"    Pteropus poliocephalus","","98","22.302","8.607","6.072","4.554","3.069","7"
"    Pteropus scapulatus","","98","16.133","6.068","4.330","3.102","2.633","8"
"    Pteropus tonganus","","98","17.893","6.704","4.986","3.476","2.727","9"
"    Pteropus vampyrus","","98","26.380","10.458","6.796","4.695","4.430","10"
"    Dobsonia inermis","","98","10.414","4.071","2.901","1.659","1.783","11"
"    D. moluccensis magna","","98","17.985","7.146","5.121","3.006","2.712","12"
"    Dobsonia praedatrix","","98","10.274","4.179","2.540","1.905","1.649","13"
"    Epomops franqueti","","98","12.394","5.075","3.619","1.993","1.707","14"
"    Epomophorus labiatus","","98","8.457","3.370","2.182","1.641","1.265","15"
"    Micropteropus pusillus","","98","4.098","1.692","1.121","0.717","0.569","16"
"    Scotonycteris zenkeri","","98","4.364","1.789","1.026","0.768","0.781","17"
"    Casinycteris argynnis","","98","4.600","1.973","1.273","0.728","0.626","18"
"    Cynopterus brachyotis","","98","4.611","1.951","1.307","0.655","0.699","19"
"    Cynopterus horsfieldi","","98","6.972","2.853","1.835","1.167","1.116","20"
"    Megaerops ecaudatus","","98","3.724","1.602","0.879","0.622","0.622","21"
"    Chironax melanocephalus","","98","3.245","1.343","0.825","0.510","0.566","22"
"    Balionycteris maculata","","98","2.736","1.151","0.667","0.449","0.469","23"
"  NYCTIMENINAE","TRUE","98","","","","","","24"
"    Nyctimene robinsoni","","98","6.486","2.604","1.715","1.148","1.020","25"
"    Nyctimene vizcaccia","","98","5.917","2.350","1.432","1.178","0.957","26"
"  MACROGLOSSINAE","TRUE","98","","","","","","27"
"    Eonycteris spelaea","","98","5.650","2.492","1.448","0.804","0.906","28"
"    Macroglossus minimus","","98","3.080","1.217","0.779","0.480","0.605","29"
"    Syconycteris a. australis","","98","2.548","1.107","0.615","0.360","0.467","30"
"    Notopteris macdonaldi","","98","6.741","2.680","1.556","1.199","1.306","31"
"RHINOPOMATIDAE","TRUE","99","","","","","","32"
"    Rhinopoma hardwickei","","99","2.137","0.830","0.545","0.405","0.357","33"
"    Rhinopoma microphyllum **","","99","2.939","1.077","0.823","0.522","0.518","34"
"EMBALLONURIDAE","TRUE","99","","","","","","35"
"  EMBALLONURINAE","TRUE","99","","","","","","36"
"    Emballonura monticola","","99","1.539","0.565","0.441","0.327","0.206","37"
"    Emballonura raffrayana","","99","1.716","0.622","0.441","0.416","0.237","38"
"    Emballonura semicaudata","","99","1.525","0.578","0.393","0.330","0.224","39"
"    Coleura afra","","99","1.996","0.844","0.521","0.355","0.276","40"
"    Rhynchonycteris naso","","99","1.100","0.460","0.295","0.192","0.153","41"
"    Saccopteryx leptura","","99","1.389","0.541","0.363","0.268","0.216","42"
"    Cormura brevirostris","","99","1.703","0.604","0.483","0.315","0.301","43"
"    Peropteryx trinitatis","","99","1.089","0.398","0.278","0.200","0.214","44"
"    Taphozous australis","","99","3.788","1.393","1.022","0.762","0.612","45"
"    Taphozous hildegardeae","","99","3.846","1.612","1.032","0.636","0.567","46"
"    Taphozous theobaldi","","99","5.130","1.967","1.238","0.995","0.931","47"
"    Taphozous saccolaimus","","99","4.399","1.690","1.132","0.832","0.745","48"
"  DICLIDURINAE","TRUE","99","","","","","","49"
"    Cyttarops alecto","","99","1.602","0.623","0.461","0.305","0.213","50"
"CRASEONYCTERIDAE","TRUE","99","","","","","","51"
"    Craseonycteris thonglongyai II","","99","0.739","0.295","0.197","0.135","0.112","52"
"NYCTERIDAE II","TRUE","99","","","","","","53"
"    Nycteris grandis","","99","5.162","1.966","1.606","0.776","0.815","54"
"    Nycteris macrotis","","99","3.396","1.333","0.931","0.536","0.596","55"
"    Nycteris nana","","99","2.069","0.894","0.561","0.283","0.331","56"
"    Nycteris thebaica","","99","2.594","1.074","0.761","0.354","0.404","57"
"MEGADERMATIDAE","TRUE","99","","","","","","58"
"    Megaderma lyra","","99","6.102","2.490","1.638","1.021","0.953","59"
"    Megaderma spasma","","99","4.208","1.667","1.131","0.782","0.628","60"
"    Macroderma gigas","","99","10.448","4.165","2.936","1.847","1.499","61"
"    Cardioderma cor","","99","5.164","1.943","1.299","0.903","1.020","62"
"    Lavia frons","","99","4.462","1.640","1.174","0.942","0.706","63"
"RHINOLOPHIDAE","TRUE","99","","","","","","64"
"    Rhinolophus landeri","","99","2.122","0.827","0.579","0.404","0.312","65"
"    Rhinolophus luctus","","99","4.165","1.690","1.109","0.755","0.611","66"
"    Rhinolophus pusillus","","99","1.144","0.427","0.299","0.241","0.177","67"
"HIPPOSIDERIDAE","TRUE","99","","","","","","68"
"    Hipposideros ater","","99","1.599","0.647","0.464","0.274","0.214","69"
"    Hipposideros ater aruensis","","99","1.523","0.564","0.438","0.285","0.236","70"
"    Hipposideros commersoni","","99","4.075","1.620","1.080","0.801","0.575","71"
"    Hipposideros diadema","","99","4.831","1.910","1.366","0.842","0.714","72"
"    Aselliscus stoliczkanus","","99","1.505","0.566","0.417","0.291","0.231","73"
"    Aselliscus tricuspidatus","","99","0.962","0.390","0.241","0.169","0.162","74"
"    Rhinonycteris aurantius","","99","1.536","0.595","0.394","0.281","0.266","75"
"    Triaenops persicus","","99","2.177","0.835","0.609","0.476","0.257","76"
"NOCTILIONIDAE","TRUE","100","","","","","","77"
"    Noctilio albiventris","","100","2.762","0.928","0.660","0.666","0.508","78"
"    Noctilio leporinus","","100","5.841","2.208","1.389","1.188","1.057","79"
"MORMOOPIDAE","TRUE","100","","","","","","80"
"    Pteronotus personatus","","100","2.171","0.936","0.550","0.360","0.326","81"
"    Pteronotus parnelli","","100","2.970","1.271","0.876","0.450","0.374","82"
"    Mormoops megalophylla","","100","2.859","1.191","0.767","0.517","0.384","83"
"PHYLLOSTOMIDAE","TRUE","100","","","","","","84"
"  PHYLLOSTOMINAE","TRUE","100","","","","","","85"
"    Micronycteris megalotis","","100","2.131","0.788","0.651","0.311","0.381","86"
"    Micronycteris brachyotis","","100","2.415","0.920","0.711","0.367","0.417","87"
"    Macrophyllum macrophyllum","","100","2.369","0.910","0.786","0.380","0.292","88"
"    Tonatia bidens","","100","4.316","1.677","1.235","0.668","0.736","89"
"    Mimon crenulatum","","100","2.104","0.794","0.561","0.361","0.387","90"
"    Phyllostomus discolor","","100","5.165","2.048","1.480","0.850","0.787","91"
"    Phyllostomus hastatus","","100","7.174","2.790","2.171","1.168","1.046","92"
"    Phylloderma stenops","","100","4.861","2.105","1.145","0.943","0.668","93"
"    Trachops cirrhosus","","100","5.983","2.470","1.767","0.860","0.886","94"
"    Vampyrum spectrum","","100","12.158","5.250","3.132","2.011","1.764","95"
