"species_row","source_pdf_page","species_printed","AUD","CON","DCO","VCO","OLS"
1,110,"Eidolon helvum","12.771","9.244","5.223","4.022","3.527"
2,110,"Rousettus aegyptiacus","9.883","6.444","3.177","3.267","3.438"
3,110,"Myonycteris torquata","5.201","3.647","1.993","1.654","1.554"
4,110,"Pteropus conspicillatus","13.574","9.001","4.136","4.865","4.573"
5,110,"Pteropus poliocephalus","13.241","9.198","4.316","4.881","4.043"
6,110,"Pteropus scapulatus","11.491","7.858","3.693","4.164","3.633"
7,110,"Pteropus tonganus","11.927","7.417","3.521","3.897","4.510"
8,110,"Pteropus vampyrus","16.926","10.637","4.746","5.891","6.289"
9,110,"Dobsonia inermis","6.132","4.000","1.890","2.110","2.131"
10,110,"D. moluccensis magna","13.500","8.790","4.171","4.619","4.710"
11,110,"Dobsonia praedatrix","7.094","4.370","1.978","2.392","2.725"
12,110,"Epomops franqueti","10.435","7.543","4.357","3.186","2.892"
13,110,"Epomophorus labiatus","6.903","4.997","2.942","2.055","1.906"
14,110,"Micropteropus pusillus","3.515","2.328","1.363","0.965","1.187"
15,110,"Scotonycteris zenkeri","2.974","2.081","1.167","0.914","0.894"
16,110,"Casinycteris argynnis","3.749","2.794","1.557","1.237","0.955"
17,110,"Cynopterus brachyotis","3.474","2.456","1.274","1.182","1.018"
18,110,"Cynopterus horsfieldi","6.066","4.668","2.568","2.100","1.399"
19,110,"Megaerops ecaudatus","3.546","2.688","1.566","1.122","0.858"
20,110,"Chironax melanocephalus","2.643","1.899","1.053","0.846","0.744"
21,110,"Balionycteris maculata","1.817","1.305","0.691","0.615","0.512"
22,110,"Nyctimene robinsoni","4.764","3.141","1.535","1.606","1.623"
23,110,"Nyctimene vizcaccia","4.351","2.635","1.224","1.411","1.716"
24,110,"Eonycteris spelaea","5.484","3.796","2.317","1.479","1.688"
25,110,"Macroglossus minimus **","2.401","1.649","0.890","0.760","0.752"
26,110,"Syconycteris a. australis","2.128","1.411","0.738","0.673","0.717"
27,110,"Notopteris macdonaldi","5.071","3.181","1.672","1.509","1.890"
28,111,"Rhinopoma hardwickei","4.410","2.333","0.720","1.614","2.077"
29,111,"Rhinopoma microphyllum **","5.982","3.175","0.877","2.298","2.807"
