"species_row","Species_Baron1996","cerebellum_mm3","total_cerebellar_nuclei_mm3","nucleus_medialis_cerebelli_mm3","nucleus_interpositus_cerebelli_mm3","nucleus_lateralis_cerebelli_mm3","source_pdf_page"
1,"Cynopterus brachyotis",122.69,2.676,0.666,1,1.01,134
2,"Cynopterus horsfieldi",180.46,3.35,0.892,1.214,1.244,134
3,"Eonycteris spelaea",172.665,3.434,1.006,1.088,1.34,134
4,"Rhinolophus hipposideros",30.411,0.746,0.166,0.258,0.322,134
5,"Hipposideros bicolor",42.4,0.842,0.174,0.274,0.394,134
6,"Noctilio leporinus",194.082,5.254,1.076,2.056,2.122,134
7,"Phyllostomus discolor",170.445,2.49,0.572,0.872,1.046,134
8,"Glossophaga soricina",81.597,1.712,0.458,0.576,0.678,134
9,"Carollia perspieillata",92.059,2.022,0.4,0.764,0.858,134
10,"Sturnira lilium",96.057,1.782,0.362,0.572,0.848,134
11,"Vampyrops helleri",97.232,1.71,0.358,0.532,0.82,134
12,"Artibeus jamaieensis",173.82,3.012,0.556,1.076,1.38,134
13,"Artibeus lituratus",221.877,4.304,0.81,1.478,2.016,134
14,"Desmodus rotundus",166.361,2.448,0.422,0.718,1.308,134
15,"Myotis beehsteini",42.532,1.09,0.306,0.268,0.516,134
16,"Myotis myotis",87.119,2.046,0.558,0.64,0.848,134
17,"Myotis nattereri",37.44,1.064,0.218,0.336,0.51,134
18,"Tadarida leucostigma",69.986,1.382,0.388,0.504,0.49,134
