"species_printed","is_header","source_pdf_page","NLL","CGM","CGL","GLD","GLV","species_row"
"PTEROPODIDAE","TRUE","136","","","","","","1"
"    Cynopterus brachyotis","","136","0.946","2.584","6.966","5.140","1.826","2"
"    Cynopterus horsfieldi","","136","1.248","4.050","7.740","6.178","1.562","3"
"    Eonycteris spelaea","","136","1.486","4.726","6.346","4.680","1.666","4"
"RHINOLOPHIDAE","TRUE","136","","","","","","5"
"    Rhinolophus hipposideros","","136","1.130","1.034","0.198","0.178","0.020","6"
"HIPPOSIDERIDAE","TRUE","136","","","","","","7"
"    Hipposideros bicolor","","136","2.184","2.692","0.420","0.312","0.108","8"
"    Asellia tridens","","136","2.196","3.040","0.876","0.534","0.342","9"
"NOCTILIONIDAE","TRUE","136","","","","","","10"
"    Noctilio leporinus","","136","6.074","13.276","1.646","1.254","0.392","11"
"PHYLLOSTOMIDAE","TRUE","136","","","","","","12"
"    Phyllostomus discolor","","136","2.458","4.990","2.140","1.700","0.440","13"
"    Glossophaga soricina","","136","2.148","4.386","0.916","0.682","0.234","14"
"    Carollia perspicillata","","136","2.436","3.722","1.074","0.728","0.346","15"
"    Sturnira lilium","","136","1.722","3.020","1.318","1.058","0.260","16"
"    Vampyrops helleri","","136","1.856","3.188","1.372","1.074","0.298","17"
"    Artibeus jamaicensis","","136","3.554","7.026","1.964","1.456","0.508","18"
"    Artibeus lituratus","","136","4.154","7.560","2.750","2.256","0.494","19"
"DESMODONTIDAE","TRUE","136","","","","","","20"
"    Desmodus rotundus","","136","2.608","8.640","1.116","0.844","0.272","21"
"VESPERTILIONIDAE","TRUE","136","","","","","","22"
"    Myotis bechsteini","","136","1.796","2.598","0.278","0.196","0.082","23"
"    Myotis myotis","","136","3.418","4.928","0.970","0.636","0.334","24"
"    Myotis nattereri","","136","2.064","2.348","0.272","0.186","0.086","25"
"MOLOSSIDAE","TRUE","136","","","","","","26"
"    Tadarida leucostigma","","136","2.058","4.528","0.842","0.562","0.280","27"
