"species_printed","is_header","source_pdf_page","MOB","PAL","STR","SEP","AMY","HIP","SCH","NEO","species_row"
"PTEROPODIDAE","TRUE","138","","","","","","","","","1"
"  PTEROPODINAE","TRUE","138","","","","","","","","","2"
"    Eidolon helvum","","138","208.7","243.5","285.3","61.7","99.4","258.1","151.7","1406","3"
"    Rousettus aegyptiacus","","138","114.5","127.7","130.2","32.0","50.8","145.4","82.9","687.4","4"
"    R. amplexic. brachyot. §)","","138","85.7","93.4","74.9","20.0","35.2","101.4","35.8","396.4","5"
"    R. amp!. stresemanni §)","","138","117.1","116.0","84.9","25.8","45.5","131.1","59.6","469.6","6"
"    Myonycteris torquata","","138","56.1","67.2","58.6","17.5","24.6","85.7","47.1","336.5","7"
"    Pteropus alecto","","138","238.2","312.5","440.6","90.3","115.9","357.4","220.9","2716","8"
"    Pteropus conspicillatus","","138","306.2","377.1","510.7","97.0","141.7","394.3","260.4","3339","9"
"    Pteropus hypomelanus","","138","219.5","277.9","320.4","69.8","99.8","283.5","196.8","1906","10"
"    Pteropus lylei","","138","207.8","274.5","393.0","70.0","102.2","288.2","186.4","2386","11"
"    Pteropus mahaganus","","138","168.1","273.6","334.8","67.8","106.8","274.5","171.6","1915","12"
"    Pteropus neohibernicus","","138","344.0","396.7","583.8","96.8","139.6","400.4","283.0","3676","13"
"    Pteropus poliocephalus","","138","252.9","309.8","444.1","90.1","114.9","358.5","225.7","2710","14"
"    Pteropus samoensis","","138","213.4","275.9","345.6","67.2","92.8","323.9","216.5","2144","15"
"    Pteropus scapulatus","","138","177.5","230.1","322.9","67.5","86.7","267.8","204.0","2078","16"
"    Pteropus temmincki","","138","194.3","234.7","268.8","64.3","92.9","277.4","165.6","1814","17"
"    Pteropus tonganus","","138","224.2","304.1","417.1","74.1","108.3","305.7","200.7","2237","18"
"    Pteropus vampyrus","","138","376.4","414.1","572.0","113.5","139.7","443.9","294.9","3610","19"
"    Dobsonia inermis","","138","145.6","168.1","177.3","39.2","68.0","186.5","94.9","834.8","20"
"    D. moluccensis magna §)","","138","288.2","328.2","309.8","69.5","117.4","322.5","160.4","1743","21"
"    D. molucc. anderseni §)","","138","220.3","241.0","238.2","52.7","77.0","243.0","119.8","1284","22"
