"species_row","source_pdf_page","species_printed","TOT","TOT_minus_BOL","ALLO_minus_BOL","NEO","ALLO","PAL_plus_BOL","SCH","HIP","CING"
1,159,"Pteropus giganteus","1678.1","246.6","1431.5","555.5","1122.6","876.0","657.2","93.9","124.8"
2,159,"Rousettus aegyptiacus","634.8","103.6","531.2","196.1","438.7","335.1","251.3","55.2","28.6"
3,159,"Saccopteryx bilineata","93.6","6.2","87.4","30.7","62.9","56.7","43.0","10.2","3.5"
4,159,"Rhinolophus hipposid.","97.5","10.5","87.0","33.0","64.5","54.0","37.9","14.1","2.0"
5,159,"Pteronotus parnelli","221.8","24.2","197.6","75.2","146.6","122.4","96.0","21.8","4.6"
6,159,"Pteronotus suapurens.","158.9","17.5","141.4","61.9","97.0","79.5","53.4","15.7","10.4"
7,159,"Phyllostomus discolor","361.6","39.2","322.4","133.0","228.6","189.4","146.2","31.8","11.3"
8,159,"Glossophaga soricina","182.3","20.5","161.8","60.4","121.9","101.4","72.8","21.7","6.9"
9,159,"Carollia perspicillata","217.6","31.3","186.3","70.6","147.0","115.7","86.2","24.2","5.3"
10,159,"Desmodus rotundus","364.3","35.2","329.1","120.3","244.0","208.8","173.4","22.7","12.7"
11,159,"Natalus mexican us 2;8","97.7","8.5","89.2","38.1","59.6","51.1","35.0","13.3",
12,159,"Myotis myotis","116.0","12.2","103.8","44.7","71.3","59.1","38.4","13.2","7.5"
13,159,"Plecotus auritus","128.1","13.6","114.5","39.8","88.3","74.7","50.8","16.1","7.8"
14,159,"Miniopterus schreib.","84.3","7.5","76.8","23.3","61.0","53.5","35.1","11.3","7.1"
