"species_printed","is_header","source_pdf_page","BoW_g","CV_BoW_pct","BrW_mg","CV_BrW_pct","n_BoW","n_BrW","Source","species_row"
"PTEROPODIDAE","TRUE","22","","","","","","","","1"
"  PTEROPODINAE","TRUE","22","","","","","","","","2"
"    Eidolon helvum","","22","262","9.5","4290","7.9","13","13","S","3"
"    Rousettus aegyptiacus *)","","22","129","19.0","2274","8.4","20","20","S","4"
"    R. amplexicaud. brach. §)","","22","55.4","14.0","1352","5.0","6","6","S","5"
"    R. a. stresem. + leschen. *) §)","","22","88.1","13.1","1715","8.0","20","20","S","6"
"    Lissonycteris angolensis","","22","84.3","17.5","1774","7.5","8","8","S","7"
"    Myonycteris torquata","","22","36.4","12.0","1157","7.4","4","4","S","8"
"    Pteropus alecto","","22","595","8.2","7039","6.4","4","4","S","9"
"    Pteropus conspicillatus","","22","750","","8350","","1","1","S","10"
"    Pteropus hypomelanus","","22","390","","5302","","1","1","S","11"
"PTEROPODIDAE (cont.)","TRUE","23","","","","","","","","12"
"  PTEROPODINAE (cont.)","TRUE","23","","","","","","","","13"
"    Pteropus lylei","","23","314","11.0","6129","4.3","7","7","S","14"
"    Pteropus edwardsi","","23","361","13.6","6900","7.2","7","7","1,6","15"
"    Pteropus macrotis","","23","366","","6127","","1","1","S","16"
"    Pteropus mahaganus","","23","465","1.5","5280","0.6","2","2","S","17"
"    Pteropus neohibernicus","","23","840","5.1","9114","18.3","2","2","S","18"
"    Pteropus poliocephalus *)","","23","695","27.5","7230","5.8","2","2","S","19"
"    Pteropus samoensis","","23","310","","5792","","1","1","S","20"
"    Pteropus scapulatus","","23","375","9.3","5360","7.8","3","3","S","21"
"    Pteropus temmincki","","23","250","14.5","4890","0.4","2","2","S","22"
"    Pteropus tonganus *)","","23","449","17.8","6112","5.9","8","8","S","23"
"    Pteropus vampyrus *)","","23","1065","13.7","9531","11.1","8","8","1,S","24"
"    Dobsonia inermis","","23","149","14.1","2700","6.2","7","7","S","25"
"    D. molucc. magna §)","","23","465","5.3","5342","4.9","4","4","S","26"
"    D. molucc. anderseni *) §)","","23","234","14.5","3850","8.1","7","7","S","27"
"    Dobsonia praedatrix *)","","23","178","16.0","2993","6.2","7","7","S","28"
"    Hypsignathus monstrosus","","23","310","16.2","3479","7.3","3","3","S","29"
"    Epomops franqueti *)","","23","118","15.9","2217","4.7","11","11","S","30"
"    Epomophorus gambianus","","23","309","","4330","","1","1","8","31"
"    Epomophorus labiatus","","23","63.9","12.8","1586","9.4","22","22","S","32"
"    Epomophorus wahlbergi","","23","74.1","9.1","1814","9.9","10","10","S","33"
"    Micropteropus pusillus","","23","25.1","8.6","826","5.8","8","8","S","34"
"    Scotonycteris zenkeri","","23","21.3","4.8","710","3.3","3","3","S","35"
"    Casinycteris argynnis *)","","23","26.8","14.3","832","11.2","13","13","S","36"
"PTEROPODIDAE (cont.)","TRUE","24","","","","","","","","37"
"  PTEROPODINAE (cont.)","TRUE","24","","","","","","","","38"
"    Cynopterus brachyotis","","24","33.9","14.0","981","9.4","22","22","S","39"
"    Cynopterus horsfieldi","","24","59.3","9.5","1373","5.5","14","14","S","40"
"    Cynopterus sphinx sphinx","","24","51.7","11.0","1199","5.9","16","16","S","41"
"    Cynopterus sph. angulatus","","24","33.1","0.9","923","2.5","2","2","S","42"
"    Megaerops ecaudatus","","24","24.0","8.7","797","8.3","10","10","S","43"
"    Megaerops niphanae","","24","32.6","15.8","958","12.1","3","3","S","44"
"    Chironax melanocephalus","","24","17.7","4.4","606","3.6","10","10","S","45"
"    Penthetor lucasi","","24","35.0","","980","","1","1","12","46"
"    Sphaerias blanfordi","","24","29.5","6.7","832","6.2","11","11","S","47"
"    Balionycteris maculata","","24","14.4","5.8","512","5.9","3","3","S","48"
"  NYCTIMENINAE","TRUE","24","","","","","","","","49"
"    Nyctimene albiventer","","24","29.7","0.5","825","14.7","2","2","S","50"
"    Nyctimene robinsoni","","24","47.1","5.5","1232","6.6","8","8","S","51"
"    Nyctimene vizcaccia","","24","35.4","6.5","988","7.1","6","6","S","52"
"    Paranyctimene raptor","","24","26.1","9.9","731","5.4","7","7","S","53"
"  MACROGLOSSINAE","TRUE","24","","","","","","","","54"
"    Eonycteris spelaea","","24","58.7","17.7","1310","9.3","11","11","S","55"
"    Megaloglossus woermanni","","24","17.9","8.1","679","3.5","10","10","S","56"
"    Macroglossus minimus","","24","14.6","9.1","561","7.0","17","17","S","57"
"    Macroglossus sobrinus","","24","21.8","7.1","694","7.8","21","21","S","58"
"    Syconycteris a. australis §)","","24","14.7","","570","","1","1","S","59"
"    S. a. papuana + finschi §)","","24","17.5","8.4","627","5.8","16","16","S","60"
"    Melonycteris melanops","","24","47.3","10.5","1291","3.9","9","9","S","61"
"    Nesonycteris woodfordi","","24","35.4","16.0","1017","4.9","7","7","S","62"
"    Notopteris macdonaldi *)","","24","69.3","12.3","1444","6.0","10","10","S","63"
"RHINOPOMATIDAE","TRUE","24","","","","","","","","64"
"    Rhinopoma hardwickei","","24","12.9","21.1","275","4.9","11","11","S","65"
"    Rhinopoma microphyllum","","24","29.4","12.9","387","5.0","13","13","S","66"
"EMBALLONURIDAE","TRUE","24","","","","","","","","67"
"  EMBALLONURINAE","TRUE","24","","","","","","","","68"
"    Emballonura monticola","","24","5.3","7.1","166","6.1","15","15","S","69"
"    Emballonura raffrayana","","24","5.9","7.7","174","4.8","6","6","S","70"
"    Emballonura semicaudata","","24","7.0","9.9","184","6.5","13","13","S","71"
"    Coleura afra","","24","11.5","5.4","257","5.0","9","9","S","72"
"    Rhynchonycteris naso","","24","3.8","9.0","118","6.7","11","11","S","73"
"    Saccopteryx bilineata *)","","24","8.4","16.4","231","5.7","16","16","S","74"
"    Mosia nigrescens §)","","24","","","","","","","","75"
"EMBALLONURIDAE (cant.)","TRUE","25","","","","","","","","76"
"  EMBALLONURINAE (cant.)","TRUE","25","","","","","","","","77"
"    Saccopteryx canescens","","25","3.4","","130","","","","S","78"
"    Saccopteryx leptura","","25","5.1","10.7","161","2.9","7","7","S","79"
"    Cormura brevirostris","","25","8.2","10.0","219","3.5","3","3","S","80"
"    Peropteryx macrotis *)","","25","5.6","12.6","160","7.6","18","18","S","81"
"    Peropteryx trinitatis","","25","4.2","10.3","137","6.1","6","6","S","82"
"    Taphozous australis","","25","24.0","7.9","517","1.1","3","3","S","83"
"    Taphozous hildegardeae","","25","27.4","7.9","545","4.1","7","7","S","84"
"    Taphozous longimanus","","25","23.2","","470","","1","1","S","85"
"    Taphozous mauritianus","","25","29.0","2.2","551","13.7","2","2","S","86"
"    Taphozous melanopogon","","25","22.7","5.1","536","5.8","10","10","S","87"
"    Taphozous theobaldi","","25","39.8","2.7","681","2.8","8","8","S","88"
"    Taphozous saccolaimus","","25","43.0","7.5","671","7.0","13","13","S","89"
"    Taphozous saccolaimus ssp.","","25","51.4","11.3","672","3.6","10","10","S","90"
"  DICLIDURINAE","TRUE","25","","","","","","","","91"
"    Cyttarops alecto","","25","5.3","","175","","","","S","92"
"CRASEONYCTERIDAE","TRUE","25","","","","","","","","93"
"    Craseonycteris thonglongyai","","25","2.56","5.9","87","4.9","5","5","S","94"
"NYCTERIDAE","TRUE","25","","","","","","","","95"
"    Nycteris arge","","25","10.6","7.8","347","2.7","6","6","S","96"
"    Nycteris grandis","","25","29.8","4.6","709","4.0","10","10","S","97"
"    Nycteris hispida","","25","7.8","","284","","1","1","S","98"
"    Nycteris javanica","","25","18.4","","470","","1","1","S","99"
"    Nycteris macrotis","","25","14.5","8.3","388","5.9","3","3","S","100"
"    Nycteris nana","","25","6.9","8.8","238","3.3","4","4","S","101"
"    Nycteris thebaica","","25","8.9","12.6","323","5.6","3","3","S","102"
"    Nycteris tragata","","25","14.4","5.4","460","7.8","2","2","S","103"
"MEGADERMATIDAE","TRUE","25","","","","","","","","104"
"    Megaderma lyra","","25","38.6","13.4","907","6.8","20","20","S","105"
"    Megaderma spasma","","25","22.6","13.6","644","8.2","15","15","S","106"
"    Macroderma gigas","","25","119.8","3.0","1704","4.0","4","4","S","107"
"    Cardioderma cor","","25","26.0","13.2","670","5.6","11","11","S","108"
"    Laviafrons","","25","23.4","2.8","644","3.0","3","3","S","109"
"RHINOLOPHIDAE","TRUE","25","","","","","","","","110"
"    Rhinolophus acuminatus","","25","12.1","15.2","302","11.3","10","10","S","111"
"    Rhinolophus affinis","","25","13.7","8.0","355","7.9","16","16","S","112"
"    Rhinolophus capensis","","25","12.8","4.7","256","3.9","7","7","13","113"
"    Rhinolophus clivosus","","25","20.1","2.5","242","12.4","5","5","13","114"
"    Rhinolophus coelophyllus","","25","7.7","10.8","259","5.4","8","8","S","115"
"    Rhinolophus cornutus","","25","6.6","4.5","194","5.3","4","4","S","116"
"RHINOLOPHIDAE (cont.)","TRUE","26","","","","","","","","117"
"    Rhinolophus eloquens","","26","19.1","4.1","404","11.0","2","2","S","118"
"    Rhinolophus ferrumequinum","","26","23.5","","350","","1","1","2","119"
"    Rhinolophus hildebrandti","","26","29.1","","630","","1","1","S","120"
"    Rhinolophus hipposideros","","26","4.6","10.4","149","9.3","4","4","S","121"
"    Rhinolophus landeri","","26","9.7","5.7","277","5.7","12","12","S","122"
"    Rhinolophus lepidus","","26","6.0","3.6","185","3.8","6","6","S","123"
"    Rhinolophus luctus","","26","32.8","11.4","621","17.1","3","3","S","124"
"    Rhinolophus macrotis","","26","6.3","8.8","208","4.2","7","7","S","125"
"    Rhinolophus malayanus","","26","6.4","5.6","202","3.6","8","8","S","126"
"    Rhinolophus megaphyllus","","26","9.8","6.2","261","3.4","7","7","S","127"
"    Rhinolophus megaphyllus ssp.","","26","7.0","13.3","230","4.3","3","3","S","128"
"    Rhinolophus mehelyi","","26","9.7","7.1","310","2.7","6","6","S","129"
"    Rhinolophus paradoxolophus","","26","9.3","","267","","1","1","S","130"
"    Rhinolophus pearsoni","","26","13.9","15.9","332","5.3","7","7","S","131"
"    Rhinolophus pusillus","","26","4.7","8.8","164","7.6","8","8","S","132"
"    Rhinolophus refulgens","","26","5.4","","190","","1","1","S","133"
"    Rhinolophus robinsoni","","26","8.4","3.4","277","1.8","2","2","S","134"
"    Rhinolophus stheno ssp.","","26","7.0","6.3","244","6.5","7","7","S","135"
"    Rhinolophus stheno stheno","","26","8.5","4.5","285","6.0","6","6","S","136"
"    Rhinolophus thomasi","","26","9.0","7.8","233","3.2","8","8","S","137"
"    Rhinolophus trifoliatus","","26","14.6","14.3","352","7.9","9","9","S","138"
"    Rhinolophus yunanensis","","26","23.5","12.4","439","3.4","2","2","S","139"
"HIPPOSIDERIDAE","TRUE","26","","","","","","","","140"
"    Hipposideros armiger","","26","56.0","8.4","800","5.4","10","10","S","141"
"    Hipposideros ater","","26","6.9","11.4","213","4.6","5","5","S","142"
"    Hipposideros ater aruensis","","26","5.5","2.6","190","1.9","2","2","S","143"
"    Hipposideros ater saevus","","26","4.2","1.9","179","4.9","4","4","S","144"
"    Hipposideros ater ssp.","","26","7.2","","245","","1","1","S","145"
"    Hipposideros bicolor gentilis","","26","6.2","8.5","233","4.7","6","6","S","146"
"    Hipposideros bicolor atrox","","26","8.3","4.2","245","6.9","3","3","S","147"
"    Hipposideros caffer","","26","11.0","5.2","306","4.6","14","14","S","148"
