check,key,detail
individual,ateles geoffroyi,Table1_only_not_in_comparison; left insula NA vs 416 mm3
individual,avahi laniger,Table1_only_not_in_comparison; left insula NA vs 38 mm3
individual,cebus albifrons,Table1_only_not_in_comparison; left insula NA vs 297 mm3
individual,cercocebus agilis,Table1_only_not_in_comparison; left insula NA vs 379 mm3
individual,galagoides demidoff,Table1_only_not_in_comparison; left insula NA vs 12 mm3
individual,gorilla gorilla,Table1_only_not_in_comparison; left insula NA vs 1910 mm3
individual,homo sapiens,Table1_only_not_in_comparison; left insula NA vs 6463 mm3
individual,homo sapiens,Table1_only_not_in_comparison; left insula NA vs 7222 mm3
individual,homo sapiens,Table1_only_not_in_comparison; left insula NA vs 4068 mm3
individual,hylobates lar,Table1_only_not_in_comparison; left insula NA vs 289 mm3
individual,indri indri,Table1_only_not_in_comparison; left insula NA vs 167 mm3
individual,lophocebus albigena,Table1_only_not_in_comparison; left insula NA vs 536 mm3
individual,loris tardigradus,Table1_only_not_in_comparison; left insula NA vs 12 mm3
individual,pan paniscus,Table1_only_not_in_comparison; left insula NA vs 1753 mm3
individual,pan troglodytes,Table1_only_not_in_comparison; left insula NA vs 1942 mm3
individual,perodicticus potto,Table1_only_not_in_comparison; left insula NA vs 31 mm3
individual,piliocolobus badius,Table1_only_not_in_comparison; left insula NA vs 241 mm3
individual,pongo pygmaeus,Table1_only_not_in_comparison; left insula NA vs 1505 mm3
individual,saguinus oedipus,Table1_only_not_in_comparison; left insula NA vs 26 mm3
individual,trachypithecus francoisi,Table1_only_not_in_comparison; left insula NA vs 625 mm3
individual,callithrix pygmaea,matched
individual,hylobates muelleri,matched; left insula 481.4 vs 539 mm3
individual,pan paniscus,matched; left insula 1387 vs 1775 mm3
individual,pan troglodytes,matched; left insula 1753.5 vs 1387 mm3
species_digest,pongo pygmaeus,Sheet2 value is not the species mean of the Sheet1 doubled values; GENUS-POOLED (sensu lato) mean over pongo abelii + pongo pygmaeus
