species_key,sheet2_species,n_individuals_cmp,n_individuals_csv,sheet2_insula_cm3,sheet1_mean_doubled_cm3,sheet2_eq_sheet1_mean,sheet2_basis,csv_mean_2x_left_cm3,sheet2_vs_csv_diff_cm3,doubling_bases,note,genus,n_individuals_genus,genus_mean_doubled_cm3,congeners,sheet2_eq_genus_mean
alouatta caraya,Alouatta caraya,1,1,0.543604,0.543604,TRUE,species mean of the doubled values,0.544,-3.9600000000006297e-4,2 x left,same doubling basis,alouatta,1,0.543604,alouatta caraya,TRUE
ateles geoffroyi,NA,NA,1,NA,NA,TRUE,NA,0.832,NA,NA,in Table1 only (not in the comparison file),ateles,NA,NA,NA,TRUE
avahi laniger,NA,NA,1,NA,NA,TRUE,NA,0.076,NA,NA,in Table1 only (not in the comparison file),avahi,NA,NA,NA,TRUE
callithrix pygmaea,Cebuella pygmaea,1,1,0.023575903815840005,0.023575903815840005,TRUE,species mean of the doubled values,0.022,0.0015759038158400067,2 x left,same doubling basis,callithrix,1,0.023575903815840005,callithrix pygmaea,TRUE
cebus albifrons,NA,NA,1,NA,NA,TRUE,NA,0.594,NA,NA,in Table1 only (not in the comparison file),cebus,NA,NA,NA,TRUE
cercocebus agilis,NA,NA,1,NA,NA,TRUE,NA,0.758,NA,NA,in Table1 only (not in the comparison file),cercocebus,NA,NA,NA,TRUE
cercopithecus kandti,Cercopithecus kandti,1,1,1.228385,1.228385,TRUE,species mean of the doubled values,1.228,3.850000000000797e-4,2 x left,same doubling basis,cercopithecus,1,1.228385,cercopithecus kandti,TRUE
colobus angolensis,Colobus angolensis,1,1,0.444799,0.444799,TRUE,species mean of the doubled values,0.444,7.989999999999942e-4,2 x left,same doubling basis,colobus,1,0.444799,colobus angolensis,TRUE
galagoides demidoff,NA,NA,1,NA,NA,TRUE,NA,0.024,NA,NA,in Table1 only (not in the comparison file),galagoides,NA,NA,NA,TRUE
gorilla gorilla,Gorilla gorilla,3,4,4.373339240760104,4.373339240760104,TRUE,species mean of the doubled values,4.291,0.08233924076010357,2 x left; L+R,"expected offset: digest doubles as L+R, merge convention doubles the left",gorilla,3,4.373339240760104,gorilla gorilla,TRUE
homo sapiens,Homo sapiens,2,5,14.215535200000001,14.215535200000001,TRUE,species mean of the doubled values,12.958,1.2575352000000013,L+R,"expected offset: digest doubles as L+R, merge convention doubles the left",homo,2,14.215535200000001,homo sapiens,TRUE
hylobates lar,NA,NA,1,NA,NA,TRUE,NA,0.578,NA,NA,in Table1 only (not in the comparison file),hylobates,1,0.9628325,hylobates muelleri,FALSE
hylobates muelleri,Hylobates muelleri,1,1,0.9628325,0.9628325,TRUE,species mean of the doubled values,1.078,-0.11516750000000009,2 x left,same doubling basis,hylobates,1,0.9628325,hylobates muelleri,TRUE
indri indri,NA,NA,1,NA,NA,TRUE,NA,0.334,NA,NA,in Table1 only (not in the comparison file),indri,NA,NA,NA,TRUE
leontopithecus rosalia,Leontopithecus rosalia,1,1,0.07427688000000002,0.07427688000000002,TRUE,species mean of the doubled values,0.074,2.76880000000021e-4,2 x left,same doubling basis,leontopithecus,1,0.07427688000000002,leontopithecus rosalia,TRUE
lophocebus albigena,NA,NA,1,NA,NA,TRUE,NA,1.072,NA,NA,in Table1 only (not in the comparison file),lophocebus,NA,NA,NA,TRUE
loris tardigradus,NA,NA,1,NA,NA,TRUE,NA,0.024,NA,NA,in Table1 only (not in the comparison file),loris,NA,NA,NA,TRUE
macaca maura,Macaca maura,1,1,0.98474625,0.98474625,TRUE,species mean of the doubled values,0.984,7.462500000000594e-4,2 x left,same doubling basis,macaca,1,0.98474625,macaca maura,TRUE
pan paniscus,Pan paniscus,2,3,3.0157102456443337,3.0157102456443328,TRUE,species mean of the doubled values,3.3806666666666665,-0.36495642102233283,L+R,"expected offset: digest doubles as L+R, merge convention doubles the left",pan,4,3.0499026521098753,pan paniscus + pan troglodytes,FALSE
pan troglodytes,Pan troglodytes,2,3,3.0840950585754188,3.084095058575418,TRUE,species mean of the doubled values,3.2013333333333334,-0.1172382747579146,2 x left; L+R,"expected offset: digest doubles as L+R, merge convention doubles the left",pan,4,3.0499026521098753,pan paniscus + pan troglodytes,FALSE
perodicticus potto,NA,NA,1,NA,NA,TRUE,NA,0.062,NA,NA,in Table1 only (not in the comparison file),perodicticus,NA,NA,NA,TRUE
piliocolobus badius,NA,NA,1,NA,NA,TRUE,NA,0.482,NA,NA,in Table1 only (not in the comparison file),piliocolobus,NA,NA,NA,TRUE
