Code,Definition,Structure,Measure,Stat,role,taxon,Reference,Note,Source Note
Species,species as named in Bauernfeind et al. 2013 (full name on the first individual; abbreviated thereafter in the print),,,info,,,Bauernfeind_etal_2013_Table1,abbreviated names are expanded by the R script; taxonomy applied later via ../_keys/Stephan/,
Individual,"specimen identifier, footnote markers removed; joins to Table 2's Individual",,,info,,,Bauernfeind_etal_2013_Table1,"all 15 Table 2 individuals match a Table 1 individual after the split; before it, 'Nambob' and 'Nambo' were the same brain under two strings",
individual_as_published,specimen identifier exactly as printed including the trailing footnote marker(s),,,info,,,Bauernfeind_etal_2013_Table1,"e.g. 'Sabtub,c'. Kept so the printed page can always be recovered",
footnote_ref,"the table's footnote marker(s) carried by this row, comma-separated",,,info,,,Bauernfeind_etal_2013_Table1,a = StereoInvestigator; b = ImageJ; c = left hemisphere unavailable. Every row carries a or b,
measurement_software,software used to estimate this individual's volumes; derived from footnote_ref,,,info,,,Bauernfeind_etal_2013_Table1,StereoInvestigator (22 individuals) or ImageJ (21). Method heterogeneity inside one table,
left_hemisphere_unavailable,TRUE where footnote c applies,,,info,,,Bauernfeind_etal_2013_Table1,"only Pongo pygmaeus 'Sabtu': contributes brain mass and volume but no insula volumes, which is why Table 3's left n=1 for that species",
Collection,brain collection of origin,,,info,,,Bauernfeind_etal_2013_Table1,UCSD / Yakovlev-Haleem / GAAP / Stephan,
section_thickness_mm,histological section sampling interval in mm,,,info,,,Bauernfeind_etal_2013_Table1,Table 1 column,
age,age of the specimen (years) where reported,,,info,,,Bauernfeind_etal_2013_Table1,en-dash where not reported,
sex,sex of the specimen,,,info,,,Bauernfeind_etal_2013_Table1,,
body_mass_g,body mass in g (printed in kg; x1000),Body_weight,Mass.g,,secondary,Primates,Bauernfeind_etal_2013_Table1,external species estimate (Smith & Jungers 1997); not the project's harmonised Body_weight_current,
social_group_size,population/social group size from the literature,,,info,,,Bauernfeind_etal_2013_Table1,Nunn & van Schaik 2001; Nunn 2002; en-dash where not found,
brain_mass_mg,brain mass in mg (printed in g; x1000),Brain_weight,Mass.mg,,primary,Primates,Bauernfeind_etal_2013_Table1,Table 1 'Brain mass (g)',
brain_volume_mm3,shrinkage-corrected total brain volume in mm3 (printed in cm3; x1000),Total_brain_net_volume,Vol.mm3,,primary,Primates,Bauernfeind_etal_2013_Table1,Table 1 'Brain volume (cm3)',
granular_L_mm3,volume of granular insular cortex (left) in mm3 (printed in cm3; x1000),Granular_insular_cortex,Vol.mm3,,primary,Primates,Bauernfeind_etal_2013_Table1,Table 1 'Granular',
dysgranular_L_mm3,volume of dysgranular insular cortex (left) in mm3,Dysgranular_insular_cortex,Vol.mm3,,primary,Primates,Bauernfeind_etal_2013_Table1,Table 1 'Dysgranular',
agranular_L_mm3,volume of agranular insular cortex (left) in mm3,Agranular_insular_cortex,Vol.mm3,,primary,Primates,Bauernfeind_etal_2013_Table1,Table 1 'Agranular',
FI_L_mm3,volume of frontoinsular cortex (left) in mm3; present only in great apes and humans (VENs),fronto_insular_cortex,Vol.mm3,,primary,Primates,Bauernfeind_etal_2013_Table1,Table 1 'FI'; en-dash (NA) where absent,
total_insula_L_mm3,total left insula volume in mm3 (granular + dysgranular + agranular; + FI where present),Insula,Vol.mm3,,primary,Primates,Bauernfeind_etal_2013_Table1,Table 1 'Total insula volume',
Method:units_aggregation,"printed units kg / g / cm3 converted to project units g / mg / mm3 (x1000). Table 1 is per-individual LEFT hemisphere; the project's Bauernfeind_2013.csv holds species means, with Pongo abelii + Pongo pygmaeus merged as the mean of the two species' means (n=4 individuals).",,,method,,,Bauernfeind_etal_2013_Table1,Right-hemisphere volumes are the paper's Table 2 (not snapshotted here).,
