Code,Definition,Structure,Measure,Stat,role,taxon,Reference,Note,Source Note
Updated Species Name (from Wilson & Reeder Mammal Species of the World),species name updated to current taxonomy per Wilson & Reeder Mammal Species of the World,,,info,taxonomy,Mammalia,Boddy_etal_2012_brainbodydatabasev2,,
Species Name (from original article),species name exactly as printed in the compiled source article,,,info,,Mammalia,Boddy_etal_2012_brainbodydatabasev2,,
Order,mammalian taxonomic order,,,info,taxonomy,Mammalia,Boddy_etal_2012_brainbodydatabasev2,,
Brain Volume,brain volume as reported by the original source,Brain,volume,,primary,Mammalia,Boddy_etal_2012_brainbodydatabasev2,units not standardized across sources; see Source column,
Brain Volume Standard Deviation,standard deviation of Brain Volume across individuals,Brain,volume SD,,primary,Mammalia,Boddy_etal_2012_brainbodydatabasev2,blank where only a single individual or no SD reported,
Brain Mass (g),brain mass in grams as reported or converted by the original source,Brain,mass_g,,primary,Mammalia,Boddy_etal_2012_brainbodydatabasev2,,
Brain Mass Standard Deviation,standard deviation of Brain Mass (g) across individuals,Brain,mass_g SD,,primary,Mammalia,Boddy_etal_2012_brainbodydatabasev2,blank where only a single individual or no SD reported,
Body Mass (g),body mass in grams as reported by the original source,Body,mass_g,,primary,Mammalia,Boddy_etal_2012_brainbodydatabasev2,,
Body Mass Standard Deviation,standard deviation of Body Mass (g) across individuals,Body,mass_g SD,,primary,Mammalia,Boddy_etal_2012_brainbodydatabasev2,blank where only a single individual or no SD reported,
Sex,sex of the measured individual(s) (e.g. M, F, M&F),,,info,,Mammalia,Boddy_etal_2012_brainbodydatabasev2,,
No. Individuals,number of individuals the row's values are based on,,count,,info,,Boddy_etal_2012_brainbodydatabasev2,blank where not reported,
Age Class,reported or estimated age class of the individual(s) (e.g. Adult; Not Adult),,,info,,Mammalia,Boddy_etal_2012_brainbodydatabasev2,estimated from body mass where noted,
Source,original literature source the measurement was compiled from,,,info,,,Boddy_etal_2012_brainbodydatabasev2,per-row citation to the underlying primary source; see paper's own bibliography for full reference,
Notes,free-text notes on corrections/derivations applied to the row (e.g. brain-mass corrections),,,info,,,Boddy_etal_2012_brainbodydatabasev2,,
source_dataset,constant tag identifying this compiled dataset,,,info,,,Boddy_etal_2012_brainbodydatabasev2,always "Boddy_etal_2012_brainbodydatabasev2",
