status,species_key,species_file,species_csv,n_measure_mismatch,order_file,clade_file,group_csv,cer_white_cmp,cer_gray_cmp,neo_white_cmp,neo_gray_cmp,cer_white_txt,cer_gray_txt,neo_white_txt,neo_gray_txt,cer_white_match,cer_gray_match,neo_white_match,neo_gray_match
matched_by_species,ailurus fulgens,Ailurus fulgens,Ailurus fulgens,0,Carnivores,Carnivores,Carnivores,1.1,3.9699999999999998,6.25,13.800000000000002,1.1,3.97,6.25,13.8,TRUE,TRUE,TRUE,TRUE
matched_by_species,alouatta palliata,Alouatta palliata,Alouatta palliata,0,Primates,Haplorrhines,New World Monkeys,1.05,3.3199999999999994,11.6,17.4,1.05,3.32,11.6,17.4,TRUE,TRUE,TRUE,TRUE
matched_by_species,aotus trivirgatus,Aotus trivirgatus,Aotus trivirgatus,0,Primates,Haplorrhines,New World Monkeys,0.17400000000000002,0.753,1.49,4.319999999999999,0.174,0.753,1.49,4.32,TRUE,TRUE,TRUE,TRUE
matched_by_species,applodontia rufa,Applodontia rufa,Applodontia rufa,0,Rodents,Rodents,Rodents,0.137,0.6649999999999999,0.376,1.48,0.137,0.665,0.376,1.48,TRUE,TRUE,TRUE,TRUE
matched_by_species,ateles sp.,Ateles sp.,Ateles sp.,0,Primates,Haplorrhines,New World Monkeys,1.6799999999999997,5.97,17.7,28.9,1.68,5.97,17.7,28.9,TRUE,TRUE,TRUE,TRUE
matched_by_species,callicebus sp.,Callicebus sp.,Callicebus sp.,0,Primates,Haplorrhines,New World Monkeys,0.24900000000000003,0.8330000000000001,1.9399999999999995,5.119999999999999,0.249,0.833,1.94,5.12,TRUE,TRUE,TRUE,TRUE
matched_by_species,canis latrans,Canis latrans,Canis latrans,0,Carnivores,Carnivores,Carnivores,1.34,4.169999999999999,15.5,30.4,1.34,4.17,15.5,30.4,TRUE,TRUE,TRUE,TRUE
matched_by_species,cercocebus torquatus,Cercocebus torquatus,Cercocebus torquatus,0,Primates,Haplorrhines,Old World Monkeys,1.96,4.47,40.400000000000006,47.900000000000006,1.96,4.47,40.4,47.9,TRUE,TRUE,TRUE,TRUE
matched_by_species,cercopithecus nictitans,Cercopithecus nictitans,Cercopithecus nictitans,0,Primates,Haplorrhines,Old World Monkeys,0.965,3.8399999999999994,11.800000000000002,36,0.965,3.84,11.8,36,TRUE,TRUE,TRUE,TRUE
matched_by_species,chinchilla laniger,Chinchilla laniger,Chinchilla laniger,0,Rodents,Rodents,Rodents,0.17300000000000001,0.7919999999999999,0.269,1.1599999999999997,0.173,0.792,0.269,1.16,TRUE,TRUE,TRUE,TRUE
matched_by_species,choloepus didactylis,Choloepus didactylis,Choloepus didactylis,0,Xenarthra,Xenarthra,Xenarthra,0.6819999999999999,2.3,2.63,7.91,0.682,2.3,2.63,7.91,TRUE,TRUE,TRUE,TRUE
matched_by_species,crocuta crocuta,Crocuta crocuta,Crocuta crocuta,0,Carnivores,Carnivores,Carnivores,3.12,8.340000000000003,28.9,56.1,3.12,8.34,28.9,56.1,TRUE,TRUE,TRUE,TRUE
matched_by_species,didelphis marsupialis,Didelphis marsupialis,Didelphis marsupialis,0,Marsupials,Marsupials,Marsupials,0.16,0.6699999999999999,0.15100000000000002,0.939,0.16,0.67,0.151,0.939,TRUE,TRUE,TRUE,TRUE
matched_by_species,equus burchelli,Equus burchelli,Equus burchelli,0,Zebra,Zebra,Zebra,9.600000000000001,27.4,88.4,149,9.6,27.4,88.4,149,TRUE,TRUE,TRUE,TRUE
matched_by_species,eulemur mongoz,Eulemur mongoz,Eulemur mongoz,0,Primates,Strepsirrhines,Strepsirrhines,0.4860000000000001,1.8799999999999997,3.8299999999999996,8.229999999999999,0.486,1.88,3.83,8.23,TRUE,TRUE,TRUE,TRUE
matched_by_species,galago senegalensis,Galago senegalensis,Galago senegalensis,0,Primates,Strepsirrhines,Strepsirrhines,0.06339999999999998,0.354,0.195,1.2,0.0634,0.354,0.195,1.2,TRUE,TRUE,TRUE,TRUE
