species,count,reference
Microcebus murinus,565000,Dkhissi-Benyahya et al. (2001)
Cheirogaleus medius,192000,Tetreault et al. (2004)
Galago senegalensis,519000,DeBruyn et al. (1980)
Otolemur crassicaudatus,755000,DeBruyn et al. (1980)
Tarsius syrichta,797000,Tetreault et al. (2004)
Aotus trivirgatus,465000,Webb and Kaas (1976); Silveira et al. (1993); Jones (1965); Jacobs (1977)
Cebus apella,1370000,Silveira et al. (1989); Perry and Cowey (1985)
Macaca mulatta,1600000,Perry and Cowey (1985)
Macaca fascicularis,1583000,Wässle et al. (1990); Reese and Ho (1988)
Papio anubis,1580000,Fischer and Kirby (1991)
Cercopithecus aethiops,1229000,Herbin et al. (1997)
Homo sapiens,1275000,Van Buren (1963); Jonas et al. (1992); Curcio et al. (1990)
