Code,Definition,Structure,Measure,Stat,role,taxon,Reference,Note,Source Note
species,binomial harmonized to key,,Species,,primary,Cetacea,Butti_etal_2009_Table5,via _keys/Hof/species_key.csv,
species_as_published,as printed,,Species,,primary,,Butti_etal_2009_Table5,the table abbreviates the genus,
roi,region of interest as printed,,,,info,,Butti_etal_2009_Table5,"ACC, SUBG, AI or FP","caption: ACC, anterior cingulate cortex; AI, anterior insula; FP, frontopolar cortex; SUBG, subgenual cortex"
ven_n_RH,"estimated total VENs, right hemisphere",Cerebral_cortex_region,N.n,,primary,Cetacea,Butti_etal_2009_Table5,blank where the right hemisphere was unavailable,
ven_n_LH,"estimated total VENs, left hemisphere",Cerebral_cortex_region,N.n,,primary,Cetacea,Butti_etal_2009_Table5,blank where the left hemisphere was unavailable,
ven_pct,VENs as a percentage of total neurons in the region,Cerebral_cortex_region,pct.neurons,,primary,Cetacea,Butti_etal_2009_Table5,printed on five of the nine rows only,caption: percentage of VENs calculated from the total number of neurons in the cortical area of interest
ce,coefficient of error of the VEN estimate,Cerebral_cortex_region,CE,,info,,Butti_etal_2009_Table5,three rows exceed 0.1,"caption: calculated as the inverse of the square root of the number of cells counted. CE values above 0.1 are called not optimal indicators, because VENs are unevenly and clusteredly distributed and few in number; those estimates came from exhaustive enumerations."
hemisphere_available,which hemisphere the estimate came from,,,,info,,Butti_etal_2009_Table5,"L for T. truncatus, R for the other three","caption: the estimates were obtained in the only available hemisphere in each specimen; the right hemisphere of T. truncatus and the left hemispheres of G. griseus, D. leucas and M. novaeangliae were not available"
underestimate,the count is a known underestimate,,,,info,,Butti_etal_2009_Table5,"TRUE for the three odontocetes, FALSE for the humpback",caption: VEN numbers in the odontocetes represent only the available blocks from the ROI and are therefore underestimates
source,source id,,Source,,primary,,Butti_etal_2009_Table5,,
Method:observation_level,species x region,,,,method,,Butti_etal_2009_Table5,"one row per printed row; one specimen per species, one hemisphere per specimen",
Method:percentage_placement,percentages transcribed where printed,,,,method,,Butti_etal_2009_Table5,two of the five sit on SUBG rows,"The paper's Table 3 gives total-neuron sampling parameters only for T. truncatus ACC, G. griseus ACC, D. leucas ACC, D. leucas AI and M. novaeangliae AI - so on the face of it the T. truncatus and G. griseus percentages should be ACC, not SUBG. But SUBG appears in neither Table 2 nor Table 3 while Table 5 reports SUBG VEN counts, so those parameter tables are incomplete and cannot settle it. Transcribed as printed and flagged, not reconciled."
Method:cell_counting,optical fractionator,,,,method,,Butti_etal_2009_Table5,parameters in the paper's Table 2 (VENs) and Table 3 (total neurons),"VENs: 5-24 sections per ROI, 1,382-58,267 microscopic fields, counting frame 20,900 or 42,500 um2, disector height 12 or 28 um, 1 um guard zones. Total neurons: 7-26 sections, 183-500 fields, 3,600 um2 frame, sampling grid 1,000x1,400 to 5,000x5,000 um."
Method:regions_not_pooled,ROIs are separate loci,,,,method,,Butti_etal_2009_Table5,"do not pool ACC, SUBG, AI and FP","different cortical regions in the same specimen; the merge unit is the region, not the brain"
