Code,Definition,Structure,Measure,Stat,role,taxon,Reference,Note,Source Note
search_id,record identifier in the source sleep database export,,,,info,Mammals,Capellini_etal_2008_sleep-data,unique within the export; not stable across the three sex files,source column search_id
sex_file,which of the three exports the record came from (Female / Male / Mixed),,,,info,Mammals,Capellini_etal_2008_sleep-data,added by the build script; equals the registry Item number suffix,three separate registry items
Sex_reported,sex class as printed (F / M / Mix),,,,info,Mammals,Capellini_etal_2008_sleep-data,,source column Sex
habitat_type,Land or Marine as classified in the source,,,,info,Mammals,Capellini_etal_2008_sleep-data,drives which of the in-water / on-land columns are populated,source column type
Reference,short citation of the primary sleep study,,,,info,Mammals,Capellini_etal_2008_sleep-data,Capellini compiled these; each row's real measurer is this reference,source column Reference
Full_Reference,full citation of the primary sleep study,,,,info,Mammals,Capellini_etal_2008_sleep-data,,source column Full_Reference
SpeciesName_Reported,species name exactly as printed in the source export,,,,info,Mammals,Capellini_etal_2008_sleep-data,printed name preserved verbatim (invariant 3); printed in Title Case,includes lab strains and common names
CommonName_Reported,common name as printed,,,,info,Mammals,Capellini_etal_2008_sleep-data,the only species clue for the one record whose species column is N/A,source column CommonName_Reported
species_sci,accepted scientific binomial resolved via _keys/Stephan/species_key.csv (source_publication = Capellini2008),,,,info,Mammals,Capellini_etal_2008_sleep-data,"93 species; NA for the one unidentified record; Fur Seal and Tapir stay as printed pending curator review",no name is resolved outside the key (HOWTO sec 5)
Sleep_h_day,total daily sleep time as reported,whole-organism,Sleep.h_day,point,primary,Mammals,Capellini_etal_2008_sleep-data,project standardized term; hours per day as printed - no unit conversion,source column Total_daily_sleep
Sleep_h_day_drowsy_adj,total daily sleep adjusted for drowsiness,whole-organism,Sleep.h_day,point,info,Mammals,Capellini_etal_2008_sleep-data,populated for very few records; alternative to Sleep_h_day - do not average the two,source column Sleep_time_adjusted_for_drowsiness
REM_h,paradoxical (REM) sleep time as reported,whole-organism,Sleep.h_day,point,primary,Mammals,Capellini_etal_2008_sleep-data,PS = paradoxical sleep = REM; used to derive REM_sleep_pct,source column Daily_PS_time
NREM_h,quiet (NREM / slow-wave) sleep time as reported,whole-organism,Sleep.h_day,point,info,Mammals,Capellini_etal_2008_sleep-data,carried for completeness; not currently a merged term,source column Quiet_sleep_time
Sleep_cycle_min,length of one sleep cycle,whole-organism,Time.min,point,info,Mammals,Capellini_etal_2008_sleep-data,minutes as printed; sparsely populated (57 of 183 records),source column Sleep_cycle_length
REM_sleep_pct,per cent of total sleep spent in REM,whole-organism,Sleep.pct,point,primary,Mammals,Capellini_etal_2008_sleep-data,project standardized term; = 100 * REM_h / Sleep_h_day,derived in Capellini_etal_2008_sleep-data.R
Sleep_h_day_in_water,total daily sleep recorded in water,whole-organism,Sleep.h_day,point,info,Mammals (marine),Capellini_etal_2008_sleep-data,marine records only,source column Total_daily_sleep_time_in_water
Sleep_h_day_on_land,total daily sleep recorded on land,whole-organism,Sleep.h_day,point,info,Mammals (marine),Capellini_etal_2008_sleep-data,marine records only,source column Total_daily_sleep_time_on_land
REM_h_in_water,REM sleep recorded in water,whole-organism,Sleep.h_day,point,info,Mammals (marine),Capellini_etal_2008_sleep-data,marine records only,source column Daily_PS_time_in_water
REM_h_on_land,REM sleep recorded on land,whole-organism,Sleep.h_day,point,info,Mammals (marine),Capellini_etal_2008_sleep-data,marine records only,source column Daily_PS_time_on_land
NREM_h_in_water,quiet sleep recorded in water,whole-organism,Sleep.h_day,point,info,Mammals (marine),Capellini_etal_2008_sleep-data,marine records only,source column Quiet_sleep_time_in_water
NREM_h_on_land,quiet sleep recorded on land,whole-organism,Sleep.h_day,point,info,Mammals (marine),Capellini_etal_2008_sleep-data,marine records only,source column Quiet_sleep_time_on_land
USWS,unihemispheric slow-wave sleep as reported by the primary study,whole-organism,Sleep.text,,info,Mammals (marine),Capellini_etal_2008_sleep-data,free text not a number; relates to the Lyamin 2008 USWS terms but is NOT the same measure,source column USWS
BSWS,bihemispheric slow-wave sleep as reported,whole-organism,Sleep.text,,info,Mammals (marine),Capellini_etal_2008_sleep-data,free text not a number,source column BSWS
ASWS,asymmetric slow-wave sleep as reported,whole-organism,Sleep.text,,info,Mammals (marine),Capellini_etal_2008_sleep-data,free text not a number,source column ASWS
N_reported,number of animals as printed by the primary study,,Count,point,info,Mammals,Capellini_etal_2008_sleep-data,,source column N
