"search_id","ID","type","Reference","SpeciesName_Reported","CommonName_Reported","N","EEG","Telemetry","Twenty_four_hour","Light","Adaptation","Diet","Temperature","Restraint","Behavioural","Total_lab_condition_score","Total_daily_sleep","Sleep_time_adjusted_for_drowsiness","Daily_PS_time","Quiet_sleep_time","Sleep_cycle_length","Number_of_animals_in_calculated_mean","Animals_sampled","Sex","Age_class_reported","Absolute_age_reported","Hayssen_age_class","Summary_age_class","Monophasic_polyphasic","Data_entered_by","Notes_Misc","Error","Error_Note","Total_daily_sleep_time_in_water","Total_daily_sleep_time_on_land","Daily_PS_time_in_water","Daily_PS_time_on_land","Daily_PS_time_in_water_bihemispheric","Daily_PS_time_on_land_bihemispheric","Quiet_sleep_time_on_land_bihemispheric","Quiet_sleep_time_in_water_bihemispheric","Bilateral_desynchronization","Unilateral_synchronization","Bilateral_synchronization","USWS","BSWS","ASWS","Quiet_sleep_time_in_water","Quiet_sleep_time_on_land","Full_Reference","PDF","Paper_photocopied","Type_of_paper","Data_came_from","Foreign_language","Post1988"
"205","","Land","Perachio, 1970","Aotus Trivirgatus","Owl Monkey","5","Yes","No","3 (24 hour recording period)","Normal light/dark conditions","Yes","Normal","No","N/A","0","9","16.97","N/A","1.82","15.15","N/A","5","5","Mix","Adult","N/A","N/A","Adult","N/A","EH","Data Match Elgar Et Al. (1988)","","","","","","","","","","","","","","","","","","","Perachio, A. A. (1970). Sleep In The Nocturnal Primate, Aotus Trivirgatus. Proccedings Of The 3rd International Congress Of Primatology, 2, 54-60.

","No","Yes","Scientific Paper","Not from Zepelin","No","No"
"280","","Land","Wauquier Et Al., 1979","Beagle Dog","Beagle Dog","7","Yes","No","3 (24 hour recording period)","Normal light/dark conditions","Yes","Normal","No","N/A","0","9","12.912","N/A","3.24","9.67","45","7","7","Mix","N/A","1 Year","Juvenile","Juvenile","Poly","EH","Both Sexes (6 Males. 1 Female); Data Are Not Separated By Sex; Adult Or Juv Not Specified","","","","","","","","","","","","","","","","","","","Wauquier, A., Verheyen, J. L., Van Den Broeck, W. A., & Janssen, P. A. (1979). Visual And Computer-based Analysis Of 24 H Sleep-waking Patterns In The Dog. Electroencephalography & Clinical Neurophysiology, 46(1), 33-48. 

","No","Yes","Scientific Paper","Not from Zepelin","No","No"
"115","","Land","Galvao Et Al., 1983","Bradypus Tridactylus","Three-toed Sloth","4","Yes","No","3 (24 hour recording period)","Normal light/dark conditions","No","Normal","No","No","1","10","10.521","2.6815","1.1858","9.3358","37.8","4","4","Mix","Adult & Juvenile","N/A","N/A","Adult & Juvenile","Poly","EH","Used Group III; N=4; Separated According Tos Ex; Used Table 2. States 3 Males And 1 Female; In Actual Paper. Group III States 2 Males And 2 Females; We Went With The Table Wrt Sex","","","","","","","","","","","","","","","","","","","Galvao De Moura Filho, A. G., Huggins, S. E., & Lines, S. G. (1983). Sleep And Waking In The Three-toed Sloth, Bradypus Tridactylus. Comparative Biochemical Physiology,  A, 76(2), 345-355.

","No","Yes","Scientific Paper","Not from Zepelin","No","No"
"80","","Land","Crofts Et Al., 2001","Callithrix Jacchus","Common Marmoset","4","Yes","Telemetry / Radiotelemetry Used","2 (At least 12, but less than 24 hours)","Normal light/dark conditions","Yes","Normal","No","No","1","12","9.5038","N/A","1.6055","7.8983","50","4","4","Mix","N/A","N/A","N/A","Unknown","N/A","EH","Mean B/t Male And Female; 2 Of Each In Sample; Unclear If Adult Or Juv; 12 Hr. Rec. Time","","","","","","","","","","","","","","","","","","","Crofts, H. S., Wilson, S., Muggleton, N. G., Nutt, D. J., Scott, E. A., & Pearce, P. C. (2001). Investigation Of The Sleep Electrocorticogram Of The Common Marmoset (Callithrix Jacchus) Using Radiotelemetry. Clinical Neurophysiology, 112(12), 2265-2273.

","Yes","Yes","Scientific Paper","Not from Zepelin","No","Yes"
"158","","Marine","Lyamin Et Al., 1986","Callorhinus Ursinus","Northern Fur Seal","4","Yes","Telemetry / Radiotelemetry Used","3 (24 hour recording period)","Normal light/dark conditions","N/A","Normal","No","No","1","12","10.228","N/A",".940","9.286","","4","4","Mix","Adult","N/A","N/A","Adult","N/A","EH","In Russian; Sea Mammals; Data Are For In Land And Water. Total Daily Sleep Was Calculated By Adding TST For Land And Water.","","","3.21","7.018","0.096","0.844","N/A","N/A","N/A","","","","","","","","3.114","6.172","Lyamin, O. I., Mukhametov, L. M., & Polyakova, I. G. (1986). [Peculiarities Of Sleep In Water In Northern Fur Seals]. [Russian]  Zh Vyssh Nerv Deiat Im I P Pavlova, 36(6), 1039-1044.

","No","Yes","Scientific Paper","Not from Zepelin","Yes","No"
"120","","Land","Gutierrez-Rivas, 1980","Cat","Cat","35","Yes","No","3 (24 hour recording period)","Normal light/dark conditions","N/A","Normal","No","N/A","N/A","8","12.218","8.8512","2.8872","9.3312","N/A","35","35","Mix","Adult","N/A","N/A","Adult","Poly","EH","In Spanish; Data Are Not Separated By Sex","SN","","","","","","","","","","","","","","","","","","Guitterres-Rivas, E.  (1980). El Ciclo Vigilia-sueno Del Gato I.  Estudio Con Diferentes Condiciones De Experiementacion. Archives Open Neurobiology (Madrid), 43, 185-200.

","No","Yes","Scientific Paper","From Zepelin","Yes","No"
"264","","Land","Ursin, 1968","Cat","Cat","12","Yes","No","3 (24 hour recording period)","Normal light/dark conditions","Yes","Normal","No","No","1","11","13.224","N/A","3.216","10.008","N/A","12","12","Mix","Adult","N/A","N/A","Adult","Poly","EH","Scientific Name Was Not Given","","","","","","","","","","","","","","","","","","","Ursin, R. (1968). The 2 Stages Of Slow-wave Sleep In The Cat And Their Relation To REM Sleep. Brain Research, 11, 347-356.","No","Yes","Scientific Paper","Not from Zepelin","No","No"
"203","","Land","Pellet & Beraud, 1967","Cavia Porcellus","Guinea Pig","6","Yes","No","3 (24 hour recording period)","Normal light/dark conditions","Yes","Normal","No","No","0","10","6.816","N/A","0.936","5.88","N/A","6","6","Mix","Adult","N/A","N/A","Adult","Poly","EH","In French","","","","","","","","","","","","","","","","","","","Pellet, J., & Beraud, C. (1967). [The Circadian Sleep-wakefulness Organization Of The Guinea Pig (Cavia Porcellus)]. Physiology & Behavior, 2, 131-137. 

","No","Yes","Scientific Paper","Not from Zepelin","Yes","No"
"113","","Land","Freemon Et Al., 1971","Chimpanzee","Chimpanzee","2","Yes","Telemetry / Radiotelemetry Used","3 (24 hour recording period)","Normal light/dark conditions","Yes","Normal","No","No","0","12","10.867","N/A","2.499","8.367","85.65","2","2","Mix","N/A","4 Years","Juvenile","Juvenile","N/A","AB","12 Hr Recording Period; Did Not State If Age Is Adult Or Juvenile","","","","","","","","","","","","","","","","","","","Freemon, F. R., McNew, J. J., & Adey, W. R. (1971). Chimpanzee Sleep Stages.  Electroencephalography & Clinical Neurophysiology, 31, 485-489.

","No","Yes","Scientific Paper","Not from Zepelin","No","No"
"14","","Land","Allison Et Al., 1977","Cryptotis Parva","Lesser Short-tailed Shrew","3","No","No","3 (24 hour recording period)","Normal light/dark conditions","No","Normal","No","N/A","1","7","9.1","6.1","1.4","7.7","8.8","3","3","Mix","N/A","N/A","N/A","Unknown","Poly","EH","Male And Female; Observational Data; No Animals Survived Surgery; Probably A Juvenile B/c Weight Not That Of An Adult, But Juv Wasn't Stated Explicitly; Therefore, We Have Put Unknown For Age Class Entries","","","","","","","","","","","","","","","","","","","Allison, T., Gerber, S. D., Breedlove, S. M., & Dryden, G. L. (1977). A Behavioral And Polygraphic Study Of Sleep In The Shrews Suncus Murinus, Blarina Brevicauda, And Cryptotis Parva. Behavioral Biology, 20(3), 354-366.

","No","Yes","Scientific Paper","Not from Zepelin","No","No"
"208","","Land","Prudom & Klemm, 1973","Dasypus Novemcinctus","Armadillo","5","Yes","No","3 (24 hour recording period)","Normal light/dark conditions","Yes","Normal","No","No","1","11","18.48","N/A","2.8089","15.671","N/A","5","5","Mix","N/A","N/A","N/A","Unknown","Poly","EH","Both Sexes Are Included But Data Are Not Separated According To Sex; Age Is Unclear; Not Sure If Adult Or Juv","","","","","","","","","","","","","","","","","","","Prudom, A. E., & Klemm, W. R.  (1973). Electrographic Correlates Of Sleep Behavior In A Primitive Mammal, The Armadillo Dasypus Novemcinctus. Physiology & Behavior, 10, 275-282.","No","Yes","Scientific Paper","Not from Zepelin","No","No"
"272","","Land","Van Twyver & Allison, 1974","Dasypus Novemcinctus","Armadillo","13","Yes","No","3 (24 hour recording period)","Normal light/dark conditions","Yes","Normal","No","No","1","11","17.4","N/A","3.13","14.26","22.8","13","13","Mix","N/A","N/A","N/A","Unknown","Poly","EH","Both Sexes; Zepelin (1989) Reported From Campbell & Tobler (1984) Paper Exact Numbers Except For Sleep Cycle (28 Min) And Called It The Long-nosed Armadillo (same Species Name, Though); Does Not Specify Adult Or Juv","","","","","","","","","","","","","","","","","","","Van Twyver, H., & Allison, T. (1974). Sleep In The Armadillo Dasypus Novemcinctus At Moderate And Low Ambient Temperatures. Brain, Behavior & Evolution, 9(2), 107-120. 

","No","Yes","Scientific Paper","Not from Zepelin","No","No"
"271","","Land","Van Twyver & Allison, 1970","Didelphis Marsupialis","Opossum","5","Yes","No","3 (24 hour recording period)","Normal light/dark conditions","Yes","Normal","No","No","1","11","19.392","N/A","5.643","13.749","22.5","5","5","Mix","N/A","9-10 Months","Adult","Adult","Poly","EH","Both Sexes; Does Not Specify Adult Or Juv","","","","","","","","","","","","","","","","","","","Van Twyver, H., & Allison, T. (1970). Sleep In The Opossum Didelphis Marsupialis. Electroencephalography & Clinical Neurophysiology, 29(2), 181-189. 

","No","Yes","Scientific Paper","Not from Zepelin","No","No"
"149","","Land","Kurt, 1960","Elephas Maximus","Elephant","10","No","No","1 (Less than 12 hours)","Normal light/dark conditions","No","Normal","No","Yes","1","5","3.9","N/A","1.8","2.1","124","5","5","Mix","Adult","7-38 Years","Adult & Juvenile","Adult & Juvenile","Mono","EH","In French;8-13 Hour Recording Period; Data Entered Are From Zepelin & Rechtschaffen. 1974; Campbell & Tobler. 1984 Have Same Data As Zepelin","","","","","","","","","","","","","","","","","","","Kurt, F. (1960). Le Sommeil Es Elephants. Mammalia, 24, 259-272.

","No","Yes","Scientific Paper","From Zepelin","Yes","No"
"165","","Marine","Lyamin Et Al., 2000","Enhydra Lutris","Sea Otter","2","No","No","3 (24 hour recording period)","Normal light/dark conditions","Yes","Normal","No","No","1","9","7.164","N/A","N/A","7.164","N/A","2","2","Mix","N/A","6-8 Months","Infant & Juvenile","Infant & Juvenile","N/A","EH","Sea Mammals; Based On Beh Observation Only; Male And Female; No REM Scored; Used Series I","","","","","","","","","","","","","","","","","","","Lyamin, O. I., Oleksenko, A. I., & Sevostiyanov, V. F., Nazarenko, E. A., & Mukhametov, L. M. (2000). Behavioral Sleep In Captive Sea Otters. Aquatic Mammals, 26, 132-136. 

","No","Yes","Scientific Paper","Not from Zepelin","No","Yes"
"111","","Land","Fourre Et Al., 1974","Erinaceus Europaeus L.","Hedgehog","5","Yes","No","3 (24 hour recording period)","Normal light/dark conditions","Yes","Normal","No","No","0","10","17.643","N/A","3.6177","14.025","N/A","5","5","Mix","Adult","N/A","N/A","Adult","N/A","EH","In French; PS Time From 3.65 To 3.77 Paper Has Extra Phase For ""r""","","","","","","","","","","","","","","","","","","","Fourre, A. M., Rodriquez, F. L., & Vincent, J. D. (1974). Etude Polygraphique De La Veille Et Du Sommeil Chez Le Herisson (Erinaceus Europaeus L.). Comptes Rendus Des Seances De La Societe De Biologie Et De Ses Filiales (Paris), 168, 959-964.

","No","Yes","Scientific Paper","Not from Zepelin","Yes","No"
"94","","Land","Estep Et Al., 1978","Eutamias Dorsalis","Cliff Chipmunk","12","No","No","3 (24 hour recording period)","Normal light/dark conditions","Yes","Normal","No","No","1","9","14.892","N/A","N/A","N/A","N/A","12","12","Mix","Adult","N/A","N/A","Adult","Poly","EH","TS Entered; Zepelin (1989) Reports TST As 14.9; Zepelin Refers To This Species As Western American Chipmunk; Mixed Sex","","","","","","","","","","","","","","","","","","","Estep, D., Canney, E. L., Cochran, C. C., & Hunter, J. L. (1978). Components Of Activity And Sleep In Two Species Of Chipmunks: Tamias Striatus Amd Eutomias Dorsalis. Bulletin Of The Psychonomic Society, 12, 341-343. 

","No","Yes","Scientific Paper","Not from Zepelin","No","No"
"296","","Marine","Lyamin Et Al., 2004","Fur Seal","Fur Seal","2","Yes","Telemetry / Radiotelemetry Used","3 (24 hour recording period)","Normal light/dark conditions","Yes","Normal","No","No","1","13","N/A","N/A","N/A","N/A","N/A","2","2","Mix","Adult","2-3 Years","","","N/A","EH","Data Reported Are For Sleep On Land For The Fur Seal","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","2.88","18.48","N/A","N/A","N/A","Lyamin, O. I., Mukhametov, L. M., & Siegel, J. M.  (2004). Relationship Between Sleep And Eye State In Cetaceans And Pinnipeds. Archives Of Italian Biology, 142, 557-568.","No","Yes","Scientific Paper","Not from Zepelin","No","No"
"129","","Land","Immelman & Gebbing, 1962","Giraffa Camelopardalis","Giraffe","3","No","No","2 (At least 12, but less than 24 hours)","Normal light/dark conditions","Yes","Normal","No","No","1","8","1.9","N/A","0.4","1.5","N/A","3","3","Mix","Adult & Juvenile","2-5 Years","Adult & Juvenile","Adult & Juvenile","N/A","EH","In German; Data Quality Score From Paper; Sleep Quota Data From Zepelin (1989)","MR","","","","","","","","","","","","","","","","","","Immelman, K., & Gebbing, H. (1962). Schlaf Bei Giraffiden. Z Tierpsychol, 19, 84-92.

","No","Yes","Scientific Paper","From Zepelin","Yes","No"
"146","","Land","Klemm, 1966","Goat","Goat","7","Yes","No","1 (Less than 12 hours)","Normal light/dark conditions","Yes","Normal","No","Yes","1","8","N/A","N/A","N/A","N/A","5.1","7","7","Mix","Adult & Juvenile","43-57 Days","Adult & Infant","Adult & Infant","Poly","EH","Article Mentions Sleep In Ruminants; 5 Adult Males. 2 Juveniles (1 Male. 1 Female); No Other Sleep Data Available B/c Rec. Time Is Unclear, But We Know It's Less Than 12 Hours","SN","","","","","","","","","","","","","","","","","","Klemm, W. R. (1966). Sleep And Paradoxical Sleep In Ruminants. Proceedings Of The Society For Experimental Biology And Medicine, 121, 635-638.

","No","Yes","Scientific Paper","Not from Zepelin","No","No"
"286","","Land","Zepelin, 1970","Jaguar","Jaguar","2","No","No","3 (24 hour recording period)","Normal light/dark conditions","No","Normal","No","No","1","8","10.4","10.8","N/A","N/A","N/A","2","2","Mix","Adult","N/A","Adult","Adult","N/A","EH","N=2 For Both Species; Both Sexes Represented","","","","","","","","","","","","","","","","","","","Zepelin, H. (1970). Sleep Of The Jaguar And The Tapir: A Prey-predator Contrast [Abstract]. Psychophysiology, 7, 305-306.","No","Yes","Scientific Paper","From Zepelin","No","No"
"156","","Land","Lucas, 1979","Laboratory Cat","Laboratory Cat","8","Yes","No","3 (24 hour recording period)","Normal light/dark conditions","Yes","Normal","No","N/A","0","9","12.12","6","3.48","8.64","N/A","8","8","Mix","Adult","N/A","N/A","Adult","Poly","EH","Recording Time Is 48 Hours But Took Sleep Quotas As % Of 24 Hours","","","","","","","","","","","","","","","","","","","Lucas, E. A. (1979). Effects Of A Short Light-dark Cycle On The Sleep-wake Patterns Of The Cat.  Sleep, 1(3), 299-317. 

","No","Yes","Scientific Paper","Not from Zepelin","No","No"
"238","","Land","Sterman Et Al., 1965","Laboratory Cat","Laboratory Cat","8","Yes","No","2 (At least 12, but less than 24 hours)","Normal light/dark conditions","Yes","Normal","No","No","1","10","13.271","N/A","3.565","9.706","25.8","8","8","Mix","Adult","N/A","N/A","Adult","Poly","EH","Sex Is Not Specified For Sample But Did Mention 8 Male And Female Cats; Scientific Name Was Not Given; Sleep Cycle Is Specified For Activated Period - See Table II; Recording Time Was 23 Hours So Calculated Data According To 23 Hours","","","","","","","","","","","","","","","","","","","Sterman, M. B., Knauss, T., Lehmann, D., & Clemente, C. D. (1965). Circadian Sleep And Waking Patterns In The Laboratory Cat. Electroencephalography & Clinical Neurophysiology, 19, 509-517.

","No","Yes","Scientific Paper","Not from Zepelin","No","No"
"148","","Land","Kurt, 1960","Loxodonta Africana","Elephant","7","No","No","1 (Less than 12 hours)","Normal light/dark conditions","No","Normal","No","Yes","1","5","3.3","N/A","N/A","N/A","N/A","7","7","Mix","Adult","8 Years","Juvenile","Juvenile","Mono","EH","In French; 8-13 Hour Recording Period; Data Entered Are From Zepelin & Rechtschaffen (1974); Campbell & Tobler (1984) Have Same Data As Zepelin (1989)","","","","","","","","","","","","","","","","","","","Kurt, F. (1960). Le Sommeil Es Elephants. Mammalia, 24, 259-272.

","No","Yes","Scientific Paper","From Zepelin","Yes","No"
"150","","Land","Leinonen & Stenberg, 1986","Macaca Arctoides","Monkey","2","Yes","No","2 (At least 12, but less than 24 hours)","Normal light/dark conditions","Yes","Normal","No","N/A","1","9","9","N/A","1.38","7.65","50","2","2","Mix","Adult","7 Years And 16 Years","Adult","Adult","N/A","EH","Sleep Quotas Calculated For Control Nights; 12 Hr. Rec. Time","","","","","","","","","","","","","","","","","","","Leinonen, L., & Stenberg, D. (1986). Sleep In Macaca Arctoides And The Effects Of Prazosin. Physiology & Behavior, 37(2), 199-202.

","No","Yes","Scientific Paper","Not from Zepelin","No","No"
"147","","Land","Kripke Et Al., 1968","Macaca Mulatta","Rhesus Monkey","10","Yes","No","1 (Less than 12 hours)","Normal light/dark conditions","Yes","Normal","No","Yes","1","8","6.4","N/A","0.96","5.44","51","10","10","Mix","Juvenile","2.7-5 Years","Adult & Juvenile","Adult & Juvenile","N/A","EH","Used Recording Time Of 8 Hours Since They Were Monitored For 7-9 Hours At Night","","","","","","","","","","","","","","","","","","","Kripke, D. F., Reite, M. L., Pegram, M. L., Stevens, L. M., & Lewis, O. E. (1968). Nocturnal Sleep In Rhesus Monkeys. Electroencephalography & Clinical Neurophysiology, 24(6), 582-586.","No","Yes","Scientific Paper","Not from Zepelin","No","No"
"37","","Land","Batini Et Al., 1967","Macaca Nemestrina","Monkey","3","Yes","No","3 (24 hour recording period)","Normal light/dark conditions","No","Normal","No","Yes","0","8","13.968","N/A","0.922","13.046","N/A","3","3","Mix","N/A","N/A","N/A","Unknown","N/A","EH","Data Obtained From Normal Conditions And Not Split Brain; Therefore, N=3; Unclear If Adults Or Juvs","","","","","","","","","","","","","","","","","","","Batini, C., Radulovacki, M., Kado, R. T., & Adey, W. R. (1967). Effect Of Interhemispheric Transection On The EEG Patterns In Sleep And Wakefulness In Monkeys. Electroencephalography & Clinical Neurophysiology, 22, 101-112.

","No","Yes","Scientific Paper","Not from Zepelin","No","No"
"136","","Land","Kaemingk & Reite, 1987","Macaca Nemestrina","Pigtail Monkey Infant","11","Yes","Telemetry / Radiotelemetry Used","3 (24 hour recording period)","Normal light/dark conditions","Yes","Normal","No","No","0","12","8.225","N/A","1.4275","7.15","N/A","11","11","Mix","Infant","221 Days","N/A","Infant","N/A","EH","Averaged Male And Female Data","","","","","","","","","","","","","","","","","","","Kaemingk, K., & Reite, M. (1987). Social Environment And Nocturnal Sleep: Studies In 
Peer-reared Monkeys. Sleep, 10, 542-550.

","No","Yes","Scientific Paper","Not from Zepelin","No","No"
