Higher taxon;Genus;Species;Individual;Sex;Age;Date;Bout;Insertion event;Hand used to insert;Handed in with …;Position;Fingers;Location
Atelidae;Ateles;fusciceps;Sullana;male;adult;31.08.2019;1;1;left;N.A.;Sitting;N.A.;Apeldoorn
Atelidae;Ateles;fusciceps;Sullana;male;adult;31.08.2019;1;2;left;N.A.;Sitting;N.A.;Apeldoorn
Atelidae;Ateles;fusciceps;Sullana;male;adult;31.08.2019;2;1;right;N.A.;Sitting;Index;Apeldoorn
Atelidae;Ateles;fusciceps;Sullana;male;adult;31.08.2019;3;1;left;N.A.;Sitting;Index, Middle;Apeldoorn
Atelidae;Ateles;fusciceps;Sullana;male;adult;31.08.2019;3;1;left;N.A.;Sitting;Index, Middle;Apeldoorn
Atelidae;Ateles;fusciceps;Sullana;male;adult;31.08.2019;4;1;right;N.A.;Sitting;N.A.;Apeldoorn
Atelidae;Ateles;fusciceps;Sullana;male;adult;31.08.2019;5;1;left;N.A.;Sitting;Index, Middle, Ring;Apeldoorn
Atelidae;Ateles;fusciceps;Sullana;male;adult;31.08.2019;5;2;left;N.A.;Sitting;Index, Middle, Ring;Apeldoorn
Atelidae;Ateles;fusciceps;Sullana;male;adult;31.08.2019;6;1;right;N.A.;Sitting;Index, Middle;Apeldoorn
Atelidae;Ateles;fusciceps;Sullana;male;adult;31.08.2019;7;1;left;N.A.;Sitting;Index, Middle;Apeldoorn
Atelidae;Ateles;fusciceps;Sullana;male;adult;31.08.2019;8;1;right;N.A.;Sitting;Index, Middle;Apeldoorn
Atelidae;Ateles;fusciceps;Sullana;male;adult;31.08.2019;9;1;left;N.A.;Sitting;Index, Middle, Ring;Apeldoorn
Atelidae;Ateles;fusciceps;Sullana;male;adult;31.08.2019;9;2;left;N.A.;Sitting;Middle, Ring;Apeldoorn
Atelidae;Ateles;fusciceps;Sullana;male;adult;31.08.2019;10;1;left;N.A.;Sitting;Index, Middle;Apeldoorn
Atelidae;Ateles;fusciceps;Sullana;male;adult;31.08.2019;10;2;left;N.A.;Sitting;Index, Middle;Apeldoorn
Atelidae;Ateles;fusciceps;Sullana;male;adult;31.08.2019;10;3;left;N.A.;Sitting;Index, Middle;Apeldoorn
Atelidae;Ateles;fusciceps;Sullana;male;adult;31.08.2019;10;4;left;N.A.;Sitting;Index, Middle;Apeldoorn
Atelidae;Ateles;fusciceps;Sullana;male;adult;31.08.2019;10;5;left;N.A.;Sitting;Index, Middle;Apeldoorn
Atelidae;Ateles;fusciceps;Sullana;male;adult;31.08.2019;10;6;left;N.A.;Sitting;Index, Middle;Apeldoorn
Atelidae;Ateles;fusciceps;Sullana;male;adult;31.08.2019;11;1;right;N.A.;Sitting;Index, Middle;Apeldoorn
Atelidae;Ateles;fusciceps;Sullana;male;adult;31.08.2019;11;2;right;N.A.;Sitting;Index, Middle, Ring;Apeldoorn
Atelidae;Ateles;fusciceps;Sullana;male;adult;31.08.2019;12;1;left;N.A.;Sitting;Middle, Ring;Apeldoorn
Atelidae;Ateles;fusciceps;Sullana;male;adult;31.08.2019;12;2;left;N.A.;Sitting;Index, Middle;Apeldoorn
Atelidae;Ateles;fusciceps;Sullana;male;adult;31.08.2019;12;3;left;N.A.;Sitting;Index, Middle;Apeldoorn
Atelidae;Ateles;fusciceps;Sullana;male;adult;31.08.2019;12;4;left;N.A.;Sitting;Index, Middle;Apeldoorn
