Code,Definition,Structure,Measure,Stat,role,taxon,Reference,Note,Source Note
animal_printed,"common name of the animal, filled down from the printed group",,,,info,"Mammalia, 11 spp. (opossum, rat, tree shrew, flying fox, squirrel, bushbaby, marmoset, squirrel monkey, owl monkey, cat, macaque)",Changizi_Shimojo_2005_Table4,the printed table blanks this cell when it repeats the row above; filled down in the .R. 'Squirrel monkey' is printed across two lines and rejoined from the table's ruling lines in the snapshot,"printed, blanks repeat the cell above"
species_sci,accepted scientific binomial,,Species,,primary,"Mammalia, 11 spp. (opossum, rat, tree shrew, flying fox, squirrel, bushbaby, marmoset, squirrel monkey, owl monkey, cat, macaque)",Changizi_Shimojo_2005_Table4,resolved from animal_printed through the Changizi2005 rows of the species key,not in the source
kind_of_areas_printed,"the Kind of areas cell as printed, filled down",,,,info,"Mammalia, 11 spp. (opossum, rat, tree shrew, flying fox, squirrel, bushbaby, marmoset, squirrel monkey, owl monkey, cat, macaque)",Changizi_Shimojo_2005_Table4,"either a modality ('visual', 'somatosensory') or, on the three aggregate rows, a group size + modality ('40 sensory areas')","printed, blanks repeat the cell above"
modality,kind_of_areas_printed with any leading count and trailing 'areas' stripped,,,,info,"Mammalia, 11 spp. (opossum, rat, tree shrew, flying fox, squirrel, bushbaby, marmoset, squirrel monkey, owl monkey, cat, macaque)",Changizi_Shimojo_2005_Table4,"levels: visual, somatosensory, sensory, sensory-motor",derived
area_printed,"cortical area label as printed (V1, V2, DM, VP, MT, TD, TA, TP, S1, S1 (3b), SII, PV, LP, 1/2), or 'not shown here'",,,,info,"Mammalia, 11 spp. (opossum, rat, tree shrew, flying fox, squirrel, bushbaby, marmoset, squirrel monkey, owl monkey, cat, macaque)",Changizi_Shimojo_2005_Table4,as printed. NB the tree-shrew block prints TD twice (rows 3 and 5 of that block) -- kept verbatim; probable typo for TI in Lyon et al. 1998,printed
area_not_shown,TRUE for the three rows whose Area cell prints 'not shown here',,,,note,"Mammalia, 11 spp. (opossum, rat, tree shrew, flying fox, squirrel, bushbaby, marmoset, squirrel monkey, owl monkey, cat, macaque)",Changizi_Shimojo_2005_Table4,cat 40 sensory areas; macaque 8 visual areas; macaque 56 sensory-motor areas. Only their table-5 average is published,printed
n_areas_in_group,"number of areas behind an aggregate row, parsed from kind_of_areas_printed",Neocortex,count,,primary,"Mammalia, 11 spp. (opossum, rat, tree shrew, flying fox, squirrel, bushbaby, marmoset, squirrel monkey, owl monkey, cat, macaque)",Changizi_Shimojo_2005_Table4,"40, 8, 56; NA on the 35 rows that list a single named area",printed inside the Kind of areas cell
area_connections_per_area,number of other cortical areas that area connects to,Neocortex,count,,primary,"Mammalia, 11 spp. (opossum, rat, tree shrew, flying fox, squirrel, bushbaby, marmoset, squirrel monkey, owl monkey, cat, macaque)",Changizi_Shimojo_2005_Table4,"NA on the three 'not shown here' rows -- not measured-and-zero, simply not printed. All other 35 rows carry a value",printed
reference_printed,"connectivity study for that area, as printed",,,,info,"Mammalia, 11 spp. (opossum, rat, tree shrew, flying fox, squirrel, bushbaby, marmoset, squirrel monkey, owl monkey, cat, macaque)",Changizi_Shimojo_2005_Table4,two Squirrel rows print two citations on two lines; rejoined with '; ' in the snapshot,printed
source,source identifier,,Source,,info,"Mammalia, 11 spp. (opossum, rat, tree shrew, flying fox, squirrel, bushbaby, marmoset, squirrel monkey, owl monkey, cat, macaque)",Changizi_Shimojo_2005_Table4,,
Method:granularity,"one row per printed area (38 rows over 11 animals), not per species; the per-animal summary is table 5",,,,method,"Mammalia, 11 spp. (opossum, rat, tree shrew, flying fox, squirrel, bushbaby, marmoset, squirrel monkey, owl monkey, cat, macaque)",Changizi_Shimojo_2005_Table4,,caption + footnote
Method:log_average,the .R recomputes 10^mean(log10(area_connections_per_area)) and sd(log10(...)) per animal and prints them for comparison with table 5,,,,method,"Mammalia, 11 spp. (opossum, rat, tree shrew, flying fox, squirrel, bushbaby, marmoset, squirrel monkey, owl monkey, cat, macaque)",Changizi_Shimojo_2005_Table4,'averages were taken over the logarithms of values ... called log-transformed averages' (p.90). All 9 recomputable animals reproduce table 5 exactly to 2 dp; cat and macaque cannot be recomputed,p.90
