"row_type","order","Species","common_name","n_ethobehavior_types","behavior_citation","encephalization_index","n_muscle_types","muscle_citation","note","source"
"order","Artiodactyla",NA,NA,27,NA,0.0297,203,"Raghavan (1964)","species names as printed (some truncated/supra-specific); order rows = order-level means; per-row primary citations retained","Changizi__2003_Table1"
"species","Artiodactyla","Alces alces","North Am. Moose",22,"Geist (1963)",0.0342,NA,NA,"species names as printed (some truncated/supra-specific); order rows = order-level means; per-row primary citations retained","Changizi__2003_Table1"
"species","Artiodactyla","Cephalophus monticola","Duikers",32,"Dubost",0.0252,NA,NA,"species names as printed (some truncated/supra-specific); order rows = order-level means; per-row primary citations retained","Changizi__2003_Table1"
"order","Carnivora",NA,NA,71.5,NA,0.0862,322,"Evans (1993)","species names as printed (some truncated/supra-specific); order rows = order-level means; per-row primary citations retained","Changizi__2003_Table1"
"species","Carnivora","Felis catus","Cat",69,"Fagen & Goldman (1977)",0.0888,NA,NA,"species names as printed (some truncated/supra-specific); order rows = order-level means; per-row primary citations retained","Changizi__2003_Table1"
"species","Carnivora","Mustela nigripes","Black-footed ferret",74,"Miller (1988)",0.0837,NA,NA,"species names as printed (some truncated/supra-specific); order rows = order-level means; per-row primary citations retained","Changizi__2003_Table1"
"order","Cetacea",NA,NA,123,NA,0.1721,NA,NA,"species names as printed (some truncated/supra-specific); order rows = order-level means; per-row primary citations retained","Changizi__2003_Table1"
"species","Cetacea","Tursiops truncatus","Bottlenose dolphin",123,"Muller et al. (1988)",0.1721,NA,NA,"species names as printed (some truncated/supra-specific); order rows = order-level means; per-row primary citations retained","Changizi__2003_Table1"
"order","Chiroptera",NA,NA,93,NA,0.0679,NA,NA,"species names as printed (some truncated/supra-specific); order rows = order-level means; per-row primary citations retained","Changizi__2003_Table1"
"species","Chiroptera","Pteropus livingstonii","Fruit bat",93,"Courts (1996)",0.0679,NA,NA,"species names as printed (some truncated/supra-specific); order rows = order-level means; per-row primary citations retained","Changizi__2003_Table1"
"order","Didelphimorphia",NA,NA,NA,NA,0.0185,159,"Ellsworth (1976)","species names as printed (some truncated/supra-specific); order rows = order-level means; per-row primary citations retained","Changizi__2003_Table1"
"order","Insectivora",NA,NA,54,NA,0.049,NA,NA,"species names as printed (some truncated/supra-specific); order rows = order-level means; per-row primary citations retained","Changizi__2003_Table1"
"species","Insectivora","Blarina brevicaudo","Short-tailed shrew",54,"Martin (1980)",0.049,NA,NA,"species names as printed (some truncated/supra-specific); order rows = order-level means; per-row primary citations retained","Changizi__2003_Table1"
"order","Lagomorpha",NA,NA,30,NA,0.0345,214,"Popesko et al. (1990)","species names as printed (some truncated/supra-specific); order rows = order-level means; per-row primary citations retained","Changizi__2003_Table1"
"species","Lagomorpha","Leporidae (family)","White rabbit",30,"Gunn & Morton (1995)",0.0345,NA,NA,"species names as printed (some truncated/supra-specific); order rows = order-level means; per-row primary citations retained","Changizi__2003_Table1"
"order","Perissodactyla",NA,NA,NA,NA,0.0388,245,"Pasquini et al. (1983)","species names as printed (some truncated/supra-specific); order rows = order-level means; per-row primary citations retained","Changizi__2003_Table1"
"order","Primates",NA,NA,106.6,NA,0.1789,316,"Williams et al. (1989)","species names as printed (some truncated/supra-specific); order rows = order-level means; per-row primary citations retained","Changizi__2003_Table1"
"species","Primates","Cercopithecus neglectus","De Brazza monkey",44,"Oswald & Lockard (1980)",0.1454,NA,NA,"species names as printed (some truncated/supra-specific); order rows = order-level means; per-row primary citations retained","Changizi__2003_Table1"
"species","Primates","Nycticebus coucang","Malaysian slow loris",80,"Ehrlich & Musicant (1977)",0.1231,NA,NA,"species names as printed (some truncated/supra-specific); order rows = order-level means; per-row primary citations retained","Changizi__2003_Table1"
"species","Primates","Galago crassicaudatus","Great Galagos",97,"Ehrlich (1977)",0.0977,NA,NA,"species names as printed (some truncated/supra-specific); order rows = order-level means; per-row primary citations retained","Changizi__2003_Table1"
"species","Primates","Calithrix jacchus","Common marmoset",101,"Stevenson & Poole (1976)",0.1445,NA,NA,"species names as printed (some truncated/supra-specific); order rows = order-level means; per-row primary citations retained","Changizi__2003_Table1"
"species","Primates","Homo sapiens","Human child",111,"Hutt & Hutt (1971)",0.3502,NA,NA,"species names as printed (some truncated/supra-specific); order rows = order-level means; per-row primary citations retained","Changizi__2003_Table1"
"species","Primates","Papio cynocephalus","Baboon",129,"Coehlo & Bramblett (1981)",0.1793,NA,NA,"species names as printed (some truncated/supra-specific); order rows = order-level means; per-row primary citations retained","Changizi__2003_Table1"
"species","Primates","Macaca nemestrina","Macaque monkey",184,"Kaufman & Rosenblum (1966)",0.2116,NA,NA,"species names as printed (some truncated/supra-specific); order rows = order-level means; per-row primary citations retained","Changizi__2003_Table1"
"order","Proboscidea",NA,NA,NA,NA,0.0731,184,"Mariappa (1986)","species names as printed (some truncated/supra-specific); order rows = order-level means; per-row primary citations retained","Changizi__2003_Table1"
"order","Rodentia",NA,NA,38,NA,0.0555,218,"Greene (1935)","species names as printed (some truncated/supra-specific); order rows = order-level means; per-row primary citations retained","Changizi__2003_Table1"
"species","Rodentia","Meriones unguicul.","Mongolian gerbil",24,"Roper & Polioudakis (1977)",0.0569,NA,NA,"species names as printed (some truncated/supra-specific); order rows = order-level means; per-row primary citations retained","Changizi__2003_Table1"
"species","Rodentia","Peromyscus manicul.","Deer mouse",29,"Eisenberg (1962)",0.0569,NA,NA,"species names as printed (some truncated/supra-specific); order rows = order-level means; per-row primary citations retained","Changizi__2003_Table1"
"species","Rodentia","Dolichotis patagon","Mara",30,"Ganslosser & Wehnelt (1977)",0.0394,NA,NA,"species names as printed (some truncated/supra-specific); order rows = order-level means; per-row primary citations retained","Changizi__2003_Table1"
"species","Rodentia","Rattus norvegicus","White rat",33,"Draper (1967)",0.0337,NA,NA,"species names as printed (some truncated/supra-specific); order rows = order-level means; per-row primary citations retained","Changizi__2003_Table1"
"species","Rodentia","Spermophilus beecheyi","Ground squirrel",34,"Owings et al. (1977)",0.0803,NA,NA,"species names as printed (some truncated/supra-specific); order rows = order-level means; per-row primary citations retained","Changizi__2003_Table1"
"species","Rodentia","Rattus rattus","Albino lab rat",43,"Bolles & Woods (1964)",0.0337,NA,NA,"species names as printed (some truncated/supra-specific); order rows = order-level means; per-row primary citations retained","Changizi__2003_Table1"
"species","Rodentia","Marmota monax","Woodchuck",43,"Ferron & Ouellet (1991)",0.0803,NA,NA,"species names as printed (some truncated/supra-specific); order rows = order-level means; per-row primary citations retained","Changizi__2003_Table1"
"species","Rodentia","Castor canadensis","Beaver",51,"Patenaude (1984)",0.0383,NA,NA,"species names as printed (some truncated/supra-specific); order rows = order-level means; per-row primary citations retained","Changizi__2003_Table1"
"species","Rodentia","Sciuridae (four species)","Squirrel",55,"Ferron (1981)",0.0803,NA,NA,"species names as printed (some truncated/supra-specific); order rows = order-level means; per-row primary citations retained","Changizi__2003_Table1"
