structure,source_paper,ref_numbers,includes,excludes,derivation_rule,comparability_note,used_in_analysis,pdf_page,verbatim
Whole brain,Stephan_etal,"24,51-52",ventricles; meninges,,total fresh brain volume = fresh brain mass / 1.036 g/cm3,,yes,13,"calculated total fresh brain volume (including ventricles and meninges) from fresh brain mass divided by 1.036, the density of fresh brain tissue"
Whole brain,Zilles_Rehkampfer,59,,,species-typical brain masses collated from the literature; volumes corrected to that species-typical value,,yes,13,collating data from the literature to estimate species typical brain masses and correcting volumes to this species typical value
Whole brain,Frahm_etal,34,,,BV = V1 volume / (V1 as % of brain weight) / 1.036,,yes,13,"provide V1 measurements and their % of brain weight, so we calculated brain volumes by dividing the former by the latter and dividing by 1.036"
Whole brain,Stimpson_etal,58,,,BV = fresh brain weight / 1.036,,yes,13,"provide fresh brain weights, so we calculated brain volumes by dividing weight measurements by 1.036"
Whole brain,Sherwood_etal_2005,53,,,brain volumes taken from the SOURCE MATERIALS for individuals in the Stephan and Zilles collections; for a handful of individuals brain weights or volumes were supplied by the author,regional measurements only; the paper itself publishes no brain-volume table,yes,13,"provide regional measurements from individuals in the Stephan and Zilles collections, so brain volumes were taken from the source materials. For a handful of individuals, brain weights or volumes were provided by the author (Sherwood 2018, personal communication)"
Whole brain,Rilling_Insel,62-63,,cerebrospinal fluid; meninges; blood vessels; muscle; fat; bone,,may not be exactly comparable to Stephan et al. net volume,yes,13,calculate whole brain volume by separating brain tissue from surrounding tissues
Whole brain,Sherwood_etal,64,"total grey matter; white matter; ventricular space of cerebral hemispheres, cerebellum, midbrain, brainstem",,,,yes,13,
Whole brain,Barks_etal,65,,,procedure similar to Sherwood et al. 64,,yes,13,
Whole brain,Barger_etal,56-57,,,converted from previously reported or measured fresh brain weights; no further detail,,yes,13,
Whole brain,Bauernfeind_etal,43,,,converted from previously reported or measured fresh brain weights; no further detail,,yes,13,
Whole brain,Bush_Allman,54-55,,,converted from previously reported or measured fresh brain weights; no further detail,,yes,13,
