Code,Definition,Structure,Measure,Stat,role,taxon,Reference,Note,Source Note
Species_Dell2016,Species studied (single-species paper; printed common/binomial name preserved),,,,info,Cetacea (single species: harbor porpoise),Dell_etal_2016_Table4,"single-species paper -- species lives in the title/methods, not a printed table column; carried on every row per house rule",
System,Neurotransmitter/functional system grouping the nucleus belongs to (Cholinergic / Catecholaminergic / Serotonergic / Orexinergic / Thalamic reticular nucleus),,,,info,harbor porpoise,Dell_etal_2016_Table4,"printed as a group heading in Table 4, not a per-row column; carried down from the group row by the build script",
Nucleus,Named brain nucleus/region (as printed in Table 4),,,,info,harbor porpoise,Dell_etal_2016_Table4,printed name preserved,
Protein,Calcium-binding protein stained for (Calbindin / Calretinin / Parvalbumin),,,,info,harbor porpoise,Dell_etal_2016_Table4,derived from the printed column pair (CB/CR/PV x Neurons/Terminal),
Measure_Type,Whether the density score is for immunopositive Neurons or Terminal_networks,,,,info,harbor porpoise,Dell_etal_2016_Table4,derived from the printed column pair,
Density,"Printed qualitative density symbol (-, +, ++, +++)",Calcium-binding protein expression,qual.density,,secondary,harbor porpoise,Dell_etal_2016_Table4,"verbatim as printed; not a count or concentration",symbol
Density_Score,Numeric encoding of the printed density symbol (- =0, + =1, ++ =2, +++ =3),Calcium-binding protein expression,ordinal.0_3,,secondary,harbor porpoise,Dell_etal_2016_Table4,"derived in the build script for downstream analysis convenience; the symbol (Density) remains the primary transcribed value",0-3
Density_Description,Plain-language label for the density score (Absent / Low density / Moderate density / High density),Calcium-binding protein expression,qual.label,,secondary,harbor porpoise,Dell_etal_2016_Table4,derived in the build script,
Method:table_scope,"Table 4 pools both study animals ('the description provided below applies to both animals' per the paper's Results) -- densities are qualitative per nucleus/protein/measure-type, not per individual",,,,method,harbor porpoise,Dell_etal_2016_Table4,,
Method:symbol_key,"Density symbols per the paper's own Table 4 footnote: - = absence, + = low density, ++ = moderate density, +++ = high density",,,,method,harbor porpoise,Dell_etal_2016_Table4,,
