"Species","common_name","size_group","n","sex_MF","age_years","subject_status","specimen_source","total_surface_area_cm2","cerebral_volume_cm3","note","source"
"Galago senegalensis","senegal galago","Small",1,"M","20.9","postmortem","PBB",14,3,"SA and V are whole-cerebrum (both hemispheres) totals from Fig. 1; halve SA for the merge's per-hemisphere convention. For multi-subject species (macaque n=31, chimp n=54, human n=501) Fig. 1 prints a single representative/average value.","Demirci_etal_2023_Fig.1"
"Aotus lemurinus","night monkey","Small",1,"M","15.3","postmortem","PBB",53,11,"SA and V are whole-cerebrum (both hemispheres) totals from Fig. 1; halve SA for the merge's per-hemisphere convention. For multi-subject species (macaque n=31, chimp n=54, human n=501) Fig. 1 prints a single representative/average value.","Demirci_etal_2023_Fig.1"
"Pithecia pithecia","white-faced saki","Small",1,"M","4.0","postmortem","PBB",98,23,"SA and V are whole-cerebrum (both hemispheres) totals from Fig. 1; halve SA for the merge's per-hemisphere convention. For multi-subject species (macaque n=31, chimp n=54, human n=501) Fig. 1 prints a single representative/average value.","Demirci_etal_2023_Fig.1"
"Sapajus apella","tufted capuchin","Medium",1,"M","22.0","postmortem","PBB",210,59,"SA and V are whole-cerebrum (both hemispheres) totals from Fig. 1; halve SA for the merge's per-hemisphere convention. For multi-subject species (macaque n=31, chimp n=54, human n=501) Fig. 1 prints a single representative/average value.","Demirci_etal_2023_Fig.1"
"Lagothrix lagotricha","wooly monkey","Medium",1,"F","8.0","postmortem","PBB",253,68,"SA and V are whole-cerebrum (both hemispheres) totals from Fig. 1; halve SA for the merge's per-hemisphere convention. For multi-subject species (macaque n=31, chimp n=54, human n=501) Fig. 1 prints a single representative/average value.","Demirci_etal_2023_Fig.1"
"Macaca mulatta","rhesus macaque","Medium",31,"29:2","2.7-8.0","in vivo","PRIME-DE",225,84,"SA and V are whole-cerebrum (both hemispheres) totals from Fig. 1; halve SA for the merge's per-hemisphere convention. For multi-subject species (macaque n=31, chimp n=54, human n=501) Fig. 1 prints a single representative/average value.","Demirci_etal_2023_Fig.1"
"Colobus guereza","colobus","Medium",1,"M","23.7","postmortem","PBB",228,66,"SA and V are whole-cerebrum (both hemispheres) totals from Fig. 1; halve SA for the merge's per-hemisphere convention. For multi-subject species (macaque n=31, chimp n=54, human n=501) Fig. 1 prints a single representative/average value.","Demirci_etal_2023_Fig.1"
"Lophocebus albigena","gray-cheeked mangabey","Medium",1,"F","27.0","postmortem","PBB",261,87,"SA and V are whole-cerebrum (both hemispheres) totals from Fig. 1; halve SA for the merge's per-hemisphere convention. For multi-subject species (macaque n=31, chimp n=54, human n=501) Fig. 1 prints a single representative/average value.","Demirci_etal_2023_Fig.1"
"Pan troglodytes","chimpanzee","Large",54,"19:35","8.0-53.0","in vivo","NCBR",718,280,"SA and V are whole-cerebrum (both hemispheres) totals from Fig. 1; halve SA for the merge's per-hemisphere convention. For multi-subject species (macaque n=31, chimp n=54, human n=501) Fig. 1 prints a single representative/average value.","Demirci_etal_2023_Fig.1"
"Pan paniscus","bonobo","Large",1,"M","8.0","in vivo","NCBR",750,229,"SA and V are whole-cerebrum (both hemispheres) totals from Fig. 1; halve SA for the merge's per-hemisphere convention. For multi-subject species (macaque n=31, chimp n=54, human n=501) Fig. 1 prints a single representative/average value.","Demirci_etal_2023_Fig.1"
"Gorilla gorilla","gorilla","Large",1,"M","8.0","in vivo","NCBR",761,224,"SA and V are whole-cerebrum (both hemispheres) totals from Fig. 1; halve SA for the merge's per-hemisphere convention. For multi-subject species (macaque n=31, chimp n=54, human n=501) Fig. 1 prints a single representative/average value.","Demirci_etal_2023_Fig.1"
"Homo sapiens","human","X-Large",501,"414:87","7.0-56.0","in vivo","ABIDE-I",2115,1053,"SA and V are whole-cerebrum (both hemispheres) totals from Fig. 1; halve SA for the merge's per-hemisphere convention. For multi-subject species (macaque n=31, chimp n=54, human n=501) Fig. 1 prints a single representative/average value.","Demirci_etal_2023_Fig.1"
