"genus","body_mass_kg","neocortex_volume_mm3","hindbrain_volume_mm3","total_brain_volume_mm3","neocortex_ratio","extra_cortical_neurons_index","mean_group_size_total","mean_group_size_females","fruit_in_diet_percent","range_area_ha","day_journey_m","source"
"Cheirogaleus",0.31,1040,1539,4667,0.8,NA,1,1,NA,NA,NA,"Dunbar__1992_Table1"
"Microcebus",0.05,740,552,1680,0.79,NA,1,1,NA,NA,NA,"Dunbar__1992_Table1"
"Lepilemur",0.92,3282,2467,7175,0.84,NA,1,1,0,0.2,NA,"Dunbar__1992_Table1"
"Lemur",2.2,13750,7897,25910,1.23,NA,9.5,NA,25,0.9,680,"Dunbar__1992_Table1"
"Avahi",1.07,4628,3172,9461,0.96,NA,2,1,0,NA,NA,"Dunbar__1992_Table1"
"Propithecus",3.8,13170,8155,25194,1.1,NA,5,1,46,5.3,850,"Dunbar__1992_Table1"
"Indri",6.25,20114,10735,36285,1.24,NA,4.3,1,25,17.9,NA,"Dunbar__1992_Table1"
"Loris",0.28,3524,1719,6269,1.28,NA,1,1,NA,NA,NA,"Dunbar__1992_Table1"
"Nycticebus",0.8,6192,3260,11755,1.11,NA,1,1,50,24.5,704,"Dunbar__1992_Table1"
"Perodicticus",1.15,6683,3794,13212,1.02,NA,1,1,65,9.3,1413,"Dunbar__1992_Table1"
"Galago",0.372,2810,1866,5794,0.94,NA,1,1,17,1.2,2000,"Dunbar__1992_Table1"
"Tarsius",0.125,1768,1135,3393,1.09,NA,1,1,0,0.3,710,"Dunbar__1992_Table1"
"Callithrix",0.28,4371,1924,7241,1.52,NA,8.5,2.5,0,1.3,520,"Dunbar__1992_Table1"
"Cebuella",0.14,2535,1203,4302,1.43,NA,6,1,NA,NA,NA,"Dunbar__1992_Table1"
"Saguinus",0.38,5894,2484,9537,1.62,0.26,5.2,2.4,60,39.8,43611,"Dunbar__1992_Table1"
"Callimico",0.48,6476,2779,10510,1.61,NA,7.3,1,45,NA,NA,"Dunbar__1992_Table1"
"Aotus",0.83,9950,3657,16195,1.59,NA,3.8,1,45.5,10,2525,"Dunbar__1992_Table1"
"Callicebus",0.9,11163,4314,17944,1.65,NA,3.3,1,57.3,4.1,NA,"Dunbar__1992_Table1"
"Pithecia",1.5,21028,7947,32867,1.78,NA,3.6,1,82,7,NA,"Dunbar__1992_Table1"
"Alouatta",6.4,31660,11622,49009,1.82,0.82,8.2,3.6,37,28.6,NA,"Dunbar__1992_Table1"
"Ateles",8,70856,21088,101034,2.35,1.46,17,9.8,82,7.2,NA,"Dunbar__1992_Table1"
"Lagothrix",5.2,65873,20681,95503,2.22,NA,23.4,7.5,80,NA,1000,"Dunbar__1992_Table1"
"Cebus",3.1,46429,13088,66939,2.36,1.19,18.1,5.7,37.5,NA,2000,"Dunbar__1992_Table1"
"Saimiri",0.66,15541,4938,22572,2.21,0.55,32.5,7.9,12.3,NA,2425,"Dunbar__1992_Table1"
"Macaca",7.8,63482,16817,87896,2.6,1.27,39.6,14.3,63,NA,1428,"Dunbar__1992_Table1"
"Cercopithecus",7.9,68733,20555,97603,2.38,1.53,15.4,7,61,NA,1270,"Dunbar__1992_Table1"
"Erythrocebus",25,140142,35971,190957,2.76,1.99,51.2,11.4,63,NA,5400,"Dunbar__1992_Table1"
"Cercocebus",4.85,47550,13272,67035,2.44,1.02,23.9,8.2,48.1,NA,1336,"Dunbar__1992_Table1"
"Miopithecus",1.2,26427,7610,37760,2.33,NA,15.4,NA,43,NA,2300,"Dunbar__1992_Table1"
"Papio",7.8,77141,18398,103167,2.96,2.96,7.9,NA,52,NA,3290,"Dunbar__1992_Table1"
"Hylobates",7.5,48763,16341,72530,2.05,NA,NA,14.4,6.3,NA,587,"Dunbar__1992_Table1"
"Colobus",14,62685,21924,92797,2.22,NA,35,13.4,8,NA,1502,"Dunbar__1992_Table1"
"Presbytis",7,50906,15933,73018,2.08,1.37,3.4,1,58.5,NA,400,"Dunbar__1992_Table1"
"Nasalis",5.7,65800,21504,97505,2.65,3.58,7,3,2,NA,3900,"Dunbar__1992_Table1"
"Gorilla",105,341444,100480,470359,3.22,3.26,53.5,13,68,NA,NA,"Dunbar__1992_Table1"
"Pan",46,291592,68611,382103,4.1,8.52,NA,NA,NA,2150,NA,"Dunbar__1992_Table1"
"Homo",65,1006525,188449,1251847,NA,NA,NA,NA,NA,NA,NA,"Dunbar__1992_Table1"
