Code,Definition,Structure,Measure,Unit,role,taxon,Reference,Note,Source Note
genus,Genus as printed,,Genus,,primary,Primates,Dunbar__1992_Table1,Generic means,
body_mass_kg,Mean adult male and adult female body weight,,Mass,kg,primary,Primates,Harvey et al. 1986,,
neocortex_volume_mm3,Neocortex volume,Neocortex,Volume,mm3,primary,Primates,Stephan et al. 1981,Table symbol N,
hindbrain_volume_mm3,Volume of medulla + cerebellum + mesencephalon + diencephalon,Hindbrain,Volume,mm3,primary,Primates,Stephan et al. 1981,Table symbol H,
total_brain_volume_mm3,Total brain volume,Brain,Volume,mm3,primary,Primates,Stephan et al. 1981,Table symbol Total,
neocortex_ratio,Neocortex volume divided by total brain volume minus neocortex volume,Neocortex,Ratio,,derived,Primates,Dunbar__1992_Table1,Table symbol C_R,
extra_cortical_neurons_index,Jerison's extra cortical neurons index,Neocortex,Index,,secondary,Primates,Jerison 1973,Table symbol N_C,
mean_group_size_total,Mean total group size,,GroupSize,,primary,Primates,Dunbar__1992_Table1,Generic mean,
mean_group_size_females,Mean number of females in group,,GroupSize,,primary,Primates,Dunbar__1992_Table1,Generic mean,
fruit_in_diet_percent,Fruit in diet,,Percent,%,primary,Primates,Dunbar__1992_Table1,,
range_area_ha,Range area,,Area,ha,primary,Primates,Dunbar__1992_Table1,,
day_journey_m,Day journey,,Length,m,primary,Primates,Dunbar__1992_Table1,,
source,Dataset source,,Source,,primary,Primates,Dunbar__1992_Table1,,
