genus,body_mass_kg,neocortex_volume_mm3,hindbrain_volume_mm3,total_brain_volume_mm3,neocortex_ratio,extra_cortical_neurons_index,mean_group_size_total,mean_group_size_females,fruit_in_diet_percent,range_area_ha,day_journey_m
Cheirogaleus,0.31,1040,1539,4667,0.80,,1,1,,,
Microcebus,0.05,740,552,1680,0.79,,1,1,,,
Lepilemur,0.92,3282,2467,7175,0.84,,1,1,0,0.2,
Lemur,2.20,13750,7897,25910,1.23,,9.5,,25,0.9,680
Avahi,1.07,4628,3172,9461,0.96,,2,1,0,,
Propithecus,3.80,13170,8155,25194,1.10,,5,1,46,5.3,850
Indri,6.25,20114,10735,36285,1.24,,4.3,1,25,17.9,
Loris,0.28,3524,1719,6269,1.28,,1,1,,,
Nycticebus,0.80,6192,3260,11755,1.11,,1,1,50,24.5,704
Perodicticus,1.15,6683,3794,13212,1.02,,1,1,65,9.3,1413
Galago,0.372,2810,1866,5794,0.94,,1,1,17,1.2,2000
Tarsius,0.125,1768,1135,3393,1.09,,1,1,0,0.3,710
Callithrix,0.280,4371,1924,7241,1.52,,8.5,2.5,0,1.3,520
Cebuella,0.140,2535,1203,4302,1.43,,6.0,1.0,,,
Saguinus,0.380,5894,2484,9537,1.62,0.26,5.2,2.4,60,39.8,43611
Callimico,0.480,6476,2779,10510,1.61,,7.3,1,45,,
Aotus,0.830,9950,3657,16195,1.59,,3.8,1,45.5,10,2525
Callicebus,0.900,11163,4314,17944,1.65,,3.3,1,57.3,4.1,
Pithecia,1.500,21028,7947,32867,1.78,,3.6,1,82,7,
Alouatta,6.400,31660,11622,49009,1.82,0.82,8.2,3.6,37,28.6,
Ateles,8.000,70856,21088,101034,2.35,1.46,17,9.8,82,7.2,
Lagothrix,5.200,65873,20681,95503,2.22,,23.4,7.5,80,,1000
Cebus,3.100,46429,13088,66939,2.36,1.19,18.1,5.7,37.5,,2000
Saimiri,0.660,15541,4938,22572,2.21,0.55,32.5,7.9,12.3,,2425
Macaca,7.800,63482,16817,87896,2.60,1.27,39.6,14.3,63,,1428
Cercopithecus,7.900,68733,20555,97603,2.38,1.53,15.4,7,61,,1270
Erythrocebus,25.000,140142,35971,190957,2.76,1.99,51.2,11.4,63,,5400
Cercocebus,4.850,47550,13272,67035,2.44,1.02,23.9,8.2,48.1,,1336
Miopithecus,1.200,26427,7610,37760,2.33,,15.4,,43,,2300
Papio,7.800,77141,18398,103167,2.96,2.96,7.9,,52,,3290
Hylobates,7.500,48763,16341,72530,2.05,,,14.4,6.3,,587
Colobus,14.000,62685,21924,92797,2.22,,35,13.4,8,,1502
Presbytis,7.000,50906,15933,73018,2.08,1.37,3.4,1,58.5,,400
Nasalis,5.700,65800,21504,97505,2.65,3.58,7,3,2,,3900
Gorilla,105.000,341444,100480,470359,3.22,3.26,53.5,13,68,,
Pan,46.000,291592,68611,382103,4.10,8.52,,,,2150
Homo,65.000,1006525,188449,1251847,,,,,,,
