"Species_Ebinger1974","individual","source_table","status_printed","breed_printed","brain_mass_mg","total_brain_volume_mm3","remaining_parts_mm3","ventricle_mm3","pure_brain_volume_mm3","medulla_oblongata_mm3","cerebellum_mm3","mesencephalon_mm3","diencephalon_mm3","telencephalon_mm3","neocortex_mm3","corpus_striatum_mm3","allocortex_mm3","olfactory_allocortex_mm3","olfactory_bulbs_mm3","regio_retrobulbaris_mm3","regio_praepiriformis_mm3","regio_periamygdalaris_amygdala_mm3","tuberculum_olfactorium_mm3","basal_nuclei_commissura_anterior_mm3","limbic_structures_mm3","septum_mm3","septal_nuclei_mm3","diagonal_band_mm3","hippocampus_mm3","schizocortex_mm3"
"Ovis ammon musimon","M1","Table 3","wild sheep","Mufflon",135000,130308,1827,2240,126242,6501,13688,6442,8929,90683,74495,4668,11520,5044,467,218,1754,1094,251,1261,6476,764,556,208,4576,1136
"Ovis ammon musimon","M2","Table 3","wild sheep","Mufflon",132400,127799,2417,3097,122286,6689,13563,5865,8807,87381,71231,4195,11955,5185,567,239,1775,1179,307,1119,6770,772,568,205,4613,1385
"Ovis ammon musimon","M3","Table 3","wild sheep","Mufflon",132500,127896,2736,3409,121751,5677,12723,5745,8920,88686,72655,4296,11736,4936,564,238,1636,1174,255,1096,6773,638,466,171,4920,1216
"Ovis ammon musimon","M4","Table 3","wild sheep","Mufflon",132200,127606,2488,2625,122493,5588,13879,5579,8174,89273,73980,4042,11251,5186,570,267,1642,1223,246,1238,6066,693,523,170,4217,1156
"Ovis ammon f. aries","Sk1","Table 4","domestic sheep","Blackhead Sheep",125000,120656,4324,3531,112802,5830,13495,5084,7587,80805,67074,3858,9874,4944,631,171,1762,1151,289,940,4930,715,541,174,3165,1050
"Ovis ammon f. aries","Sk2","Table 4","domestic sheep","Blackhead Sheep",120000,115830,3570,2447,109813,6752,13647,5365,7258,76791,64066,3510,9214,4472,544,150,1507,1064,335,871,4743,603,439,164,3022,1117
"Ovis ammon f. aries","Sk3","Table 4","domestic sheep","Blackhead Sheep",113900,109942,3304,2447,104191,5248,12879,4748,7624,73692,60730,3700,9262,4369,577,169,1563,988,287,786,4893,604,444,160,3029,1260
"Ovis ammon f. aries","H1","Table 4","domestic sheep","North German Moorland Sheep",102400,98842,3224,2281,93338,5505,11635,5385,7362,63452,50674,3804,8974,4288,516,156,1330,861,256,1169,4687,674,505,169,3115,898
"Ovis ammon f. aries","H2","Table 4","domestic sheep","North German Moorland Sheep",109600,105792,2263,2056,101473,5953,11008,5182,8294,71037,57431,4476,9129,4362,563,211,1270,864,247,1207,4768,671,472,199,3153,944
"Ovis ammon f. aries","H3","Table 4","domestic sheep","North German Moorland Sheep",99800,96361,2582,2359,91420,5247,11473,4479,6675,63547,53274,2982,7292,3651,424,135,1288,786,255,764,3640,595,409,187,2278,767
