Species,Order_group,CorticalSurface_Area.mm2,attributed_primary_source,confidence,evidence,note
Aotus trivirgatus,Primates,5485.85,"Kaas 2002b (proposed cortical areas of Aotus); Krubitzer & Kaas 1993 (DM, owl monkeys); Beck & Kaas 1998 (DM, owl + squirrel monkeys); Krubitzer & Kaas 1990a (MT, four primates)",medium,"owl-monkey items in the chapter's citation list; Kaas 2002b is the owl-monkey area catalogue","surface 5485.85 is ~2.7x the Collins 2010 flattened hemisphere (2036) and ~2.5x Mota 2019 (2214) — the ONE Finlay tracing that runs HIGH; re-check which flat map was traced"
Blarina brevicauda,Insectivores,28.13,Catania Lyon Mock & Kaas 1999 (cortical organization in shrews: five species),high,"Catania 1999 is the only cited shrew mapping study; five shrew species = the five shrew/small-soricid rows here",
Cryptotis parva,Insectivores,21.8,Catania et al. 1999,high,see Blarina,
Sorex cinereus,Insectivores,14.93,Catania et al. 1999,high,see Blarina,
Sorex longirostris,Insectivores,9.48,Catania et al. 1999,high,see Blarina,
Sorex palustris,Insectivores,25.55,Catania et al. 1999,high,see Blarina,
Erinaceus europaeus,Insectivores,106.69,UNRESOLVED — no cited study maps the European hedgehog,unresolved,"no hedgehog mapping paper in the citation list; candidates are the review schematics (Kaas 1987; Northcutt & Kaas 1995; Krubitzer 1995 TiNS)","106.69 vs Brodmann 1913 total 575 — anomalously low, same pattern as Trichosurus"
Echinops telfairi,Insectivores,24.24,Krubitzer Künzle & Kaas 1997 (somatosensory cortex in a Madagascan insectivore = tenrec),high,cited; the only tenrec study,
Tupaia belangeri,Scandentia (counted with insectivores),385.25,Lyon Jain & Kaas 1998 (striate + extrastriate visual areas in tree shrews),high,cited; the only tree-shrew study,
Monodelphis domestica,Marsupials,44.94,Huffman Nelson Clarey & Krubitzer 1999 (S1 in three marsupials); Kahn Huffman & Krubitzer 2000 (V1 in Monodelphis),high,both cited; Huffman 1999's three species are exactly Dasyurus + Dactylopsila + Monodelphis,
Dasyurus hallucatus,Marsupials,133.17,Huffman et al. 1999,high,see Monodelphis,
Dactylopsila trivirgata,Marsupials,248.65,Huffman et al. 1999,high,see Monodelphis,
Didelphis marsupialis,Marsupials,269.6,"Beck Pospichal & Kaas 1996 (somatosensory cortex in opossums, five areas)",high,"cited; the only Didelphis study","TAXON FLAG: Beck 1996 mapped Didelphis VIRGINIANA (and the chapter's own common name is 'North American Opossum' = virginiana); the printed binomial 'D. marsupialis' is a common conflation. 269.6 vs Brodmann 'Didelphis sp.' 804 — low, same pattern as Trichosurus"
Sminthopsis crassicaudata,Marsupials,11.37,UNRESOLVED — no cited study maps the fat-tailed dunnart,unresolved,"no dunnart paper in the citation list; candidates: Krubitzer-lab unpublished maps or review schematics (Krubitzer 1995 TiNS; Krubitzer & Huffman 2000)",
Trichosurus vulpecula,Marsupials,208.35,UNRESOLVED — no cited study maps the brush-tailed possum,unresolved,"none of the 30 cited works maps Trichosurus (Huffman 1999 = quoll/striped possum/Monodelphis; Beck 1996 = Didelphis; 'Gosh 1997' = CAT areas 4g/4d, not possum). Candidates: summary flat-map schematics in the cited reviews (Krubitzer 1995 TiNS; Krubitzer & Huffman 2000 BBE); the primary brushtail maps (Adey & Kerr 1954 lineage; Elston & Manger) are NOT cited","THE SUSPECT VALUE: 208.35 vs Brodmann 1913 total 1547 (x7.4). Tracing a not-to-scale review schematic, a partial (mapped-region-only) mount, or a juvenile brain would each produce this. See ReadMe §source attribution"
Pteropus poliocephalus,Chiroptera,219.63,Krubitzer Calford & Schmid 1993 (megachiropteran S1 flat-mounts); Rosa 1999 (flying fox extrastriate),high,both cited; the only bat studies,"219.63 also looks low for a 7.2 g flying-fox brain (same low pattern)"
Felis catus,Carnivora,3014.8,"Ghosh S 1997 ('Gosh 1997': cat areas 4gamma/4delta connections); counts partly from Kaas reviews",medium,the only cat paper cited,"3014.8 vs Brodmann 4474 — low-side but within method spread"
Mus sp.,Rodents,51.24,"counts: unpublished Kaas-lab maps (stated in the methods text: 'mapped but not yet published... J. Kaas, personal communication'); surface: UNRESOLVED tracing",unresolved,methods text names the count source explicitly; no mouse flat-mount is cited for the surface,"51.24 vs Mota 2019 147.8 and Brodmann 205 — strongly low; likely a partial mount or schematic"
Rattus sp.,Rodents,90.69,"counts: unpublished Kaas-lab maps (methods text); surface: UNRESOLVED tracing",unresolved,see Mus,"90.69 is low for an adult rat hemisphere"
Sciurus carolinensis,Rodents,213.85,"Kaas Krubitzer & Johanson 1989 (squirrel V1/V2); Krubitzer Sesma & Kaas 1986 (squirrel parietal flat-mounts)",medium,"both cited squirrel studies used Sciurus","TAXON FLAG: Slutsky Manger & Krubitzer 2000 (also cited) mapped the CALIFORNIA GROUND SQUIRREL (Spermophilus beecheyi); the printed 'Squirrel sp.' may blend the two genera"
Galago sp.,Primates,382.83,"Krubitzer & Kaas 1990a (MT, four primates incl. galago); Collins Stepniewska & Kaas 2001 (V2 in Galago garnetti); Wu Bichot & Kaas 2000 (prosimian motor areas)",high,three cited galago studies,"382.83 vs Collins 2010 direct flattened hemispheres (1849–2261 for Otolemur garnettii) — strongly low; same pattern"
Callithrix jacchus,Primates,910.26,"Krubitzer & Kaas 1990b (marmoset S1); Hui-Xin (Qi) Lyon & Kaas 2002 (marmoset PV/VS)",high,both cited marmoset studies,"910.26 agrees with Chaplin 2013 MRI (963); marmoset tracing looks sound"
Saimiri sciureus,Primates,4373.52,"Krubitzer & Kaas 1990a (MT); Beck & Kaas 1998 (DM, owl + squirrel monkeys); Weller White & Walton 2000 (DLc in squirrel monkeys)",high,three cited squirrel-monkey studies,"4373.52 vs Mota 5250 — plausible"
Macaca mulatta,Primates,10598.2,"Felleman & Van Essen 1991 (32 visual areas; the flat map almost certainly traced for surface); Lewis & Van Essen 2000a b; Beck & Kaas 1999 (macaque DM)",high,"methods text: 'macaque visual cortex has been most extensively mapped in Van Essen's laboratory, which counted 32 visual areas' — the printed visual count IS 32","10598.2 matches the F&VE 1991 flat-map total (~10,000–10,600 mm2 one hemisphere)"
