source_row,box_number,specimens,plane,stain,clade,detail,collection_group
1,1,Chimpanzee I Horizontal Fiber,Horizontal,Fiber,,,
2,2,Chimpanzee II Transverse Fiber,Transverse,Fiber,,,
3,3,Chimpanzee III Cerebellum,,,,Left Hemisphere,
4,4,Chimpanzee 'Buster' Horizontal,Horizontal,,,Left Hemisphere,
5,4,Chimpanzee 'Buster' Transverse,Transverse,,,Right Hemisphere,
6,4,"Chimpanzee 51-31 Sagittal, Cell",Sagittal,Cell,,Right Hemisphere,
7,5,Chimpanzee 'Ken' Transverse Cell,Transverse,Cell,,,
8,6,Chimpanzee 'Mars' Transverse Cell,Transverse,Cell,,,
9,7,Orangutang Transverse Fiber,Transverse,Fiber,,,
10,8,Baboon I Transverse Cell,Transverse,Cell,,,
11,9,Baboon I Transverse Fiber,Transverse,Fiber,,,
12,10,"Baboon II Sagittal Cell, Fiber",Sagittal,"Cell,Fiber","Cell,Fiber",,
13,11,Baboon III Horizontal Cell,Horizontal,Cell,,Blocks 1 and 2,
14,12,Baboon III Horizontal Fiber,Horizontal,Fiber,,,
15,13,"Rhesus Monkey I, Transverse Fiber",Transverse,Fiber,,Blocks 1 and 2,
16,14,"Rhesus Monkey 2, Horizontal Fiber",Horizontal,Fiber,,Blocks 1 and 2,
17,15,Rhesus Monkey #47 Transverse Cell,Transverse,Cell,,,
18,16,"Rhesus Monkey PPC 9 Horizontal Fiber, Cell",Horizontal,Cell,,,
19,17,"Rhesus Monkey PPC 9 Horizontal Fiber, Cell",Horizontal,Cell,,,
20,18,Rhesus Monkey Blind Transverse Fiber,Transverse,Fiber,,,
21,19,"Nemestrina Frontal I, Sagittal II","Sagittal,Frontal","Sagittal,Frontal",,,
22,20,Nemestrina Horizontal III,Horizontal,,,,
23,21,Japanese Redfaced Macaque Transverse Cell,Transverse,Cell,,Blocks 1 and 2,
24,22,Bonnet Cell,,,,Blocks 1 and 2,
25,23,Sooty Mangabey Cell,,Cell,,Blocks 1 and 2,
26,24,Green Monkey Frontal Cell and Fiber,Frontal,"Cell,Fiber","Cell,Fiber",,
27,25,Green Monkey Sagittal Cell and Fiber,Sagittal,"Cell,Fiber","Cell,Fiber",,
28,26,Marmoset 1 part 1,Transverse,Cell,,,````````
29,27,Marmoset 1 part 2,Transverse,Cell,,more in box 32,````````
30,28,Marmoset 2 part 1,Horizontal,Cell,,,````````
31,29,Marmoset 2 part 2,Horizontal,Cell,,,````````
32,29,Marmoset 3 part 1,Transverse,Cell,,,````````
33,30,Marmoset 3 part 2,Transverse,Cell,,more in box 32,````````
34,31,Marmoset 4,Sagittal,Cell,,,````````
35,31,Marmoset 7.8,Transverse,Cell,,,````````
36,32,"Marmoset 1,3 parts 3",Transverse,Cell,,,````````
37,33,Cinnamon Ringtailed Monkey,,,,Blocks 1 and 2,````````
38,33,Woolly Monkey 1,,,,Block 2,````````
39,34,Woolly Monkey 2,Transverse,Cell,,,````````
40,35,Woolly Monkey 1,Transverse,Cell,,,````````
41,36,Spider Monkey 1 Bobby,Horizontal,Fiber,,,````````
42,37,Spider Monkey 2,Transverse,Fiber,,,````````
43,37,Spider Monkey 3 Buddy,Sagittal,Fiber,,,````````
44,38,Spider Monkey,Transverse,Cell,,,````````
45,39,Spider Monkey Billy,Transverse,Fiber,,,````````
46,39,Howler Monkey Embryo,Transverse,,,,````````
47,40,Howler Monkey Embryo,"Sagittal,Horizontal",Fiber,,,````````
48,41,Howler Monkey 7,Transverse,Fiber,,,````````
49,42,Mole 2,Sagittal,Fiber,,,````````
50,42,Shrew 4,Sagittal,Fiber,,,````````
51,42,Tree Shrew,"Sagittal,Transverse, Horizontal",Cell,,Excellent Staining,````````
52,44,Bats 1 to 13,"Sagittal, Transverse, Horizontal",Fiber,,,````````
53,45,Bats 14 to 24,,"Cell,Fiber","Cell,Fiber",,````````
54,46,Armadillo,"Sagittal, Transverse, Horizontal",Fiber,,,````````
55,47,Sloth 24,Transverse,Cell,,Blocks 1 - 7,````````
56,48,Sloth I and II,Transverse,Fiber,,,````````
57,49,Sloth,Sagittal,Fiber,,,````````
58,50,Agouti,Transverse,Fiber,,,````````
59,50,Ground Squirrel,,Cell,,,````````
60,50,Woodchuck I,Horizontal,Fiber,,,````````
