source_row,specimen_number,species,common_name,material,stain,plane,section_thickness_micrometers,number_of_slides,number_of_sections,collection_group,continuation_note
1,1,Entosphenus Appendiz,lamprey,Brain,Tol. blue,Transverse,,15,450,CYCLOSTOMES,
2,2,Petromyzon marinus unicolor,Sea lamprey,Brain,Tol. blue,Transverse,,20,368,CYCLOSTOMES,
3,3,Ichthyomyzon unicolor,lamprey,Brain,Tol. blue,Transverse,20,5,213,CYCLOSTOMES,
4,4,Ichthyomyzon unicolor,lamprey,Brain,Tol. blue,Sagittal,30,8,104,CYCLOSTOMES,
5,5,Petromyzon marinus unicolor,Sea lamprey,Brain,Tol. blue,Sagittal,40?,20,160,CYCLOSTOMES,
6,6,Ichthyomyzon unicolor,lamprey,Brain,Tol. blue,Horizontal,30,7,120,CYCLOSTOMES,
7,7,Petromyzon marinus unicolor,Sea lamprey,Brain,Tol. blue,Horizontal,40,11,72,CYCLOSTOMES,
8,8,Entosphenus appendiz,lamprey,Brain,Pyr. silver,Transverse,25,8,433,CYCLOSTOMES,
9,9,Petromyzon marinus unicolor,Sea lamprey,Brain,Pyr. silver,Transverse,30,12,291,CYCLOSTOMES,
10,10,Ichthyomyzon unicolor,lamprey,Brain,Pyr. silver,Transverse,30,5,281,CYCLOSTOMES,
11,11,Ichthyomyzon unicolor,lamprey,Brain,Pyr. silver,Transverse,30,5,265,CYCLOSTOMES,
12,12,Ichthyomyzon unicolor,lamprey,Brain,Pyr. silver,Transverse,30,8,337,CYCLOSTOMES,
13,13,Petromyzon marinus unicolor,Sea lamprey,Brain,Pyr. silver,Sagittal,25,10,123,CYCLOSTOMES,
14,14,Petromyzon marinus unicolor,Sea lamprey,Brain,Pyr. silver,Horizontal,25,10,105,CYCLOSTOMES,
15,15,Entosphenus appendiz,lamprey,Brain,Pyr. silver,Horizontal,30,10,102,CYCLOSTOMES,
16,16,Mustelus canis,Smooth Dogfish,Brain,Tol. blue,Transverse,15,135,3164,ELASMOBRANCHS,
17,17,Mustelus canis,Smooth Dogfish,Brain,Pyr. silver,Transverse,20,119,1875,ELASMOBRANCHS,
18,18,Mustelus canis,Smooth Dogfish,Brain,Pyr. silver,Horizontal,20,211,663,ELASMOBRANCHS,
19,19,Mustelus canis,Smooth Dogfish,Brain,Pyr. silver,Horizontal,20,270,546,ELASMOBRANCHS,
20,696,Mustela canis,Smooth Dogfish?,Brain,Tol. blue,Transverse,25,139,1530,ELASMOBRANCHS,
21,20,Amia calva,Bowfin,Brain,Tol. blue,Transverse,40,20,795,PISCES,
22,21,Amia calva,Bowfin,Brain,Pyr. silver,Transverse,25,16,917,PISCES,
23,22,Amia calva,Bowfin,Brain,Pyr. silver,Sagittal,25,16,252,PISCES,
24,23,Eupomotis gibbosus,Sunfish,Brain,Tol. blue,Transverse,40,3,184,PISCES,
25,24,Eupomotis gibbosus,Sunfish,Brain,Tol. blue,Sagittal,40,4,112,PISCES,
26,25,Salmo salar sobago,Atlantic salmon,Brain,Tol. blue,Transverse,25,10,486,PISCES,
27,26,Salmo salar sobago,Atlantic salmon,Brain,Pyr. Silver,Sagittal,10,9,528,PISCES,
28,27,Salmo gairdnieri iradeus,Native steelhead or Rainbow trout,Brain,Tol. blue,Transverse,25,8,400,PISCES,
29,28,Salvelinus fontinalis,Brook trout,Brain,Tol. blue,Transverse,25,7,316,PISCES,
30,29,Salvelinus fontinalis,Brook trout,Brain,Tol. blue,Horizontal,25,5,155,PISCES,
31,30,Cyprinus carpio,Carp,Brain,Pyr. silver,Transverse,,19,794,PISCES,
32,31,Cyprinus carpio,Carp,Brain,Pyr. silver,Sagittal,25,23,349,PISCES,
33,32,Cyprinus carpio,Carp,Brain,Weigert,Transverse,40,20,534,PISCES,
34,635,Cyprinus carpio,Carp,Brain,Thion.,Transverse,,106,1060,PISCES,
35,636,Cyprinus carpio,Carp,Brain,Thion.,Horizontal,,80,655,PISCES,
36,637,Cyprinus carpio,Carp,Brain,Pyr. silver,Sagittal,,33,281,PISCES,
37,638,Cyprinus carpio,Carp,Brain,Pyr. silver,Horizontal,,29,348,PISCES,
38,639,Cyprinus carpio,Carp,Brain,Pyr. silver,Horizontal,,30,254,PISCES,
