Code,Definition,Structure,Measure,Stat,role,taxon,Reference,Note,Source Note
source_row,printed row sequence within Table S5a after cleaning,,,,info,various (multi-taxon catalog; see item scope),Fobbs_etal_2011_TableS5a,stable source-order key added in build,
specimen_number,"Catalog/specimen number, as printed",,,,info,various (multi-taxon catalog; see item scope),Fobbs_etal_2011_TableS5a,,
species,Species/specimen label as printed (e.g. 'Entosphenus Appendiz'),,,,info,various (multi-taxon catalog; see item scope),Fobbs_etal_2011_TableS5a,,
common_name,"Common name, as printed (e.g. 'lamprey')",,,,info,various (multi-taxon catalog; see item scope),Fobbs_etal_2011_TableS5a,,
material,Material/tissue sectioned (e.g. 'Brain'),,,,info,various (multi-taxon catalog; see item scope),Fobbs_etal_2011_TableS5a,,
stain,"Histological stain, as printed",,,,info,various (multi-taxon catalog; see item scope),Fobbs_etal_2011_TableS5a,,
plane,Histological plane of section,,,,info,various (multi-taxon catalog; see item scope),Fobbs_etal_2011_TableS5a,,
section_thickness_micrometers,"Section thickness in micrometers, as printed",,count,,primary,various (multi-taxon catalog; see item scope),Fobbs_etal_2011_TableS5a,,
number_of_slides,Number of slides prepared,,count,,primary,various (multi-taxon catalog; see item scope),Fobbs_etal_2011_TableS5a,,
number_of_sections,Number of sections prepared,,count,,primary,various (multi-taxon catalog; see item scope),Fobbs_etal_2011_TableS5a,,
collection_group,"Taxonomic/collection grouping label carried down from a printed section heading (e.g. 'CYCLOSTOMES'; build-added, not a per-row printed column)",,,,info,various (multi-taxon catalog; see item scope),Fobbs_etal_2011_TableS5a,,
continuation_note,"Free-text note marking a row as a continuation of a preceding entry, where printed",,,,info,various (multi-taxon catalog; see item scope),Fobbs_etal_2011_TableS5a,,
Method:frozen_source,"nyas_6036_sm_table5a.doc (legacy journal Word supplement) is the frozen source, converted losslessly to a snapshot workbook by Fobbs_etal_2011_build_snapshot.py; the snapshot is not rebuilt unless explicitly requested (rebuild_snapshot=FALSE guards the audited snapshot)",,,,method,,,,
Method:scope,Large comparative brain-sections catalog spanning cyclostomes through mammals. 739 catalog records after cleaning (printed section-label/blank rows removed).,,,,method,,,Fobbs_etal_2011_TableS5a,
