Code,Definition,Structure,Measure,Stat,role,taxon,Reference,Note,Source Note
Structure,CNS structure or gland compared across ages (Cerebellum; Isocortex; Hippocampus; Olfactory bulb; Rest of the brain; Spinal cord; Pituitary gland),,,info,,Mus musculus,Fu_etal_2013_Table1,,
Mass_wk4to15,significance/direction of the change in structure mass between 4- and 15-week-old mice,Structure,mass,ANOVA + Tukey post hoc,primary,Mus musculus,Fu_etal_2013_Table1,symbol code: see Note,arrows: one/two/three = p<0.05/0.01/0.001; en dash = not significant
Mass_wk15to40,significance/direction of the change in structure mass between 15- and 40-week-old mice,Structure,mass,ANOVA + Tukey post hoc,primary,Mus musculus,Fu_etal_2013_Table1,symbol code: see Note,arrows: one/two/three = p<0.05/0.01/0.001; en dash = not significant
Mass_wk4to40,significance/direction of the change in structure mass between 4- and 40-week-old mice,Structure,mass,ANOVA + Tukey post hoc,primary,Mus musculus,Fu_etal_2013_Table1,symbol code: see Note,arrows: one/two/three = p<0.05/0.01/0.001; en dash = not significant
NumNeurons_wk4to15,significance/direction of the change in NeuN-positive (neuronal) cell number between 4 and 15 weeks,Structure,neuron count,ANOVA + Tukey post hoc,primary,Mus musculus,Fu_etal_2013_Table1,symbol code: see Note,"isotropic fractionator + NeuN immunolabeling; NA for Pituitary gland (no NeuN-based neuron/non-neuron split for this structure)"
NumNeurons_wk15to40,significance/direction of the change in NeuN-positive (neuronal) cell number between 15 and 40 weeks,Structure,neuron count,ANOVA + Tukey post hoc,primary,Mus musculus,Fu_etal_2013_Table1,symbol code: see Note,"isotropic fractionator + NeuN immunolabeling; NA for Pituitary gland"
NumNeurons_wk4to40,significance/direction of the change in NeuN-positive (neuronal) cell number between 4 and 40 weeks,Structure,neuron count,ANOVA + Tukey post hoc,primary,Mus musculus,Fu_etal_2013_Table1,symbol code: see Note,"isotropic fractionator + NeuN immunolabeling; NA for Pituitary gland"
NumNonNeurons_wk4to15,significance/direction of the change in NeuN-negative (non-neuronal) cell number between 4 and 15 weeks,Structure,non-neuron count,ANOVA + Tukey post hoc,primary,Mus musculus,Fu_etal_2013_Table1,symbol code: see Note,"for Pituitary gland this column instead refers to total pituitary cell number (footnote a)"
NumNonNeurons_wk15to40,significance/direction of the change in NeuN-negative (non-neuronal) cell number between 15 and 40 weeks,Structure,non-neuron count,ANOVA + Tukey post hoc,primary,Mus musculus,Fu_etal_2013_Table1,symbol code: see Note,"for Pituitary gland this column instead refers to total pituitary cell number (footnote a)"
NumNonNeurons_wk4to40,significance/direction of the change in NeuN-negative (non-neuronal) cell number between 4 and 40 weeks,Structure,non-neuron count,ANOVA + Tukey post hoc,primary,Mus musculus,Fu_etal_2013_Table1,symbol code: see Note,"for Pituitary gland this column instead refers to total pituitary cell number (footnote a)"
DensityNeurons_wk4to15,significance/direction of the change in neuron density (NeuN-positive cells/mg tissue) between 4 and 15 weeks,Structure,neuron density,ANOVA + Tukey post hoc,primary,Mus musculus,Fu_etal_2013_Table1,symbol code: see Note,"NA for Pituitary gland"
DensityNeurons_wk15to40,significance/direction of the change in neuron density between 15 and 40 weeks,Structure,neuron density,ANOVA + Tukey post hoc,primary,Mus musculus,Fu_etal_2013_Table1,symbol code: see Note,"NA for Pituitary gland"
DensityNeurons_wk4to40,significance/direction of the change in neuron density between 4 and 40 weeks,Structure,neuron density,ANOVA + Tukey post hoc,primary,Mus musculus,Fu_etal_2013_Table1,symbol code: see Note,"NA for Pituitary gland"
DensityNonNeurons_wk4to15,significance/direction of the change in non-neuron density (NeuN-negative cells/mg tissue) between 4 and 15 weeks,Structure,non-neuron density,ANOVA + Tukey post hoc,primary,Mus musculus,Fu_etal_2013_Table1,symbol code: see Note,"for Pituitary gland this column instead refers to pituitary cell density (footnote a)"
DensityNonNeurons_wk15to40,significance/direction of the change in non-neuron density between 15 and 40 weeks,Structure,non-neuron density,ANOVA + Tukey post hoc,primary,Mus musculus,Fu_etal_2013_Table1,symbol code: see Note,"for Pituitary gland this column instead refers to pituitary cell density (footnote a)"
DensityNonNeurons_wk4to40,significance/direction of the change in non-neuron density between 4 and 40 weeks,Structure,non-neuron density,ANOVA + Tukey post hoc,primary,Mus musculus,Fu_etal_2013_Table1,symbol code: see Note,"for Pituitary gland this column instead refers to pituitary cell density (footnote a)"
NNNratio_wk4to15,significance/direction of the change in the non-neuron/neuron (NeuN-negative/NeuN-positive) cell number ratio between 4 and 15 weeks,Structure,cell ratio,ANOVA + Tukey post hoc,derived in source table,Mus musculus,Fu_etal_2013_Table1,symbol code: see Note,"NA for Pituitary gland"
NNNratio_wk15to40,significance/direction of the change in the non-neuron/neuron cell number ratio between 15 and 40 weeks,Structure,cell ratio,ANOVA + Tukey post hoc,derived in source table,Mus musculus,Fu_etal_2013_Table1,symbol code: see Note,"NA for Pituitary gland"
NNNratio_wk4to40,significance/direction of the change in the non-neuron/neuron cell number ratio between 4 and 40 weeks,Structure,cell ratio,ANOVA + Tukey post hoc,derived in source table,Mus musculus,Fu_etal_2013_Table1,symbol code: see Note,"NA for Pituitary gland"
