Code,Definition,Structure,Measure,Stat,role,taxon,Reference,Note,Source Note
Species_Gabi2016,species name exactly as printed in Table S1 (abbreviated genus, no space: "C.apella"),,,,info,Primates (incl. human),Gabi_etal_2016_TableS1,printed name preserved (invariant 3),the full binomials appear only in the Fig. S1 axis labels and the Methods
species_sci,accepted binomial resolved via _keys/Stephan/species_key.csv (source_publication = Gabi2016),,,,info,Primates (incl. human),Gabi_etal_2016_TableS1,"8 of 8 resolved; C.apella -> Sapajus apella, the house name used by HH 2015 and DosSantos 2020",paper-scoped resolution (SPECIES_NAMING.md sec 3)
n,number of hemispheres,,Count,point,info,Primates (incl. human),Gabi_etal_2016_TableS1,one hemisphere per species,added by the build script
region,the region these shares refer to,PrefrontalCortex,,,info,Primates (incl. human),Gabi_etal_2016_TableS1,constant "prefrontal"; the paper defines it operationally as cortex ANTERIOR TO THE CORPUS CALLOSUM - not a cytoarchitectural definition,added by the build script
PrefrontalCortex_pct.VGM,percentage of cortical GRAY MATTER VOLUME contained in the prefrontal region,PrefrontalCortex,pct.cortex,point,primary,Primates (incl. human),Gabi_etal_2016_TableS1,"a SHARE of a whole-cortex total, not a volume - range 6.6-13.5%",source column % V_GM
PrefrontalCortex_pct.VWM,percentage of subcortical WHITE MATTER VOLUME contained in the prefrontal region,PrefrontalCortex,pct.cortex,point,primary,Primates (incl. human),Gabi_etal_2016_TableS1,"a SHARE, not a volume - range 1.9-8.0%",source column % V_WM
PrefrontalCortex_pct.OWM,percentage of all other (non-neuronal) cells in the WHITE MATTER contained in the prefrontal region,PrefrontalCortex,pct.cortex,point,primary,Primates (incl. human),Gabi_etal_2016_TableS1,"a SHARE, not a cell count - range 2.8-14.4%",source column % O_WM
PrefrontalCortex_pct.neurons,percentage of all CORTICAL NEURONS contained in the prefrontal region,PrefrontalCortex,pct.cortex,point,primary,Primates (incl. human),Gabi_etal_2016_TableS1,"the paper's headline measure. Mean across the 8 species = 8.17% (the paper says ~8%); the HUMAN value 7.8% ranks 3rd of 8, i.e. not an outlier - that is the paper's finding of no relative prefrontal expansion",source column % neurons
method,measurement method,,,,method,Primates (incl. human),Gabi_etal_2016_TableS1,isotropic fractionator with A-P sectioning; prefrontal defined as anterior to the corpus callosum,constant per row
Method:percentages,"every value is a SHARE of a whole-cortex total, never an absolute volume or count",,,,method,Primates (incl. human),Gabi_etal_2016_TableS1,"HOWTO sec 7 normally forbids transcribing percentages because they are recomputed from absolutes - that does not apply here, because the absolute prefrontal values are NOT published (Fig. 6 plots them; no table gives them). The share is the only published form of the datum",transcribed on that basis and flagged pct.cortex so it cannot be mistaken for a count
Method:derivation,how to obtain an absolute prefrontal neuron count,,,,method,Primates (incl. human),Gabi_etal_2016_TableS1,"multiply pct.neurons/100 by that species' whole-cortex neuron count from the cellcount merge. This is a DERIVATION for the merge to make explicitly, naming both sources - it is deliberately NOT baked into this table",
Method:region,regional - never pooled with whole-cortex values,PrefrontalCortex,,,method,Primates (incl. human),Gabi_etal_2016_TableS1,"same rule as Jacobs_etal_2018 (M1) and Ribeiro_etal_2013 (cortical regions): a regional sub-trait, kept apart from CerebralCortex_N.n",
Method:specimen,"the HUMAN row is the SAME HEMISPHERE as Ribeiro_etal_2013_Table1",,,,method,Human,Gabi_etal_2016_TableS1,"Gabi's Methods state the human hemisphere was previously analyzed by Ribeiro et al. - one 65-y-o female right hemisphere. These are NOT two independent human samples; needs a _keys/specimen_crosswalk entry before both contribute a human value",
