Code,Definition,Structure,Measure,Stat,role,taxon,Reference,Note,Source Note
species,binomial harmonized to key,,Species,,primary,Proboscidea,Hakeem_etal_2009_Table1,via _keys/Hof/species_key.csv,
species_as_published,African elephant,,Species,,primary,,Hakeem_etal_2009_Table1,not printed in the table,Materials and methods: the African elephant brains were obtained from the Cleveland Metroparks Zoo; Elephant 1 was a wild-born female of about 42 years at death
specimen_as_published,"printed row label, verbatim",,Specimen,,info,,Hakeem_etal_2009_Table1,Elephant 1 right hemisphere / Elephant 1 left hemisphere,
specimen,specimen the row belongs to,,Specimen,,info,,Hakeem_etal_2009_Table1,Elephant 1,the paper also examined Elephant 2 and an Indian elephant (Elephas maximus); neither appears in this table
hemisphere,"R or L, read from the printed row label",,,,info,,Hakeem_etal_2009_Table1,,
ven_n_FI,VENs in area FI,fronto_insular_cortex,N.n,,primary,Proboscidea,Hakeem_etal_2009_Table1,one hemisphere per row,
ven_ce_gundersen,coefficient of error of the VEN estimate,fronto_insular_cortex,CE,,info,,Hakeem_etal_2009_Table1,Gundersen estimator with m = 1,printed as Gunderson; the estimator is Gundersen
ven_ce_schmitzhof,coefficient of error of the VEN estimate,fronto_insular_cortex,CE,,info,,Hakeem_etal_2009_Table1,Schmitz-Hof first estimator,
neuron_n_FI,total neurons in area FI,fronto_insular_cortex,N.n,,primary,Proboscidea,Hakeem_etal_2009_Table1,one hemisphere per row,"1,300,000 on the right against 348,000 on the left, a 3.7-fold difference within one animal; printed as published and not reconciled"
neuron_ce_gundersen,coefficient of error of the total neuron estimate,fronto_insular_cortex,CE,,info,,Hakeem_etal_2009_Table1,Gundersen estimator with m = 1,printed as Gunderson; the estimator is Gundersen
neuron_ce_schmitzhof,coefficient of error of the total neuron estimate,fronto_insular_cortex,CE,,info,,Hakeem_etal_2009_Table1,Schmitz-Hof first estimator,
ven_pct_FI,VENs as a percentage of total neurons in FI,fronto_insular_cortex,pct.neurons,,primary,Proboscidea,Hakeem_etal_2009_Table1,"recomputed from the two counts and rounded to the precision the paper printed, so the column reads as the page does",printed 0.78% and 2.6%; the build stops if the recomputation disagrees
n_individuals,individuals in this table,,,,info,,Hakeem_etal_2009_Table1,1; the two rows are hemispheres of the same animal,
source,source id,,Source,,primary,,Hakeem_etal_2009_Table1,,
Method:observation_level,hemisphere,,,,method,,Hakeem_etal_2009_Table1,"one row per printed row, not per specimen",the table reports the two hemispheres of Elephant 1 separately
Method:combining,how to get a whole-brain value,fronto_insular_cortex,,,method,,Hakeem_etal_2009_Table1,"sum ven_n_FI and neuron_n_FI across the two rows, then recompute the percentage from the sums: 19,310 / 1,648,000 = 1.17%",Do NOT average the two printed percentages. That gives 1.69% and is wrong. No combined row is added here because the paper prints none.
Method:cell_counting,stereologic counts,fronto_insular_cortex,,,method,,Hakeem_etal_2009_Table1,StereoInvestigator; VENs plotted at 400x in Neurolucida,"frontal-lobe slabs about 20 mm thick frozen and cut at 120 um; every 20th section mounted, every 4th through FI; cresyl violet Nissl"
Method:transcription,hand transcription,,,,method,,Hakeem_etal_2009_Table1,"typed into the frozen snapshot by Claude (AI assistant) on 10 September 2026 from page images supplied by M. Windley, and checked by recomputing both printed percentages from the printed counts","the paper is not open access and has no PMC copy, so there is nothing to scrape"
