figure_label,clade,upstream_source,upstream_species,caption_ratio,audit_note,thalamus_mm3,neocortex_mm3,neocortex_to_thalamus_ratio,caption_ratio_difference,disposition
Homo sapiens,Anthropoids,Stephan_etal_1981,Homo sapiens sapiens,55.3,Source subspecies label shortened in figure.,18222,1006525,55.23680166831303,0.06319833168696931,upstream primary value already held; do not digitize Figure 1
Pan troglodytes,Anthropoids,Stephan_etal_1981,Pan troglodytes,NA,NA,7987,291592,36.508326029798425,NA,upstream primary value already held; do not digitize Figure 1
Gorilla gorilla,Anthropoids,Stephan_etal_1981,Gorilla gorilla,NA,NA,10547,341444,32.373565942922156,NA,upstream primary value already held; do not digitize Figure 1
Hylobates lar,Anthropoids,Stephan_etal_1981,Hylobates lar,NA,NA,3226,65800,20.396776193428394,NA,upstream primary value already held; do not digitize Figure 1
Nasalis larvatus,Anthropoids,Stephan_etal_1981,Nasalis larvatus,NA,NA,3036,62685,20.647233201581027,NA,upstream primary value already held; do not digitize Figure 1
Procolobus badius,Anthropoids,Stephan_etal_1981,Colobus badius,NA,Taxonomic relabeling in figure.,2164,50906,23.524029574861366,NA,upstream primary value already held; do not digitize Figure 1
Papio hamadryas,Anthropoids,Stephan_etal_1981,Papio anubis,NA,Figure label differs from source species label.,4788,140142,29.269423558897245,NA,upstream primary value already held; do not digitize Figure 1
Lophocebus albigena,Anthropoids,Stephan_etal_1981,Cercocebus albigena,NA,Taxonomic relabeling in figure.,2933,68733,23.43436754176611,NA,upstream primary value already held; do not digitize Figure 1
Cercopithecus ascanius,Anthropoids,Stephan_etal_1981,Cercopithecus ascanius,NA,Figure tree truncates label to Cercopithecus ascan.,1916,45166,23.573068893528184,NA,upstream primary value already held; do not digitize Figure 1
Saimiri sciureus,Anthropoids,Stephan_etal_1981,Saimiri sciureus,21.3,NA,731,15541,21.259917920656633,0.04008207934336738,upstream primary value already held; do not digitize Figure 1
Sapajus apella,Anthropoids,Stephan_etal_1981,Cebus sp.,NA,Taxonomic relabeling in figure.,2163,46429,21.465094775774386,NA,upstream primary value already held; do not digitize Figure 1
Saguinus oedipus,Anthropoids,Stephan_etal_1981,Saguinus oedipus,NA,NA,410,5894,14.37560975609756,NA,upstream primary value already held; do not digitize Figure 1
Callithrix pygmaea,Anthropoids,Stephan_etal_1981,Cebuella pygmaea,13.3,Figure tree and values identify the pygmy marmoset; caption instead says Callithrix jacchus and calls its thalamus estimated.,190,2535,13.342105263157896,0.04210526315789487,upstream primary value already held; do not digitize Figure 1
Lagothrix lagotricha,Anthropoids,Stephan_etal_1981,Lagothrix lagotricha,NA,NA,2959,65873,22.26191280838121,NA,upstream primary value already held; do not digitize Figure 1
Ateles geoffroyi,Anthropoids,Stephan_etal_1981,Ateles geoffroyi,NA,NA,2930,70856,24.182935153583617,NA,upstream primary value already held; do not digitize Figure 1
Tarsius bancanus,Tarsiers,Stephan_etal_1981,Tarsius sp.,NA,Figure supplies a species epithet absent from the upstream row.,175,1768,10.102857142857143,NA,upstream primary value already held; do not digitize Figure 1
Galagoides demidoff,Lorises and galagos,Stephan_etal_1981,Galago demidovii,NA,Taxonomic and spelling relabeling in figure.,153,1568,10.248366013071895,NA,upstream primary value already held; do not digitize Figure 1
Otolemur crassicaudatus,Lorises and galagos,Stephan_etal_1981,Galago crassicaudatus,NA,Taxonomic relabeling in figure.,437,4723,10.807780320366133,NA,upstream primary value already held; do not digitize Figure 1
Loris tardigradus,Lorises and galagos,Stephan_etal_1981,Loris tardigradus,NA,NA,348,3524,10.126436781609195,NA,upstream primary value already held; do not digitize Figure 1
Perodicticus potto,Lorises and galagos,Stephan_etal_1981,Perodicticus potto,NA,NA,587,6683,11.385008517887563,NA,upstream primary value already held; do not digitize Figure 1
Lepilemur ruficaudatus,Lemurs,Stephan_etal_1981,Lepilemur ruficaudatus,NA,NA,337,3282,9.738872403560832,NA,upstream primary value already held; do not digitize Figure 1
Eulemur fulvus,Lemurs,Stephan_etal_1981,Lemur fulvus,NA,Taxonomic relabeling in figure.,1028,12207,11.874513618677042,NA,upstream primary value already held; do not digitize Figure 1
Propithecus verreauxi,Lemurs,Stephan_etal_1981,Propithecus verreauxi,NA,NA,1341,13170,9.82102908277405,NA,upstream primary value already held; do not digitize Figure 1
Avahi laniger,Lemurs,Stephan_etal_1981,Avahi laniger occidentalis,NA,Source subspecies label shortened in figure.,489,4443,9.085889570552148,NA,upstream primary value already held; do not digitize Figure 1
Cheirogaleus major,Lemurs,Stephan_etal_1981,Cheirogaleus major,NA,NA,271,2938,10.841328413284133,NA,upstream primary value already held; do not digitize Figure 1
Microcebus murinus,Lemurs,Stephan_etal_1981,Microcebus murinus,9.4,NA,78.3,740,9.450830140485314,0.050830140485313535,upstream primary value already held; do not digitize Figure 1
Tupaia glis,Scandentia,Stephan_etal_1981,Tupaia glis,6.8,NA,153,1036,6.771241830065359,0.02875816993464042,upstream primary value already held; do not digitize Figure 1
Cavia porcellus,Rodents,Campos_Welker_1976,Cavia porcellus,NA,Measurement source omitted from Figure 1 caption but cited as Ref. 31 in the text.,36.6,170.2,4.6502732240437155,NA,upstream primary value already held; do not digitize Figure 1
Hydrochoerus hydrochoerus,Rodents,Campos_Welker_1976,Hydrochoerus hydrochoerus,9.2,Figure tree truncates the label and uses Hydrochaeris; measurement source omitted from caption.,434.1,3979,9.16609076249712,0.03390923750287911,upstream primary value already held; do not digitize Figure 1
Erinaceus europaeus,Eulipotyphla,Stephan_etal_1981,Erinaceus europaeus,4.5,NA,117,522,4.461538461538462,0.038461538461538325,upstream primary value already held; do not digitize Figure 1
