"Code","Definition","Structure","Measure","Stat","role","taxon","Reference","Note","Source Note"
"Species_HH1992a","Common species name verbatim as printed in Table 1","","","","info","","Heffner_Heffner_1992_a_Table1","",""
"symbol","Plot symbol used in the paper's figures for this species","","","","info","","Heffner_Heffner_1992_a_Table1","",""
"binomial","Scientific binomial assigned to the printed common name","","","","info","","Heffner_Heffner_1992_a_Table1","interpretive; see species_crosswalk basis column (macaque left as Macaca sp.)",""
"binomial_basis","How the binomial was assigned: stated_in_text / cited_primary / cited_primary_inferred / ambiguous / unambiguous","","","","info","","Heffner_Heffner_1992_a_Table1","",""
"sound_localization_threshold_deg","Minimum audible angle around the median sagittal plane; 75% correct for two-choice procedures, 50% detection for conditioned avoidance (footnote 1)","","angle.deg","threshold","secondary","Mammalia (24 rows, 23 spp; wild + domestic Norway rat separate)","Heffner_Heffner_1992_a_Table1","all thresholds previously published; per-row primary in threshold_source (mostly Heffner-lab papers)","footnotes 2-22"
"delta_t_us","Functional interaural distance: maximum time for sound to travel around the head between auditory meatus, in microseconds","","time.us","value","primary","Mammalia (24 rows)","Heffner_Heffner_1992_a_Table1","previously published in graphic form only (Heffner and Heffner '87); first tabular values",""
"field_of_best_vision_deg","Horizontal width of the field of best vision from retinal ganglion cell isodensity contours (75% of maximum density criterion)","retina","angle.deg","value","primary","Mammalia (13 spp)","Heffner_Heffner_1992_a_Table1","new data reported by this paper",""
"visual_acuity_cdeg","Maximum visual acuity in cycles/degree; calculated from peak ganglion cell density except as otherwise noted (header footnote 23)","retina","acuity.cdeg","value","both","Mammalia (14 spp)","Heffner_Heffner_1992_a_Table1","unfootnoted rows = this paper's own ganglion-cell estimates (primary); footnoted rows 24-30 = other sources (secondary), resolved in acuity_source",""
"binocular_field_deg","Width of the angle of overlap of the left and right retinal fields, in degrees","","angle.deg","value","primary","Mammalia (20 spp)","Heffner_Heffner_1992_a_Table1","determined specifically for this analysis (Methods)",""
"trophic_level","Degree to which a species is predatory (1 = strict predator) to strictly prey (5), ranked from published species descriptions (Nowak and Paradiso '83)","","ordinal","rank","primary","Mammalia (24 rows)","Heffner_Heffner_1992_a_Table1","ranking constructed by this paper",""
"threshold_footnote","Printed superscript on the threshold value; resolved in threshold_source","","","","note","","Heffner_Heffner_1992_a_Table1","full key in reference_tables/..._footnotes.csv",""
"acuity_footnote","Printed superscript on the acuity value; resolved in acuity_source","","","","note","","Heffner_Heffner_1992_a_Table1","",""
"Method:extraction","Scanned PDF; OCR text layer unusable (superscripts fuse into values); snapshot hand-verified against the 400 dpi page image and audited against two independent extractions with 0 value mismatches","","","","method","","Heffner_Heffner_1992_a_Table1","",""
"Method:units","All values kept in printed units (deg, microsec, c/deg, ordinal); no conversions applied","","","","method","","Heffner_Heffner_1992_a_Table1","",""
