footnote,applies_to,text_as_printed,primary_study_keys
1,Sound localization threshold column header,"Threshold defined as 75% correct for two-choice procedures and 50% detection for conditioned avoidance procedures",
2,dolphin threshold,"Renaud and Popper ('75)",renaud1975
3,elephant threshold,"R. Heffner and Heffner ('82)",heffner1982|r
4,man threshold,"R. Heffner and Heffner ('88c)",heffner1988c|r
5,seal threshold,"Terhune ('74)",terhune1974
6,opossum threshold,"Ravizza and Masterton ('72)",ravizza1972
7,pig threshold,"R. Heffner and Heffner ('89)",heffner1989|r
8,macaque threshold,"Brown, et al., ('80), H. Heffner and Heffner ('90)",brown1980;heffner1990|h
9,cat threshold,"Casseday and Neff ('73), R. Heffner and Heffner ('88c)",casseday1973;heffner1988c|r
10,"dog, goat, cow thresholds","R. Heffner and Heffner (in press)",heffnerINPRESS|r
11,ferret threshold,"Kavanagh and Kelly ('87)",kavanagh1987
12,sea lion threshold,"Moore ('75)",moore1975
13,norway rat domestic threshold,"Kavanagh and Kelly ('86), Kelly ('80)",kavanagh1986;kelly1980
14,least weasel threshold,"R. Heffner and Heffner ('87)",heffner1987|r
15,norway rat wild threshold,"H. Heffner and Heffner ('85)",heffner1985|h
16,"wood rat, grasshopper mouse thresholds","R. Heffner and Heffner ('88a)",heffner1988a|r
17,hedgehog threshold,"Chambers ('71)",chambers1971
18,spiny mouse threshold,"Mooney ('91)",mooney1991
19,horse threshold,"H. Heffner and Heffner ('84)",heffner1984|h
20,gerbil threshold,"R. Heffner and Heffner ('88b)",heffner1988b|r
21,kangaroo rat threshold,"H. Heffner and Masterton ('80)",heffner1980|h
22,gopher threshold,"continuous noise bursts, R. Heffner and Heffner ('90)",heffner1990|r
23,Visual acuity column header,"Calculated based on peak density of ganglion cells except as otherwise noted",
24,man acuity,"Cavonius and Robbins ('73)",cavonius1973
25,"seal, sea lion acuity","Schusterman ('72)",schusterman1972
26,opossum acuity,"Average of ganglion cell density and evoked potential measure, Silveira, et al., ('82)",silveira1982
27,macaque acuity,"Cowey and Ellis ('67) and Cavonius and Robbins ('73)",cowey1967;cavonius1973
28,cat acuity,"Belleville and Wilkinson ('86) and Jacobson, et al., ('76)",belleville1986;jacobson1976
29,goat acuity,"Based on peak density of ganglion cells in Hughes and Witteridge ('73)",hughes1973
30,gerbil acuity,"Baker and Emerson ('83)",baker1983
