"species_row","common_name","binomial","rodent_group","low_frequency_limit_kHz","high_frequency_limit_kHz","best_frequency_kHz","lowest_threshold_dB","data_role","source"
1,"Prairie dog",,"Low-frequency rodents",0.029,26,4,20,"secondary","R. Heffner and Contos 1989"
2,"Gerbil",,"Low-frequency rodents",0.036,58,2.9,3,"secondary","Ryan 1976"
3,"Chipmunk",,"Low-frequency rodents",0.039,52,1,17,"secondary","R. Heffner and Contos 1989"
4,"Groundhog","Marmota monax","Low-frequency rodents",0.04,27.5,4,21,"secondary","Conesa, Heffner and Heffner 1991"
5,"Kangaroo rat",,"Low-frequency rodents",0.042,52,1,9,"secondary","H. Heffner and Masterton 1980"
6,"Guinea pig","Cavia porcellus","Low-frequency rodents",0.047,49,8,-6,"secondary","R. Heffner, Heffner and Masterton 1971"
7,"Chinchilla","Chinchilla lanigera","Low-frequency rodents",0.05,33,1,1,"secondary","R. Heffner and Heffner 1991a"
8,"Blind mole rat","Spalax ehrenbergi","Subterranean rodents",0.054,5.9,1,32,"primary","present report (blind mole rat"
9,"Naked mole rat","Heterocephalus glaber","Subterranean rodents",0.065,11.5,4,35,"secondary","R. Heffner and Heffner 1991b"
10,"Pocket gopher","Geomys bursarius","Subterranean rodents",0.27,8.7,2,24,"secondary","R. Heffner and Heffner 1990a"
11,"Norway rat","Rattus norvegicus","High-frequency rodents",0.52,72,8,0,"secondary","Kelly and Masterton 1977; R. Heffner, unpublished"
12,"Woodrat",,"High-frequency rodents",0.94,56,8,-3,"secondary","H. Heffner and Heffner 1985"
13,"Cotton rat",,"High-frequency rodents",1,72,8,-6,"secondary","H. Heffner and Masterton 1980"
14,"Darwin's mouse","Phyllotis darwini","High-frequency rodents",1.55,73.5,11,-3,"secondary","Mooney, Heffner and Heffner 1990"
15,"Grasshopper mouse",,"High-frequency rodents",1.85,68,8,9,"secondary","H. Heffner and Heffner 1985"
16,"Spiny mouse","Acomys cahirinus","High-frequency rodents",2.3,71,8,14,"secondary","Mooney, Heffner and Heffner 1990"
17,"House mouse (wild)","Mus musculus","High-frequency rodents",2.3,92,16,-10,"secondary","H. Heffner and Masterton 1980"
