Species,Footnote on species,High-frequency limit (kHz),HF footnote,Low-frequency limit (kHz),LF footnote,Best frequency (kHz),BF footnote,Best sensitivity (dB),BS footnote,Hearing range (octaves),Range footnote
Lemur catta,,58,,0.067,2,8,,3,,9.76,
Eulemur fulvus,1,43,,0.072,,8,,-1,,9.22,
Nyctecebus coucang,,44,,0.083,,16,,9,,9.05,
Perodicticus potto,,42,,0.125,,16,,1,,8.39,
Galago senegalensis,,65,,0.092,2,32,,3,,9.46,
Callithrix jacchus,4,30,,,,7,,-9,,,
Saimiri sciureus,,43,,0.100,,8,,4.5,,8.75,
Aotus trivirgatus,,49.5,,,,10,,-8,,,
Erythrocebus patas,,30.5,3,0.245,3,8,3,14,3,6.96,3
Macaca fascicularis,,42,,,,1,,1,,,
Macaca fuscata,,34.5,,0.028,,1,,5,,10.29,
Macaca mulatta,,42,,,,8,,4,,,
Macaca nemestrina,,34.5,,,,1.8,,5,,,
Cercopithecus aethiops,,45,,0.069,,1.4,,-4,,9.35,
Cercopithecus mitis,,48,2,0.046,2,1.4,,4,,10.03,
Cercopithecus neglectus,,43,,0.063,,5.7,,2,,9.38,
Papio cynocephalus,,40,,0.045,2,8,,0,,9.80,
Pan troglodytes,,28.5,,,,8,,3,,,
Homo sapiens,,17.6,,0.031,,4,,-10,,9.15,
