species_as_printed,N_CX,N_CX_status,N_M1,N_M1_status,N_SC,N_SC_status,N_M1_per_N_SC,source_location,data_role
Microcebus murinus,22310000,observed,430000,predicted,1680000,observed,0.26,"Table 2, p. 451",secondary
Otolemur garnettii,226090000,observed,9400000,observed,5730000,observed,1.64,"Table 2, p. 451",secondary
Callithrix jacchus,244720000,observed,5870000,predicted,3650000,observed,1.61,"Table 2, p. 451",secondary
Aotus trivirgatus,441900000,observed,22180000,observed,5820000,observed,3.81,"Table 2, p. 451",secondary
Macaca fascicularis,800960000,observed,19220000,predicted,11380000,observed,1.69,"Table 2, p. 451",secondary
Cebus apella,1140000000,observed,27360000,predicted,,,,"Table 2, p. 451",not_available
Saimiri sciureus,1340000000,observed,20520000,observed,4690000,observed,4.78,"Table 2, p. 451",secondary
Macaca radiata,1660000000,observed,39840000,predicted,9060000,observed,4.4,"Table 2, p. 451",secondary
Macaca mulatta,1710000000,observed,41040000,predicted,10000000,observed,4.1,"Table 2, p. 451",secondary
Papio cynocephalus,2880000000,observed,117680000,observed,13480000,predicted,8.73,"Table 2, p. 451",derived
Pan troglodytes,6000000000,predicted,300000000,observed,15160000,predicted,19.79,"Table 2, p. 451",derived
Pongo pygmaeus,9000000000,predicted,220000000,predicted,,,,"Table 2, p. 451",not_available
Gorilla gorilla,9000000000,predicted,220000000,predicted,,,,"Table 2, p. 451",not_available
Homo sapiens,16340000000,observed,390000000,predicted,19940000,predicted,19.56,"Table 2, p. 451",derived
