"grade_printed","Name_Heuer2019","Binomial_Heuer2019","species_sci","n_individuals","in_vivo_printed","extracted_printed","provenance_printed"
"Lemuriformes","Aye-aye","Daubentonia madagascariensis","Daubentonia madagascariensis",1,"No","No","MNHN"
"Lemuriformes","Black-and-white ruffed lemur","Varecia variegata variegata","Varecia variegata variegata",1,"No","No","MNHN"
"Lemuriformes","Coquerel's mouse lemur","Mirza coquereli","Mirza coquereli",1,"No","No","MNHN"
"Lemuriformes","Grey mouse lemur","Microcebus murinus","Microcebus murinus",1,"No","No","MNHN"
"Lemuriformes","Mongoose lemur","Eulemur mongoz","Eulemur mongoz",1,"No","No","MNHN"
"Lemuriformes","Red-tailed sportive lemur","Lepilemur ruficaudatus","Lepilemur ruficaudatus",1,"No","No","MNHN"
"Lemuriformes","Ring-tailed lemur","Lemur catta","Lemur catta",1,"No","Yes","MNHN"
"Loridae","Red slender loris","Loris tardigradus","Loris tardigradus",1,"No","Yes","MNHN"
"Galagonidae","Demidoff's galago","Galago demidoff","Galago demidoff",1,"No","No","MNHN"
"Cebidae","Black-pencilled marmoset","Callithrix penicillata","Callithrix penicillata",1,"No","Yes","MNHN"
"Cebidae","Cotton-top tamarin","Saguinus oedipus","Saguinus oedipus",1,"No","Yes","MNHN"
"Cebidae","Douroucouli","Aotus trivirgatus","Aotus trivirgatus",1,"No","No","MNHN"
"Cebidae","Squirrel monkey","Saimiri sciureus","Saimiri sciureus",2,"No","Yes","MNHN"
"Cebidae","Tufted capuchin","Cebus apella","Cebus apella",1,"No","No","MNHN"
"Cebidae","White-faced sapajou","Cebus capucinus","Cebus capucinus",1,"No","Yes","MNHN"
"Atelidae","Black spider monkey","Ateles paniscus","Ateles paniscus",2,"No","No","MNHN"
"Atelidae","Woolly monkey","Lagothrix lagotricha","Lagothrix lagotricha",1,"No","Yes","MNHN"
"Cercopithecini","Green monkey","Chlorocebus sabaeus","Chlorocebus sabaeus",1,"No","Yes","MNHN"
"Cercopithecini","Moustached guenon","Cercopithecus cephus cephus","Cercopithecus cephus cephus",1,"No","Yes","MNHN"
"Papionini","Crab-eating macaque","Macaca fascicularis","Macaca fascicularis",8,"No,Yes,Yes","Yes,No,No","BC,PL,PDE"
"Papionini","Grey-cheeked mangabey","Lophocebus albigena","Lophocebus albigena",1,"No","Yes","MNHN"
"Papionini","Hamadryas baboon","Papio hamadryas","Papio hamadryas",1,"No","Yes","MNHN"
"Papionini","Rhesus monkey","Macaca mulatta","Macaca mulatta",6,"No,Yes,Yes","Yes,No,No","MNHN,PL,PDE"
"Papionini","Sooty mangabey","Cercocebus atys","Cercocebus atys",1,"No","Yes","MNHN"
"Colobinae","Hanuman langur","Semnopithecus entellus","Semnopithecus entellus",1,"No","Yes","MNHN"
"Colobinae","Indochinese lutung","Trachypithecus germaini","Trachypithecus germaini",1,"No","No","MNHN"
"Colobinae","King colobus","Colobus polykomos","Colobus polykomos",1,"No","Yes","MNHN"
"Hominoidea","Bonobo","Pan paniscus","Pan paniscus",1,"Yes","No","NCBR"
"Hominoidea","Chimpanzee","Pan troglodytes troglodytes","Pan troglodytes troglodytes",9,"Yes","No","NCBR"
"Hominoidea","Gibbon","Hylobates lar","Hylobates lar",1,"Yes","No","NCBR"
"Hominoidea","Gorilla","Gorilla beringei","Gorilla beringei",1,"No","Yes","BC"
"Hominoidea","Gorilla","Gorilla gorilla","Gorilla gorilla",1,"Yes","No","NCBR"
"Hominoidea","Human","Homo sapiens","Homo sapiens",10,"Yes","No","ABIDE1"
"Hominoidea","Orangutan","Pongo pygmaeus","Pongo pygmaeus",1,"No","No","MNHN"
