scope,region,order,layer_or_compartment,measure,statistic,value_printed,unit_printed,error_type,error_value_printed,n_species,source_location,source_context,conflict_group_id,compatibility
main analysis,primary somatosensory cortex,all,supragranular layers II/III,absolute thickness,mean,624.4,um,,,14,Results p.74,Grand mean across the species analysis,,exact paper summary; not species-level
main analysis,primary somatosensory cortex,all,infragranular layers V/VI,absolute thickness,mean,740.7,um,,,14,Results p.74,Grand mean across the species analysis,,exact paper summary; not species-level
main analysis,primary somatosensory cortex,Primate,supragranular layers II/III,absolute thickness,mean,867.9,um,,,5,Results p.74,Order mean stated in narrative,s1_supra_absolute,exact paper summary; conflicts with digitized Figure 3 order mean
main analysis,primary somatosensory cortex,Carnivore,supragranular layers II/III,absolute thickness,mean,567.1,um,,,3,Results p.74,Order mean stated in narrative,s1_supra_absolute,exact paper summary; conflicts with digitized Figure 3 order mean
main analysis,primary somatosensory cortex,Rodent,supragranular layers II/III,absolute thickness,mean,438.2,um,,,6,Results p.74,Order mean stated in narrative,s1_supra_absolute,exact paper summary; conflicts with digitized Figure 3 order mean
main analysis,primary somatosensory cortex,Primate,infragranular layers V/VI,absolute thickness,mean,670.3,um,,,5,Results p.74,Order mean stated in narrative,s1_infra_absolute,exact paper summary
main analysis,primary somatosensory cortex,Carnivore,infragranular layers V/VI,absolute thickness,mean,645.9,um,,,3,Results p.74,Order mean stated in narrative,s1_infra_absolute,exact paper summary
main analysis,primary somatosensory cortex,Rodent,infragranular layers V/VI,absolute thickness,mean,906.0,um,,,6,Results p.74,Order mean stated in narrative,s1_infra_absolute,exact paper summary
main analysis,primary somatosensory cortex,Primate,supragranular layers II/III,proportional thickness,mean,44,percent,,,5,Results p.74,Order mean stated in narrative,supragranular_order_proportions,exact paper summary; differs from abstract/discussion
main analysis,primary somatosensory cortex,Carnivore,supragranular layers II/III,proportional thickness,mean,35,percent,,,3,Results p.74,Order mean stated in narrative,supragranular_order_proportions,exact paper summary; differs from abstract/discussion
main analysis,primary somatosensory cortex,Rodent,supragranular layers II/III,proportional thickness,mean,26,percent,,,6,Results p.74,Order mean stated in narrative,supragranular_order_proportions,exact paper summary; differs from abstract/discussion
main analysis,primary somatosensory cortex,Primate,infragranular layers V/VI,proportional thickness,mean,34,percent,,,5,Results p.74,Order mean stated in narrative,,exact paper summary
main analysis,primary somatosensory cortex,Carnivore,infragranular layers V/VI,proportional thickness,mean,39,percent,,,3,Results p.74,Order mean stated in narrative,,exact paper summary
main analysis,primary somatosensory cortex,Rodent,infragranular layers V/VI,proportional thickness,mean,54,percent,,,6,Results p.74,Order mean stated in narrative,,exact paper summary
main analysis,primary somatosensory cortex,all,layer I,absolute thickness,mean,188.79,um,,,14,Results pp.74-75,Paper-reported grand mean,,exact paper summary
main analysis,primary somatosensory cortex,all,layer I,absolute thickness,range_min,164.79,um,,,14,Results pp.74-75,Paper calls 164.79-202.57 a range; level of range is not made explicit,,exact paper summary
main analysis,primary somatosensory cortex,all,layer I,absolute thickness,range_max,202.57,um,,,14,Results pp.74-75,Paper calls 164.79-202.57 a range; level of range is not made explicit,,exact paper summary
main analysis,primary somatosensory cortex,all,layer IV,absolute thickness,mean,206.67,um,,,14,Results pp.74-75,Paper-reported grand mean,,exact paper summary
main analysis,primary somatosensory cortex,all,layer IV,absolute thickness,range_min,167.22,um,,,14,Results pp.74-75,Paper calls 167.22-234.37 a range; level of range is not made explicit,,exact paper summary
main analysis,primary somatosensory cortex,all,layer IV,absolute thickness,range_max,234.37,um,,,14,Results pp.74-75,Paper calls 167.22-234.37 a range; level of range is not made explicit,,exact paper summary
main analysis,primary somatosensory cortex,all,layer I,proportional thickness,mean,0.107,proportion,,,14,Results pp.74-75,Paper-reported grand mean,,exact paper summary
main analysis,primary somatosensory cortex,all,layer I,proportional thickness,range_min,0.098,proportion,,,14,Results pp.74-75,Paper-reported range,,exact paper summary
main analysis,primary somatosensory cortex,all,layer I,proportional thickness,range_max,0.121,proportion,,,14,Results pp.74-75,Paper-reported range,,exact paper summary
main analysis,primary somatosensory cortex,all,layer IV,proportional thickness,mean,0.119,proportion,,,14,Results pp.74-75,Paper-reported grand mean,,exact paper summary
main analysis,primary somatosensory cortex,all,layer IV,proportional thickness,range_min,0.100,proportion,,,14,Results pp.74-75,Paper-reported range,,exact paper summary
main analysis,primary somatosensory cortex,all,layer IV,proportional thickness,range_max,0.135,proportion,,,14,Results pp.74-75,Paper-reported range,,exact paper summary
regional analysis,primary motor cortex,all,total cortex,absolute thickness,mean,2151.26,um,,,13,Results p.77,Regional subset includes every species except mouse,,exact M1-compatible summary; not species-level
regional analysis,premotor cortex,all,total cortex,absolute thickness,mean,1978.20,um,,,13,Results p.77,Regional subset includes every species except mouse,,exact regional summary; not species-level
regional analysis,primary somatosensory cortex,all,total cortex,absolute thickness,mean,1861.10,um,,,13,Results p.77,Regional subset includes every species except mouse,,exact regional summary; not species-level
regional analysis,primary motor cortex,all,layer IV,proportional thickness,mean,0.042,proportion,,,13,Results p.77,Regional mean,,exact M1-compatible summary; not species-level
regional analysis,premotor cortex,all,layer IV,proportional thickness,mean,0.067,proportion,,,13,Results p.77,Regional mean,,exact regional summary; not species-level
regional analysis,primary somatosensory cortex,all,layer IV,proportional thickness,mean,0.130,proportion,,,13,Results p.77,Regional mean,,exact regional summary; not species-level
regional analysis,primary motor cortex,all,layer I,proportional thickness,mean,0.110,proportion,,,13,Results p.77,Regional mean,,exact M1-compatible summary; not species-level
regional analysis,premotor cortex,all,layer I,proportional thickness,mean,0.130,proportion,,,13,Results p.77,Regional mean,,exact regional summary; not species-level
regional analysis,primary somatosensory cortex,all,layer I,proportional thickness,mean,0.112,proportion,,,13,Results p.77,Regional mean,,exact regional summary; not species-level
regional analysis,primary motor cortex,Primate,combined pyramidal layers II/III plus V/VI,proportional thickness,mean,0.885,proportion,,,5,Results p.77,Order-by-region mean,,exact M1-compatible order summary; not species-level
regional analysis,primary motor cortex,Carnivore,combined pyramidal layers II/III plus V/VI,proportional thickness,mean,0.817,proportion,,,3,Results p.77,Order-by-region mean,,exact M1-compatible order summary; not species-level
regional analysis,primary motor cortex,Rodent,combined pyramidal layers II/III plus V/VI,proportional thickness,mean,0.838,proportion,,,5,Results p.77,Mouse excluded from the six-rodent regional subset,,exact M1-compatible order summary; not species-level
regional analysis,primary somatosensory cortex,Primate,combined pyramidal layers II/III plus V/VI,proportional thickness,mean,0.775,proportion,,,5,Results p.77,Order-by-region mean,,exact regional summary; not species-level
regional analysis,primary somatosensory cortex,Carnivore,combined pyramidal layers II/III plus V/VI,proportional thickness,mean,0.736,proportion,,,3,Results p.77,Order-by-region mean,,exact regional summary; not species-level
regional analysis,primary somatosensory cortex,Rodent,combined pyramidal layers II/III plus V/VI,proportional thickness,mean,0.763,proportion,,,5,Results p.77,Mouse excluded from the six-rodent regional subset,,exact regional summary; not species-level
abstract/discussion,three cortical regions; aggregation not specified,Primate,supragranular layers II/III,proportional thickness,mean,46,percent,SEM,3,,Abstract p.71 and Discussion p.77,Same values repeated in abstract and discussion,supragranular_order_proportions,exact quote-level summary; conflicts with Results p.74
abstract/discussion,three cortical regions; aggregation not specified,Carnivore,supragranular layers II/III,proportional thickness,mean,36,percent,SEM,3,,Abstract p.71 and Discussion p.77,Same values repeated in abstract and discussion,supragranular_order_proportions,exact quote-level summary; conflicts with Results p.74
abstract/discussion,three cortical regions; aggregation not specified,Rodent,supragranular layers II/III,proportional thickness,mean,19,percent,SEM,4,,Abstract p.71 and Discussion p.77,Same values repeated in abstract and discussion,supragranular_order_proportions,exact quote-level summary; conflicts with Results p.74
