"order_printed","common_name_printed","scientific_name_printed","species_sci","n_specimens","source_printed","primary_somatosensory_species_level_figure","regional_motor_premotor_sensory_subset","primary_motor_species_level_values_reported","source"
"Primate","Human","Homo sapiens","Homo sapiens",3,"Dartmouth Hitchcock Medical Center",TRUE,TRUE,FALSE,"Hutsler_etal_2005_Table1"
"Primate","Gorilla","Gorilla gorilla","Gorilla gorilla",1,"Harvard Univ.",TRUE,TRUE,FALSE,"Hutsler_etal_2005_Table1"
"Primate","Chimpanzee","Pan troglodytes","Pan troglodytes",3,"Harvard Univ. (1); Yakovlev Collection (2)",TRUE,TRUE,FALSE,"Hutsler_etal_2005_Table1"
"Primate","Rhesus Macaque","Macaca mulatta","Macaca mulatta",4,"UC Davis (1); Yakovlev Collection (3)",TRUE,TRUE,FALSE,"Hutsler_etal_2005_Table1"
"Primate","Squirrel Monkey","Saimiri sciureus","Saimiri sciureus",2,"Yakovlev Collection",TRUE,TRUE,FALSE,"Hutsler_etal_2005_Table1"
"Carnivore","Dog","Canis (lupus) familiaris","Canis lupus familiaris",3,"Harvard Univ.",TRUE,TRUE,FALSE,"Hutsler_etal_2005_Table1"
"Carnivore","Ferret","Mustela furo","Mustela putorius furo",1,"Smith College",TRUE,TRUE,FALSE,"Hutsler_etal_2005_Table1"
"Carnivore","Cat","Felis silvestris catus","Felis catus",2,"UC Davis (1); Yakovlev Collection (1)",TRUE,TRUE,FALSE,"Hutsler_etal_2005_Table1"
"Rodent","Woodchuck","Marmota monax","Marmota monax",1,"Harvard Univ.",TRUE,TRUE,FALSE,"Hutsler_etal_2005_Table1"
"Rodent","Porcupine","Erethizon dorsatum","Erethizon dorsatum",1,"Harvard Univ.",TRUE,TRUE,FALSE,"Hutsler_etal_2005_Table1"
"Rodent","Capybara","Hydrochoerus hydrochaeris","Hydrochoerus hydrochaeris",3,"Yakovlev Collection",TRUE,TRUE,FALSE,"Hutsler_etal_2005_Table1"
"Rodent","Rat","Rattus rattus norwegicus","Rattus norvegicus",3,"Pfizer, Inc.",TRUE,TRUE,FALSE,"Hutsler_etal_2005_Table1"
"Rodent","Guinea Pig","Cavia porcellus","Cavia porcellus",2,"Harvard Univ. (1); Yakovlev Collection (1)",TRUE,TRUE,FALSE,"Hutsler_etal_2005_Table1"
"Rodent","Mouse","Mus musculus","Mus musculus",3,"Pfizer, Inc.",TRUE,FALSE,FALSE,"Hutsler_etal_2005_Table1"
