accepted_name,source_publication,variant_name
Homo sapiens,Hutsler2005,Human
Homo sapiens,Hutsler2005,Homo sapiens
Gorilla gorilla,Hutsler2005,Gorilla
Gorilla gorilla,Hutsler2005,Gorilla gorilla
Pan troglodytes,Hutsler2005,Chimpanzee
Pan troglodytes,Hutsler2005,Pan troglodytes
Macaca mulatta,Hutsler2005,Rhesus Macaque
Macaca mulatta,Hutsler2005,Macaca mulatta
Saimiri sciureus,Hutsler2005,Squirrel Monkey
Saimiri sciureus,Hutsler2005,Saimiri sciureus
Canis lupus familiaris,Hutsler2005,Dog
Canis lupus familiaris,Hutsler2005,Canis (lupus) familiaris
Mustela putorius furo,Hutsler2005,Ferret
Mustela putorius furo,Hutsler2005,Mustela furo
Felis catus,Hutsler2005,Cat
Felis catus,Hutsler2005,Felis silvestris catus
Marmota monax,Hutsler2005,Woodchuck
Marmota monax,Hutsler2005,Marmota monax
Erethizon dorsatum,Hutsler2005,Porcupine
Erethizon dorsatum,Hutsler2005,Erethizon dorsatum
Hydrochoerus hydrochaeris,Hutsler2005,Capybara
Hydrochoerus hydrochaeris,Hutsler2005,Hydrochoerus hydrochaeris
Rattus norvegicus,Hutsler2005,Rat
Rattus norvegicus,Hutsler2005,Rattus rattus norwegicus
Cavia porcellus,Hutsler2005,Guinea Pig
Cavia porcellus,Hutsler2005,Cavia porcellus
Mus musculus,Hutsler2005,Mouse
Mus musculus,Hutsler2005,Mus musculus
