donor,Area,Metric,Grouping,value
H19.30.001,MTG,ei_ratio,L1,0.24408055153292985
H19.30.001,MTG,ei_ratio,L2/3,2.2481291343076464
H19.30.001,MTG,ei_ratio,L4,3.375457779254836
H19.30.001,MTG,ei_ratio,L5,4.9416308554599935
H19.30.001,MTG,ei_ratio,L6,8.837074062555955
H19.30.001,V1,ei_ratio,L1,1.0445580808080808
H19.30.001,V1,ei_ratio,L2/3,5.191515007208046
H19.30.001,V1,ei_ratio,L4,5.282890882242714
H19.30.001,V1,ei_ratio,L5,6.729274294506084
H19.30.001,V1,ei_ratio,L6,11.707220936405173
H19.30.001,MTG,exc_prop,L2/3 IT,25.351338140046437
H19.30.001,MTG,exc_prop,L4 IT,13.925210802884028
H19.30.001,MTG,exc_prop,L5 ET,3.953317854087743
H19.30.001,MTG,exc_prop,L5 IT,21.370524257607233
H19.30.001,MTG,exc_prop,L5/6 NP,3.7761212269338875
H19.30.001,MTG,exc_prop,L6 CT,4.955395331785409
H19.30.001,MTG,exc_prop,L6 IT,15.229744592447759
H19.30.001,MTG,exc_prop,L6 IT Car3,5.483930098985702
H19.30.001,MTG,exc_prop,L6b,5.954417695221801
H19.30.001,V1,exc_prop,L2/3 IT,29.51958736519033
H19.30.001,V1,exc_prop,L4 IT,37.627349844409395
H19.30.001,V1,exc_prop,L5 ET,0.19075834434545377
H19.30.001,V1,exc_prop,L5 IT,12.647597936825953
H19.30.001,V1,exc_prop,L5/6 NP,0.747048041263481
H19.30.001,V1,exc_prop,L6 CT,7.428918538727141
H19.30.001,V1,exc_prop,L6 IT,6.633914489108658
H19.30.001,V1,exc_prop,L6 IT Car3,2.3263992497548918
H19.30.001,V1,exc_prop,L6b,2.878426190374696
H19.30.001,MTG,inh_prop,Chandelier,3.3154879308725462
H19.30.001,MTG,inh_prop,Lamp5,10.087348548887011
H19.30.001,MTG,inh_prop,Pax6,1.681224758147835
H19.30.001,MTG,inh_prop,Pvalb,15.995115995115993
H19.30.001,MTG,inh_prop,Sncg,4.339250493096647
H19.30.001,MTG,inh_prop,Sst,34.18803418803419
H19.30.001,MTG,inh_prop,Sst Chodl,1.7281863435709588
H19.30.001,MTG,inh_prop,Lamp5-Lhx6,5.024889640274256
H19.30.001,MTG,inh_prop,Vip,23.640462102000566
H19.30.001,V1,inh_prop,Chandelier,2.6047936959614755
H19.30.001,V1,inh_prop,Lamp5,6.5502900295501805
H19.30.001,V1,inh_prop,Pax6,0.8263106052314765
H19.30.001,V1,inh_prop,Pvalb,36.39050016416767
H19.30.001,V1,inh_prop,Sncg,2.7032942979095984
H19.30.001,V1,inh_prop,Sst,32.319141950311916
H19.30.001,V1,inh_prop,Sst Chodl,0.5636423333698151
H19.30.001,V1,inh_prop,Lamp5-Lhx6,2.654043996935537
H19.30.001,V1,inh_prop,Vip,15.38798292656233
H19.30.001,MTG,nn_prop,Astro,27.914553454472173
H19.30.001,MTG,nn_prop,Endo,18.039834749605347
H19.30.001,MTG,nn_prop,OPC,9.703422564068115
H19.30.001,MTG,nn_prop,Oligo,25.472743761125855
H19.30.001,MTG,nn_prop,Micro/PVM,12.991636717831593
H19.30.001,MTG,nn_prop,VLMC,5.87780875289692
H19.30.001,V1,nn_prop,Astro,21.29533179856619
H19.30.001,V1,nn_prop,Endo,11.220139879727943
H19.30.001,V1,nn_prop,OPC,5.357095963795835
H19.30.001,V1,nn_prop,Oligo,46.62074036466768
H19.30.001,V1,nn_prop,Micro/PVM,7.120911056450836
H19.30.001,V1,nn_prop,VLMC,8.38578093679152
H19.30.001,MTG,lamp5lhx6_layer_prop,L1,0.45558086560364464
H19.30.001,MTG,lamp5lhx6_layer_prop,L2/3,44.64692482915717
H19.30.001,MTG,lamp5lhx6_layer_prop,L4,11.845102505694761
H19.30.001,MTG,lamp5lhx6_layer_prop,L5,21.184510250569478
H19.30.001,MTG,lamp5lhx6_layer_prop,L6,21.867881548974943
