"region","layer2","ei_ratio2","layer","donor","ei_ratio"
"ACC","L2_3",0.778210116731517,"L2_3","H200.1025",0.778210116731517
"ACC","L2_3",1.31683168316831,"L2_3","H200.1030",1.31683168316831
"ACC","L2_3",1.40202702702702,"L2_3","H200.1023",1.40202702702702
"ACC","L5",1.56060606060606,"L5a","H200.1025",1.55357142857142
"ACC","L5",1.56060606060606,"L5b","H200.1025",1.56578947368421
"ACC","L5",2.22674418604651,"L5a","H200.1030",1.92592592592592
"ACC","L5",2.22674418604651,"L5b","H200.1030",2.49450549450549
"ACC","L5",4.13207547169811,"L5a","H200.1023",4.92857142857142
"ACC","L5",4.13207547169811,"L5b","H200.1023",3.609375
"ACC","L6",2.3828125,"L6","H200.1025",2.3828125
"ACC","L6",3.10179640718562,"L6","H200.1030",3.10179640718562
"ACC","L6",3.93661971830985,"L6","H200.1023",3.93661971830985
"DFC","L2_3",1.30656934306569,"L2","H19.30.002",1.484375
"DFC","L2_3",1.30656934306569,"L3","H19.30.002",1.15068493150684
"DFC","L2_3",1.4296875,"L2","H19.30.001",2.22448979591836
"DFC","L2_3",1.4296875,"L3","H19.30.001",0.936708860759493
"DFC","L2_3",1.50898203592814,"L2","H18.30.002",2.07692307692307
"DFC","L2_3",1.50898203592814,"L3","H18.30.002",1.14705882352941
"DFC","L4",0.958333333333333,"L4","H19.30.002",0.958333333333333
"DFC","L4",1.50684931506849,"L4","H19.30.001",1.50684931506849
"DFC","L4",2.05747126436781,"L4","H18.30.002",2.05747126436781
"DFC","L5",1.57894736842105,"L5","H19.30.002",1.57894736842105
"DFC","L5",1.73809523809523,"L5","H18.30.002",1.73809523809523
"DFC","L5",1.94782608695652,"L5","H19.30.001",1.94782608695652
"DFC","L6",2.62790697674418,"L6","H19.30.001",2.62790697674418
"DFC","L6",3.07339449541284,"L6","H18.30.002",3.07339449541284
"DFC","L6",3.59459459459459,"L6","H19.30.002",3.59459459459459
"M1","L2_3",1.992,"L2","H200.1030",1.64285714285714
"M1","L2_3",1.992,"L3","H200.1030",2.21710526315789
"M1","L2_3",2.02369668246445,"L2","H200.1025",3.46875
"M1","L2_3",2.02369668246445,"L3","H200.1025",1.76536312849162
"M1","L2_3",2.23076923076923,"L2","H18.30.001",3.15384615384615
"M1","L2_3",2.23076923076923,"L3","H18.30.001",1.89510489510489
"M1","L2_3",2.32978723404255,"L2","H18.30.002",3.36
"M1","L2_3",2.32978723404255,"L3","H18.30.002",1.95652173913043
"M1","L2_3",2.38016528925619,"L2","H200.1023",1.04724409448818
"M1","L2_3",2.38016528925619,"L3","H200.1023",3.85217391304347
"M1","L5",1.12755102040816,"L5","H18.30.002",1.12755102040816
"M1","L5",1.33157894736842,"L5","H200.1030",1.33157894736842
"M1","L5",1.61971830985915,"L5","H18.30.001",1.61971830985915
"M1","L5",2.68965517241379,"L5","H200.1025",2.68965517241379
"M1","L5",3.39024390243902,"L5","H200.1023",3.39024390243902
"M1","L6",2.20714285714285,"L6","H18.30.001",2.20714285714285
"M1","L6",2.60958904109589,"L6","H200.1030",2.60958904109589
"M1","L6",3.16814159292035,"L6","H200.1025",3.16814159292035
"M1","L6",3.84920634920634,"L6","H18.30.002",3.84920634920634
"M1","L6",4.53125,"L6","H200.1023",4.53125
"S1","L2_3",2.64788732394366,"L2","H200.1023",1.4059405940594
"S1","L2_3",2.64788732394366,"L3","H200.1023",3.76785714285714
"S1","L2_3",2.72834645669291,"L2","H200.1030",2.4375
"S1","L2_3",2.72834645669291,"L3","H200.1030",2.90506329113924
"S1","L2_3",2.94472361809045,"L2","H200.1025",3.12121212121212
"S1","L2_3",2.94472361809045,"L3","H200.1025",2.85714285714285
"S1","L4",1.10447761194029,"L4","H200.1025",1.10447761194029
"S1","L4",2.04054054054054,"L4","H200.1030",2.04054054054054
"S1","L4",2.86734693877551,"L4","H200.1023",2.86734693877551
"S1","L5",1.79310344827586,"L5","H200.1030",1.79310344827586
"S1","L5",1.96226415094339,"L5","H200.1025",1.96226415094339
"S1","L5",2.875,"L5","H200.1023",2.875
"S1","L6",3.45945945945945,"L6a","H200.1030",5
"S1","L6",3.45945945945945,"L6b","H200.1030",2.57446808510638
"S1","L6",4.55,"L6a","H200.1025",5.1578947368421
"S1","L6",4.55,"L6b","H200.1025",4
"S1","L6",6.1578947368421,"L6a","H200.1023",6.1
"S1","L6",6.1578947368421,"L6b","H200.1023",6.22222222222222
"MTG","L2_3",1.61487758945386,"L2","H200.1023",1.38722554890219
"MTG","L2_3",1.61487758945386,"L3","H200.1023",1.81818181818181
"MTG","L2_3",1.63858961802154,"L2","H200.1030",1.2636815920398
"MTG","L2_3",1.63858961802154,"L3","H200.1030",1.88206785137318
"MTG","L2_3",7.12068965517241,"L2","H200.1025",3.87096774193548
"MTG","L2_3",7.12068965517241,"L3","H200.1025",10.8518518518518
"MTG","L4",3.93962264150943,"L4","H200.1023",3.93962264150943
"MTG","L4",4.30739299610894,"L4","H200.1030",4.30739299610894
"MTG","L5",2.76,"L5","H200.1025",2.76
"MTG","L5",3.40636042402826,"L5","H200.1023",3.40636042402826
"MTG","L5",4.90188679245283,"L5","H200.1030",4.90188679245283
"MTG","L6",4.56544502617801,"L6","H200.1030",4.56544502617801
"MTG","L6",4.79523809523809,"L6","H200.1023",4.79523809523809
"MTG","L6",12.9310344827586,"L6","H200.1025",12.9310344827586
"A1","L2_3",2.4792899408284,"L2","H200.1030",1.94594594594594
"A1","L2_3",2.4792899408284,"L3","H200.1030",2.89473684210526
"A1","L2_3",2.69856459330143,"L2","H200.1023",2.15463917525773
"A1","L2_3",2.69856459330143,"L3","H200.1023",3.16964285714285
"A1","L2_3",2.96638655462184,"L2","H200.1025",3
"A1","L2_3",2.96638655462184,"L3","H200.1025",2.94594594594594
"A1","L4",1.17142857142857,"L4","H200.1025",1.17142857142857
"A1","L4",2.35185185185185,"L4","H200.1030",2.35185185185185
"A1","L4",2.68309859154929,"L4","H200.1023",2.68309859154929
"A1","L5",1.18571428571428,"L5","H200.1025",1.18571428571428
"A1","L5",2.93859649122807,"L5","H200.1023",2.93859649122807
"A1","L5",3.14035087719298,"L5","H200.1030",3.14035087719298
"A1","L6",2.94915254237288,"L6a","H200.1030",2.66666666666666
"A1","L6",2.94915254237288,"L6b","H200.1030",3.24137931034482
"A1","L6",3.84931506849315,"L6a","H200.1023",3.30612244897959
"A1","L6",3.84931506849315,"L6b","H200.1023",4.95833333333333
"A1","L6",4.41791044776119,"L6a","H200.1025",2.72093023255813
"A1","L6",4.41791044776119,"L6b","H200.1025",7.45833333333333
"V1","L2_3",3.24038461538461,"L2","H200.1025",2.88235294117647
"V1","L2_3",3.24038461538461,"L3","H200.1025",3.91666666666666
"V1","L2_3",3.4931506849315,"L2","H200.1023",3.1025641025641
"V1","L2_3",3.4931506849315,"L3","H200.1023",3.94117647058823
"V1","L2_3",3.9390243902439,"L2","H200.1030",3.27027027027027
"V1","L2_3",3.9390243902439,"L3","H200.1030",4.48888888888888
"V1","L4",6.61764705882352,"L4ab","H200.1025",6.18421052631578
"V1","L4",6.61764705882352,"L4c","H200.1025",6.875
"V1","L4",6.93693693693693,"L4ab","H200.1023",6.96969696969697
"V1","L4",6.93693693693693,"L4c","H200.1023",6.92307692307692
"V1","L4",7.47540983606557,"L4ab","H200.1030",7.16279069767441
"V1","L4",7.47540983606557,"L4c","H200.1030",7.64556962025316
"V1","L5",4.54347826086956,"L5","H200.1025",4.54347826086956
"V1","L5",6.76271186440677,"L5","H200.1030",6.76271186440677
"V1","L5",7.6875,"L5","H200.1023",7.6875
"V1","L6",9.6701030927835,"L6a","H200.1023",9.37704918032787
"V1","L6",9.6701030927835,"L6b","H200.1023",10.1666666666666
"V1","L6",10.759493670886,"L6a","H200.1030",10.75
"V1","L6",10.759493670886,"L6b","H200.1030",10.774193548387
"V1","L6",20.7142857142857,"L6a","H200.1025",15.5
