"species_as_published","species","V1_surface_area_mm2","V1_surface_area_ref","retina_surface_area_mm2","retina_surface_area_ref","V1_retina_surface_ratio","V1_neurons_2D_x10_3","V1_neurons_ref","retinal_ganglion_cells_x10_3","retinal_ganglion_cells_ref","V1_neuron_RGC_ratio","centroperipheral_density_ratio","centroperipheral_density_ref"
"Mouse","Mus musculus",3,"64",15,"46",0.2,7,"51",70,"79",0.09,2.7,"46, 17"
"Rat","Rattus norvegicus",7,"65",52,"71",0.13,14,"51",110,"79",0.13,1.4,"71, 17"
"Rabbit","Oryctolagus cuniculus",80,"66",436,"42",0.18,162,"51",550,"80",0.29,2.7,"42, 17"
"Squirrel","not specified",82,"12",205,"42",0.4,166,"51",1200,"81",0.14,3.2,"83, 17"
"Ferret","Mustela putorius furo",83,"67",84,"72",0.98,169,"51",90,"72",1.87,11,"72, 17"
"Tree shrew","not specified",83,"20, 68",122,"73",0.6,149,"51",305,"82",0.49,7.6,"84, 17"
"Cat","Felis catus",380,"69",510,"74",0.75,681,"51",247,"74",2.76,36.4,"74, 17"
"Wallaby","Macropus eugenii",135,"25",432,"75",0.32,273,"51",360,"75",0.76,20,"75, 7"
"Macaque","not specified",1257,"70",636,"76",1.98,3812,"51",1600,"79",2.38,60,"63, 17"
"Agouti","Dasyprocta leporina",320,"19, 13",536,"77",0.6,,,482,"77",,2.9,"77, 17"
"Mouse lemur","Microcebus murinus",48,"18",130,"78",0.36,,,,,,22,"78, 17"
