panel,y_variable,group,species_or_label,log_total_neocortex,log_y_value
a,log_V1,nocturnal,unidentified_01,0.9,-0.3
a,log_V1,nocturnal,unidentified_02,1.0,-0.15
a,log_V1,nocturnal,unidentified_03,1.05,-0.55
a,log_V1,nocturnal,unidentified_04,1.3,0.2
a,log_V1,nocturnal,unidentified_05,1.6,1.1
a,log_V1,nocturnal,unidentified_06,1.95,1.05
a,log_V1,nocturnal,unidentified_07,2.05,1.15
a,log_V1,nocturnal,unidentified_08,2.35,1.55
a,log_V1,nocturnal,unidentified_09,2.35,1.75
a,log_V1,nocturnal,Galago senegalensis,2.4,1.95
a,log_V1,nocturnal,unidentified_10,2.85,2.0
a,log_V1,nocturnal,Aotus trivirgatus,3.0,2.2
a,log_V1,nocturnal,unidentified_11,3.15,2.35
a,log_V1,diurnal,unidentified_12,2.25,1.2
a,log_V1,diurnal,unidentified_13,2.5,1.5
a,log_V1,diurnal,unidentified_14,2.5,2.0
a,log_V1,diurnal,Callithrix jacchus,2.65,1.85
a,log_V1,diurnal,unidentified_15,2.9,2.2
a,log_V1,diurnal,Saimiri sciureus (uncertain match),3.35,2.65
a,log_V1,diurnal,unidentified_16,3.9,3.15
a,log_V1,diurnal,unidentified_17,4.85,4.0
a,log_V1,monotremata,unidentified_18 (Ornithorhyncus or Tachyglossus),2.75,0.75
a,log_V1,monotremata,unidentified_19 (Ornithorhyncus or Tachyglossus),3.05,0.95
b,log_total_visual_cortex,nocturnal,unidentified_01,0.95,-0.3
b,log_total_visual_cortex,nocturnal,unidentified_02,1.05,0.5
b,log_total_visual_cortex,nocturnal,unidentified_03,1.15,-0.1
b,log_total_visual_cortex,nocturnal,unidentified_04,1.45,0.25
b,log_total_visual_cortex,nocturnal,unidentified_05,1.6,1.1
b,log_total_visual_cortex,nocturnal,unidentified_06,2.0,1.3
b,log_total_visual_cortex,nocturnal,unidentified_07,2.3,1.6
b,log_total_visual_cortex,nocturnal,unidentified_08,2.4,1.85
b,log_total_visual_cortex,nocturnal,unidentified_09,2.6,1.8
b,log_total_visual_cortex,nocturnal,unidentified_10,2.7,1.9
b,log_total_visual_cortex,nocturnal,Galago senegalensis,2.45,2.35
b,log_total_visual_cortex,nocturnal,unidentified_11,2.65,2.1
b,log_total_visual_cortex,nocturnal,Aotus trivirgatus,2.95,2.7
b,log_total_visual_cortex,nocturnal,unidentified_12,3.15,2.6
b,log_total_visual_cortex,nocturnal,unidentified_13,3.25,2.6
b,log_total_visual_cortex,diurnal,unidentified_14,2.35,1.4
b,log_total_visual_cortex,diurnal,unidentified_15,2.55,2.1
b,log_total_visual_cortex,diurnal,unidentified_16,2.7,2.25
b,log_total_visual_cortex,diurnal,Callithrix jacchus,2.75,2.45
b,log_total_visual_cortex,diurnal,Saimiri sciureus,3.15,3.0
b,log_total_visual_cortex,diurnal,unidentified_17,3.9,3.7
b,log_total_visual_cortex,monotremata,unidentified_18 (Ornithorhyncus or Tachyglossus),2.75,0.9
b,log_total_visual_cortex,monotremata,unidentified_19 (Ornithorhyncus or Tachyglossus),3.05,1.85
