"Electronic Appendix A. Table 1. Species and cortical areas included in this analysis, with references."
Cortical areas listed were present on a flattened map of the entire neocortex. Columns from V1 to motor indicate the authors' clustering of cortical areas; original author-specific names are given in the body of the table. '-' = not present/not mapped in that study.

species,common_name,ref,V1,V2,visual_other,A1,R,aud_other,SI_3b,SII,SS_other,M,motor_other
Aotus trivirgatus,northern grey-necked owl monkey,a,VI,VII,"MT, DM, MST, FST, VPP",—,—,AI+R,3b,SII,"3a, 1, 2, PV",M1,"FEF, FV, SMA, FR"
Callithrix jacchus,common marmoset,a,VI,VII,"MT, DM, FST, VPP",AI,R,—,3b,SII,"3a, 1, PV",M,"FEF, FV, SMA"
Cheirogaleus medius,fat-tailed dwarf lemur,b,VI,—,MT,—,—,—,3b,—,—,—,—
Galago senegalensis,northern lesser bush baby,c,17,18,"MT, DM, DL, DI, MST, FST",AI,—,—,3b,SII,PV,M,FV
Homo sapiens,human,d,17,18,—,41,—,—,—,—,"3, 1, 2",4,6
Macaca sp.,macaque,"e,f",VI,VII,"MT, DM, DL, MST, FST, VP",AI,R,Aud,3b,SII,"3a, 1, 2, PV, VS",M or 4,"PreM or 6, M+PreM, MEF, FEF, FV, SMA"
Nycticebus coucang,slow loris,g,VI,VII,MT,—,—,—,3b,—,"3a, PV",M1,—
Otolemur garnetti,Garnett's greater bush baby,h,VI,VII,"MT, DM, MST, FST",A,—,Ar,—,—,SI+SII,—,—
Saguinus fuscicollis,saddleback tamarin,i,17,18,"MT, DL",AI,R,—,SI,SII,—,—,—
Saimiri sciureus,squirrel monkey,b,VI,VII,"MT, DM, DL, DI, MST, MST",—,—,—,3b,SII,"3a, 1, 2, PV/IG",M,"Premotor, M+PreM, FEF, FV"
Pteropus poliocephalus,flying fox,j,VI,VII,MT,AI,—,—,SI,SII,"R, 1/2, PV, Ventral SS",M,"FV, SMA"
Tupaia belangeri,tree shrew,k,V1,V2,—,—,—,—,—,—,SS,—,—
Rattus sp.,rat,l,Oc1,Oc2,—,Te1,Te2,Te3,Par1+HL+FL,Par2,—,Fr1+Fr3,—
Sciurus carolinensis,grey squirrel,m,17,18,—,AI,R,—,SI,SII,PV,M,"TAi, TArv+TAcv, TP"
Spermophilus beecheyii,California ground squirrel,n,VI,VII,—,—,—,—,SI,SII,"R, PV",—,"TA, TP, PM"
Dactylopsila trivirgata,striped possum,o,VI,VII,—,—,—,—,SI,SII,"R or SR, PV",—,—
Dasyurus hallucatus,northern quoll,"o,p",VI,VII,VIS,AI,—,Aud,SI,—,"DSr, SII/PV",M,—
Didelphis marsupialis,North American opossum,"o,q",VI,VII,CT,—,—,—,SI,SII,"SR, SC, PV",—,—
Monodelphis domestica,short-tailed opossum,o,VI,—,CT,—,—,—,SI,—,—,—,—
Sminthopsis crassicaudata,fat-tailed dunnart,o,VI,—,CT,—,—,—,SI,—,—,—,—
Trichosurus vulpecula,brush-tailed possum,o,VI,VII,—,—,—,—,SI,SII,"R or SR, C or SC, PV",—,—
Ornithorhyncus anatinus,platypus,r,Vc (VI),—,Vr,A,—,Ar,SI,—,"R, PV",M,—
Tachyglossus aculeatus,echidna,r,Vc (VI),—,"Vr, Vis+Vis/SS",A,—,Ar,SI,—,"R, PV",M,—
Blarina brevicauda,short-tailed shrew,s,VI,—,—,AI,—,—,SI,SII,—,—,—
Cryptotis parva,least shrew,s,VI,—,—,AI,—,—,SI,SII,—,—,—
Echinops telfari,tenrec,t,V,—,—,—,—,—,SI,SII,PV/SII,—,—
Erinaceus europaeus,hedgehog,f,VI,VII,—,AI,—,—,SI,SII,"R, PV",M,—
Sorex cinereus,masked shrew,s,VI,—,—,AI,—,—,—,—,SI+SII,—,—
Sorex longirostris,southeastern shrew,s,VI,—,—,AI,—,—,SI,SII,—,—,—
Sorex palustris,northern water shrew,s,VI,—,—,AI,—,—,—,—,SI+SII,—,—
