"Species_KK2004","common_name_KK2004","binomial","activity_pattern","method","substrate","va_cdeg_min","va_cdeg_max","va_as_printed","source_as_printed","source"
"Homo sapiens","Human","Homo sapiens","Diurnal","behavioral","air (unspecified; per table notes)",50,77,"50.0–77.0","Cavonius and Robbins, 1973; DeValois et al., 1974","Kirk_Kay_2004_Table1"
"Macaca mulatta","Rhesus macaque","Macaca mulatta","Diurnal","behavioral","air (unspecified; per table notes)",46.2,53.6,"46.2–53.6","Cowey and Ellis, 1967; Cavonius and Robbins, 1973","Kirk_Kay_2004_Table1"
"Macaca nemestrina","Pig-tailed macaque","Macaca nemestrina","Diurnal","behavioral","air (unspecified; per table notes)",46,46,"46.0","DeValois et al., 1974","Kirk_Kay_2004_Table1"
"Macaca fascicularis","Crab-eating macaque","Macaca fascicularis","Diurnal","behavioral","air (unspecified; per table notes)",46,46,"46.0","DeValois et al., 1974","Kirk_Kay_2004_Table1"
"Saimiri sciureus","Squirrel monkey","Saimiri sciureus","Diurnal","behavioral","air (unspecified; per table notes)",40.5,40.5,"40.5","Cowey and Ellis, 1967","Kirk_Kay_2004_Table1"
"Equus caballus","Domestic horse","Equus caballus","Cathemeral","behavioral","air (unspecified; per table notes)",10.9,23.3,"10.9–23.3","Timney and Keil, 1992","Kirk_Kay_2004_Table1"
"Aotus trivirgatus","Northern owl monkey","Aotus trivirgatus","Nocturnal","behavioral","air (unspecified; per table notes)",10,10,"10.0","Jacobs, 1977","Kirk_Kay_2004_Table1"
"Camelus bactrius","Bactrian camel","Camelus bactrianus","Cathemeral","behavioral","air (unspecified; per table notes)",10,10,"10.0","Harman et al., 2001","Kirk_Kay_2004_Table1"
"Felis catus","Domestic cat","Felis catus","Cathemeral","behavioral","air (unspecified; per table notes)",5,8.9,"5.0–8.9","Bisti and Maffei, 1974; Blake et al., 1974; Jacobson et al., 1976","Kirk_Kay_2004_Table1"
"Lemur catta","Ring-tailed lemur","Lemur catta","Diurnal","behavioral","air (unspecified; per table notes)",6,6.7,"6.0–6.7","Neuringer et al., 1981","Kirk_Kay_2004_Table1"
"Suricata suricatta","Meerkat","Suricata suricatta","Diurnal","behavioral","air (unspecified; per table notes)",6.3,6.3,"6.3","Moran et al., 1983","Kirk_Kay_2004_Table1"
"Otolemur crassicaudatus","Fat-tailed bush baby","Otolemur crassicaudatus","Nocturnal","behavioral","air (unspecified; per table notes)",4.8,6,"4.8–6.0","Langston et al., 1986","Kirk_Kay_2004_Table1"
"Zalophus californicus","California sea lion","Zalophus californianus","Cathemeral","behavioral","air (unspecified; per table notes)",5.4,5.7,"5.4–5.7","Schusterman and Balliet, 1970b","Kirk_Kay_2004_Table1"
"Myrmecobius fasciatus","Numbat","Myrmecobius fasciatus","Diurnal","behavioral","air (unspecified; per table notes)",5.2,5.2,"5.2","Arrese et al., 2000","Kirk_Kay_2004_Table1"
"Lagenorhynchus obliquidens","Pacific white-sided dolphin","Lagenorhynchus obliquidens","Cathemeral","behavioral","air (unspecified; per table notes)",5,5,"5.0","Spong and White, 1971","Kirk_Kay_2004_Table1"
"Eumetopias jubata","Stellar sea lion","Eumetopias jubatus","Cathemeral","behavioral","water",4.2,4.2,"4.2 (water)","Schusterman and Balliet, 1970a","Kirk_Kay_2004_Table1"
"Spermophilus beecheyi","California ground squirrel","Spermophilus beecheyi","Diurnal","behavioral","air (unspecified; per table notes)",4,4,"4.0","Jacobs et al., 1980","Kirk_Kay_2004_Table1"
