"check_value_id","check_species","check_trait","check_value","status","figure_value","figure_id"
"SensoryData_r009_interaural_distance_functional","Aotus trivirgatus","interaural_distance_functional","225","differs_from_digitisation","227.94616779502","10"
"SensoryData_r013_interaural_distance_functional","Bos taurus","interaural_distance_functional","1281","differs_from_digitisation","1282.02978692425","55"
"SensoryData_r018_interaural_distance_functional","Canis lupus familiaris","interaural_distance_functional","435","differs_from_digitisation","437.640559272371","46"
"SensoryData_r021_audible_freq_high_60dBSPL","Carollia perspicillata","audible_freq_high_60dBSPL","150","species_not_in_figure","",""
"SensoryData_r021_interaural_distance_functional","Carollia perspicillata","interaural_distance_functional","47","species_not_in_figure","",""
"SensoryData_r022_audible_freq_high_60dBSPL","Cavia porcellus","audible_freq_high_60dBSPL","49","differs_from_digitisation","49.1938881917886","44"
"SensoryData_r022_interaural_distance_functional","Cavia porcellus","interaural_distance_functional","160","differs_from_digitisation","162.053962890438","44"
"SensoryData_r024_interaural_distance_functional","Cercopithecus aethiops","interaural_distance_functional","400","differs_from_digitisation","400.400593648244","16"
"SensoryData_r026_interaural_distance_functional","Cercopithecus neglectus","interaural_distance_functional","421.674916650853","agree_digitised","421.674916650853","18"
"SensoryData_r028_interaural_distance_functional","Chinchilla laniger","interaural_distance_functional","225","differs_from_digitisation","227.740585981287","45"
"SensoryData_r034_audible_freq_high_60dBSPL","Cynomys leucurus","audible_freq_high_60dBSPL","26","differs_from_digitisation","26.1340652554299","27"
"SensoryData_r034_interaural_distance_functional","Cynomys leucurus","interaural_distance_functional","120","differs_from_digitisation","121.190338572031","27"
"SensoryData_r035_audible_freq_high_60dBSPL","Cynomys ludovicianus","audible_freq_high_60dBSPL","26","differs_from_digitisation","26.1340652554299","26"
"SensoryData_r035_interaural_distance_functional","Cynomys ludovicianus","interaural_distance_functional","134","differs_from_digitisation","134.448687079661","26"
"SensoryData_r040_audible_freq_high_60dBSPL","Delphinapterus leucas","audible_freq_high_60dBSPL","123.978139484869","differs_from_digitisation","","61"
"SensoryData_r041_audible_freq_high_60dBSPL","Delphinus delphis","audible_freq_high_60dBSPL","150","species_not_in_figure","",""
"SensoryData_r045_audible_freq_high_60dBSPL","Didelphis virginiana","audible_freq_high_60dBSPL","68","differs_from_digitisation","68.8410910216144","1"
"SensoryData_r045_interaural_distance_functional","Didelphis virginiana","interaural_distance_functional","273","differs_from_digitisation","276.602421898069","1"
"SensoryData_r046_audible_freq_high_60dBSPL","Dipodomys merriami","audible_freq_high_60dBSPL","52","differs_from_digitisation","51.8564956341558","32"
"SensoryData_r046_interaural_distance_functional","Dipodomys merriami","interaural_distance_functional","90","differs_from_digitisation","90.2153206583042","32"
"SensoryData_r048_audible_freq_high_60dBSPL","Elephas maximus","audible_freq_high_60dBSPL","10.5","differs_from_digitisation","10.4582305764106","52"
"SensoryData_r048_interaural_distance_functional","Elephas maximus","interaural_distance_functional","3350","differs_from_digitisation","3378.09356981239","52"
"SensoryData_r052_audible_freq_high_60dBSPL","Eptesicus fuscus","audible_freq_high_60dBSPL","104","differs_from_digitisation","106.342500351946","Ef"
"SensoryData_r052_interaural_distance_functional","Eptesicus fuscus","interaural_distance_functional","55","differs_from_digitisation","55.7966226071059","Ef"
"SensoryData_r053_interaural_distance_functional","Equus caballus","interaural_distance_functional","684","differs_from_digitisation","687.571286813575","53"
"SensoryData_r056_interaural_distance_functional","Eulemur fulvus","interaural_distance_functional","272.261451822322","agree_digitised","272.261451822322","6"
"SensoryData_r059_interaural_distance_functional","Felis catus","interaural_distance_functional","258","differs_from_digitisation","258.824374766844","47"
"SensoryData_r060_interaural_distance_functional","Galago senegalensis","interaural_distance_functional","212","differs_from_digitisation","211.773244133673","9"
"SensoryData_r061_audible_freq_high_60dBSPL","Geomys bursarius","audible_freq_high_60dBSPL","8.7","differs_from_digitisation","8.75382101225309","29"
"SensoryData_r061_interaural_distance_functional","Geomys bursarius","interaural_distance_functional","111","differs_from_digitisation","113.100910380024","29"
"SensoryData_r063_audible_freq_high_60dBSPL","Hemiechinus auritus","audible_freq_high_60dBSPL","59.551774050535","agree_digitised","59.551774050535","4"
"SensoryData_r063_interaural_distance_functional","Hemiechinus auritus","interaural_distance_functional","167","differs_from_digitisation","170.75817377556","4"
"SensoryData_r064_audible_freq_high_60dBSPL","Heterocephalus glaber","audible_freq_high_60dBSPL","11.5","differs_from_digitisation","11.4688332575195","30"
"SensoryData_r064_interaural_distance_functional","Heterocephalus glaber","interaural_distance_functional","61","differs_from_digitisation","62.0651160487937","30"
"SensoryData_r068_audible_freq_high_60dBSPL","Inia geoffrensis","audible_freq_high_60dBSPL","99.8172529711836","differs_from_digitisation","105.644128666402","58"
"SensoryData_r068_interaural_distance_functional","Inia geoffrensis","interaural_distance_functional","79.4072753300762","differs_from_digitisation","80.8411317153269","58"
"SensoryData_r074_interaural_distance_functional","Macaca fascicularis","interaural_distance_functional","410","differs_from_digitisation","","13"
"SensoryData_r075_interaural_distance_functional","Macaca fuscata","interaural_distance_functional","465","differs_from_digitisation","460.71813005452","15"
"SensoryData_r076_interaural_distance_functional","Macaca mulatta","interaural_distance_functional","424","differs_from_digitisation","421.64519309213","14"
"SensoryData_r077_interaural_distance_functional","Macaca nemestrina","interaural_distance_functional","470","differs_from_digitisation","474.589090209156","12"
"SensoryData_r081_audible_freq_high_60dBSPL","Marmosa elegans","audible_freq_high_60dBSPL","80","differs_from_digitisation","78.021856492046","2"
"SensoryData_r081_interaural_distance_functional","Marmosa elegans","interaural_distance_functional","60","differs_from_digitisation","60.4988151862968","2"
"SensoryData_r082_interaural_distance_functional","Marmota monax","interaural_distance_functional","290.769726250498","agree_digitised","290.769726250498","25"
"SensoryData_r086_audible_freq_high_60dBSPL","Meriones unguiculatus","audible_freq_high_60dBSPL","58","differs_from_digitisation","58.3861983172564","37"
"SensoryData_r086_interaural_distance_functional","Meriones unguiculatus","interaural_distance_functional","87","differs_from_digitisation","87.6007976161909","37"
"SensoryData_r090_audible_freq_high_60dBSPL","Monodelphis domestica","audible_freq_high_60dBSPL","77","differs_from_digitisation","76.4947754933287","3"
"SensoryData_r090_interaural_distance_functional","Monodelphis domestica","interaural_distance_functional","114","differs_from_digitisation","116.182936664877","3"
"SensoryData_r092_audible_freq_high_60dBSPL","Mus musculus","audible_freq_high_60dBSPL","92","differs_from_digitisation","91.9927976001962|79.0568095236125","41|42"
"SensoryData_r092_interaural_distance_functional","Mus musculus","interaural_distance_functional","40","differs_from_digitisation","40.5496301041008|61.8615718553541","41|42"
"SensoryData_r093_interaural_distance_functional","Mus musculus","interaural_distance_functional","61.8615718553541","agree_digitised","61.8615718553541","42"
"SensoryData_r094_audible_freq_high_60dBSPL","Mustela nivalis","audible_freq_high_60dBSPL","60.5","differs_from_digitisation","60.3417230707182","48"
"SensoryData_r094_interaural_distance_functional","Mustela nivalis","interaural_distance_functional","76","differs_from_digitisation","76.6597961703642","48"
"SensoryData_r095_audible_freq_high_60dBSPL","Mustela putorius","audible_freq_high_60dBSPL","42","differs_from_digitisation","42.5557362730475","49"
