"Code","Definition","Structure","Measure","Stat","role","taxon","Reference","Note","Source Note"
"figure_id","Point label in Figure 6: two-letter codes for the 5 bats, numbers 1-64 for other species (61 = Figure 7 only)","","","","info","","Koay_etal_1998_Figure6","",""
"Species_Koay1998","Species binomial verbatim as printed in the Figure 6 caption (misprints kept; see crosswalk)","","","","info","","Koay_etal_1998_Figure6","",""
"common_name_Koay1998","Common name verbatim as printed in the caption","","","","info","","Koay_etal_1998_Figure6","",""
"corrected_binomial","Corrected/modern binomial from the species crosswalk (printed name where no correction needed)","","","","info","","Koay_etal_1998_Figure6","",""
"functional_interaural_distance_us","Functional interaural distance: time for sound to travel from one auditory meatus to the other, microseconds; smaller in water (faster sound, direct path through head)","","time.us","value","secondary","Mammalia (67 digitised points)","Koay_etal_1998_Figure6","digitised from the figure's log axis; not printed numerically anywhere in the paper",""
"high_freq_hearing_limit_60dB_kHz","High-frequency hearing limit: highest frequency audible at 60 dB SPL, kHz","","freq.kHz","threshold","both","Mammalia (67 digitised points)","Koay_etal_1998_Figure6","Ra (Rousettus) is this paper's own audiogram (primary); all other points compile the audiogram_source references (secondary); all values digitised from the figure's log axis",""
"medium","air / underwater (caption: species 58-64 tested underwater)","","","","info","","Koay_etal_1998_Figure6","",""
"marker","Printed symbol: open_circle_bat, filled_circle, filled_triangle_subterranean, open_triangle_marine, figure7_only","","","","info","","Koay_etal_1998_Figure6","",""
"excluded_from_correlation","TRUE for subterranean and marine species (and the Figure-7-only beluga): the caption excludes them from the printed regression","","","","note","","Koay_etal_1998_Figure6","",""
"audiogram_source","Audiogram reference for the point, verbatim from the caption","","","","note","","Koay_etal_1998_Figure6","",""
"value_origin","digitised_from_figure for every value (the paper prints no comparative table); empty where no value","","","","note","","Koay_etal_1998_Figure6","",""
"Method:digitisation","Values digitised from Figure 6 (log-log axes) by the Bath team (2021, hearing data.xlsx sheet 'Koay 1998 extract'), frozen verbatim as the snapshot; point 13 not recoverable (dense cluster); an older digitisation pass survives in Meeting 23 July/hearing data.xlsx","","","","method","","Koay_etal_1998_Figure6","",""
"Method:units","kHz and microseconds as printed on the axes; no conversions","","","","method","","Koay_etal_1998_Figure6","",""
