figure_id,binomial_as_printed,corrected_binomial,basis,note
16,Cercopithecus aithiops,Chlorocebus aethiops,misprint_plus_genus_change,"printed 'aithiops' (verified on page image); aethiops; vervet now Chlorocebus"
23,Sylvilagus floridana,Sylvilagus floridanus,misprint,"verified on page image"
28,Sciureus niger,Sciurus niger,misprint,"genus misspelled in caption"
43,Mesocricetus auritus,Mesocricetus auratus,misprint,"golden hamster; printed 'auritus' verified on page image"
45,Chinchilla laniger,Chinchilla lanigera,older_form,
60,Orcina orca,Orcinus orca,misprint,"verified on page image"
13,Macaca irus,Macaca fascicularis,junior_synonym,"crab-eating macaque; irus is a junior synonym"
6,Lemur fulvus,Eulemur fulvus,genus_change,"brown lemur moved to Eulemur"
2,Marmosa elegans,Thylamys elegans,genus_change,"elegant fat-tailed opossum moved to Thylamys"
31,Spalax ehrenbergi,Nannospalax ehrenbergi,genus_change,"as printed Spalax; modern usage Nannospalax"
19,Papio cynocephalus,Papio cynocephalus,as_printed,"audiogram author printed 'Heinz' (usually spelled Hienz in the literature); name kept as printed in the key"
