population,specimen_id,structure_var,structure_label,volume_mm3,brain_weight_g,total_brain_volume_mm3,note
feral (Galapagos),A23,medulla_oblongata_mm3,Medulla oblongata,6395,98.5,95077,
feral (Galapagos),A23,cerebellum_mm3,Cerebellum,11532,98.5,95077,
feral (Galapagos),A23,mesencephalon_mm3,Mesencephalon,4010,98.5,95077,
feral (Galapagos),A23,diencephalon_mm3,Diencephalon,6939,98.5,95077,
feral (Galapagos),A23,telencephalon_mm3,Telencephalon,62946,98.5,95077,
feral (Galapagos),A23,neocortex_mm3,Neocortex,47192,98.5,95077,
feral (Galapagos),A23,corpus_striatum_mm3,Corpus striatum,3335,98.5,95077,
feral (Galapagos),A23,allocortex_mm3,Allocortex,12419,98.5,95077,
feral (Galapagos),A23,bulbus_olfactorius_mm3,Bulbus olfactorius,887,98.5,95077,damaged olfactory bulb (footnote a)
feral (Galapagos),A23,regio_retrobulbaris_mm3,Regio retrobulbaris,406,98.5,95077,
feral (Galapagos),A23,regio_praepiriformis_mm3,Regio praepiriformis,2933,98.5,95077,
feral (Galapagos),A23,amygdaloid_complex_mm3,Amygdaloid complex,1061,98.5,95077,
feral (Galapagos),A23,amygdaloid_centromedial_mm3,Amygdaloid complex a) centromedial group,414,98.5,95077,
feral (Galapagos),A23,amygdaloid_basolateral_mm3,Amygdaloid complex b) basolateral group,647,98.5,95077,
feral (Galapagos),A23,tuberculum_olfactorium_mm3,Tuberculum olfactorium,721,98.5,95077,
feral (Galapagos),A23,nuclei_basalis_mm3,Nuclei basalis,753,98.5,95077,
feral (Galapagos),A23,palaeocortex_amygdaloid_mm3,Palaeocortex + Amygdaloid complex,5874,98.5,95077,
feral (Galapagos),A23,septum_mm3,Septum,674,98.5,95077,
feral (Galapagos),A23,hippocampus_mm3,Hippocampus,3852,98.5,95077,
feral (Galapagos),A23,schizocortex_mm3,Schizocortex,1131,98.5,95077,
feral (Galapagos),A23,limbic_structures_mm3,limbic structures,5657,98.5,95077,
feral (Galapagos),A21,medulla_oblongata_mm3,Medulla oblongata,6678,99.6,96139,
feral (Galapagos),A21,cerebellum_mm3,Cerebellum,10419,99.6,96139,
