Table 2. Brain weights (in g) and absolute volumes (in mm3) of diverse brain structures in wild cavies and their relative sizes expressed as percentages of pure brain volumes (in parentheses).

,
Prep. no./sex,19269 M,19263 M,19267 M,19256 F,19255 F,19257 F
Total brain weight,5.08,4.99,4.8,5.12,4.98,4.66
Total brain volume,4903.475,4816.602,4633.205,4942.085,4806.95,4498.069
Rest tissue,107.483,121.655,138.197,138.622,172.125,128.561
Ventricle,41.518,48.533,32.92,53.624,26.9,38.823
Pure brain tissue,4754.474 (100.00),4646.414 (100.00),4462.088 (100.00),4749.839 (100.00),4607.925 (100.00),4330.685 (100.00)

Medulla oblongata,451.855 (9.5),439.797 (9.47),400.874 (8.98),411.301 (8.66),453.304 (9.84),418.884 (9.67)
Cerebellum,678.657 (14.27),757.298 (16.3),546.788 (12.25),609.631 (12.83),741.572 (16.09),562.94 (13.0)
Mesencephalon,448.557 (9.44),431.672 (9.29),396.245 (8.88),406.549 (8.56),406.411 (8.82),360.479 (8.32)
Diencephalon,440.215 (9.26),403.452 (8.68),422.822 (9.48),442.676 (9.32),411.318 (8.93),399.643 (9.23)
Telencephalon,2735.19 (57.53),2614.195 (56.26),2695.359 (60.41),2879.682 (60.63),2595.32 (56.32),2588.739 (59.78)
Neocortex (total),1624.662 (34.17),1543.886 (33.23),1577.608 (35.36),1694.457 (35.67),1515.679 (32.89),1538.464 (35.52)
Corpus striatum,192.655 (4.05),178.314 (3.83),179.004 (4.01),183.877 (3.88),187.757 (4.07),184.923 (4.27)
Allocortex (total),917.873 (19.31),891.995 (19.21),938.747 (21.04),1001.348 (21.08),891.884 (19.36),865.352 (19.99)
Neocortex (grey matter),1335.971 (28.1),1270.216 (27.34),1295.555 (29.03),1352.751 (28.48),1250.131 (27.13),1271.467 (29.36)
Neocortex (white matter),288.691 (6.07),273.67 (5.89),282.053 (6.33),341.706 (7.19),265.548 (5.76),266.997 (6.16)
Olfactory allocortex,399.665 (8.41),382.07 (8.22),394.189 (8.84),407.689 (8.58),364.242 (7.91),347.706 (8.03)
Bulbus olfactorius,100.498 (2.11),107.757 (2.32),103.562 (2.32),107.247 (2.26),101.056 (2.19),92.29 (2.13)
Regio retrobulbaris,10.477 (0.22),13.898 (0.3),11.83 (0.27),12.931 (0.27),8.725 (0.19),11.578 (0.27)
Tuberculum olfactorium,38.802 (0.82),32.927 (0.71),36.864 (0.83),39.933 (0.84),32.716 (0.71),34.907 (0.81)
Regio praepiriformis,114.468 (2.41),113.53 (2.44),113.68 (2.55),118.655 (2.5),107.237 (2.33),95.696 (2.21)
Nucleus amygaloideus,104.572 (2.2),86.805 (1.87),100.819 (2.26),94.696 (1.99),87.062 (1.89),87.693 (2.02)
Basal nuclei,30.848 (0.65),27.153 (0.58),27.434 (0.61),34.227 (0.72),27.446 (0.6),25.542 (0.59)
Non-olfactory allocortex,518.208 (10.9),509.925 (10.98),544.558 (12.2),593.659 (12.5),527.642 (11.45),517.646 (11.96)
Septum telencephali,52.19 (1.1),51.528 (1.12),50.237 (1.13),60.278 (1.27),57.98 (1.26),49.722 (1.15)
Hippocampus,338.358 (7.12),345.295 (7.43),357.152 (8.0),398.752 (8.4),346.976 (7.53),351.965 (8.13)
Schizocortex,127.66 (2.68),113.102 (2.43),137.169 (3.07),134.629 (2.83),122.686 (2.66),115.959 (2.68)
Tractus opticus,23.864 (0.5),26.085 (0.56),23.49 (0.53),23.008 (0.48),23.992 (0.52),20.093 (0.46)
Corpus geniculatum laterale,15.327 (0.34),17.746 (0.38),14.745 (0.33),16.354 (0.34),11.087 (0.24),14.985 (0.35)
Nucleus cochlearis,17.849 (0.38),18.387 (0.4),16.632 (0.37),18.255 (0.38),21.266 (0.46),17.369 (0.4)

Percentages in parentheses are the printed % of pure brain tissue (=100.00%).
