Variable,Definition,Topic,Measure,Units,Data role,Taxon,Item name,N.B.,Source
population,"wild cavy (Cavia aperea) or guinea pig (Cavia aperea f. porcellus, domesticated)",Taxonomy,Population,,provenance,Mammals,Kruska__2014_Tables2-3,,Tables 2-3
specimen_id,Preparation number as printed,provenance,Specimen_id,,provenance,Mammals,Kruska__2014_Tables2-3,,Tables 2-3
sex,M or F as printed,provenance,Sex,,provenance,Mammals,Kruska__2014_Tables2-3,,Tables 2-3
structure_var,Machine-readable snake_case structure key,Brain,Structure_var,,provenance,Mammals,Kruska__2014_Tables2-3,,Tables 2-3
structure_label,Structure name as printed (including the paper's own spelling ""Nucleus amygaloideus""),Brain,Structure_label,,provenance,Mammals,Kruska__2014_Tables2-3,,Tables 2-3
volume_mm3,"Fresh (unfixed) volume of the structure, mm3, from serial-section reconstruction",Brain,Volume.mm3,mm3,primary,Mammals,Kruska__2014_Tables2-3,"Fully hierarchical and internally consistent: Telencephalon = Neocortex(total)+CorpusStriatum+Allocortex(total); Neocortex(total)=grey+white; Allocortex(total)=Olfactory+Non-olfactory allocortex; Olfactory allocortex = Bulbus+RegioRetrobulbaris+TuberculumOlfactorium+RegioPraepiriformis+NucleusAmygaloideus+BasalNuclei; Non-olfactory allocortex=Septum+Hippocampus+Schizocortex; PureBrainTissue=Medulla+Cerebellum+Mesencephalon+Diencephalon+Telencephalon. ALL verified exact (<0.01mm3) for all 12 specimens -- unlike the companion Kruska_Rohrs_1974 table, this one fully reconciles.",Tables 2-3
pct_of_pure_brain,"Printed percentage of pure brain tissue (=100%) for this structure, as printed in parentheses in the source -- not recomputed",Brain,PctOfPureBrain,%,primary,Mammals,Kruska__2014_Tables2-3,"Used as printed rather than recomputed from volume_mm3/pure_brain_tissue_mm3 to avoid introducing rounding drift versus the source's own rounding",Tables 2-3
total_brain_weight_g,Fresh total brain weight in grams,Brain,Brain_Mass.g,g,primary,Mammals,Kruska__2014_Tables2-3,,Tables 2-3
total_brain_volume_mm3,"Fresh total brain volume (before subtracting rest tissue and ventricle), mm3",Brain,TotalBrainVolume.mm3,mm3,primary,Mammals,Kruska__2014_Tables2-3,,Tables 2-3
rest_tissue_mm3,"Non-brain rest tissue included in the raw serial-section reconstruction, subtracted to obtain pure brain tissue",provenance,RestTissue.mm3,mm3,primary,Mammals,Kruska__2014_Tables2-3,,Tables 2-3
ventricle_mm3,"Ventricular space volume, subtracted to obtain pure brain tissue",provenance,Ventricle.mm3,mm3,primary,Mammals,Kruska__2014_Tables2-3,,Tables 2-3
pure_brain_tissue_mm3,"total_brain_volume_mm3 minus rest_tissue_mm3 minus ventricle_mm3; the 100% reference base for all pct_of_pure_brain values",Brain,PureBrainTissue.mm3,mm3,primary,Mammals,Kruska__2014_Tables2-3,"Verified: total_brain_volume - rest_tissue - ventricle = pure_brain_tissue exactly for all 12 specimens",Tables 2-3
