Species,species_as_published,sex,n,structure_as_published,weight_mean_mg,weight_se_mg,weight_cv_pct,weight_cv_se_pct,source_location,data_role
Canis lupus familiaris,dog,male,162,Brain,76918,580,14.24,0.54,"Table I panel A, p. 43",primary
Canis lupus familiaris,dog,male,162,Olfactory bulbs,1542,17,21.41,0.84,"Table I panel A, p. 43",primary
Canis lupus familiaris,dog,male,162,Hemispheres and dien.,61975,480,14.61,0.56,"Table I panel A, p. 43",primary
Canis lupus familiaris,dog,male,162,Prosencephalon,63517,492,14.62,0.56,"Table I panel A, p. 43",primary
Canis lupus familiaris,dog,male,162,Mesencephalon,2045,18,16.31,0.63,"Table I panel A, p. 43",primary
Canis lupus familiaris,dog,male,162,Cerebellum,7369,61,15.59,0.6,"Table I panel A, p. 43",primary
Canis lupus familiaris,dog,male,162,Medulla,3986,36,16.94,0.65,"Table I panel A, p. 43",primary
Canis lupus familiaris,dog,male,162,Rhombencephalon,11355,91,15.12,0.58,"Table I panel A, p. 43",primary
Canis lupus familiaris,dog,female,159,Brain,73000,570,14.6,0.56,"Table I panel A, p. 43",primary
Canis lupus familiaris,dog,female,159,Olfactory bulbs,1473,18,23.31,0.93,"Table I panel A, p. 43",primary
Canis lupus familiaris,dog,female,159,Hemispheres and dien.,58967,477,15.13,0.59,"Table I panel A, p. 43",primary
Canis lupus familiaris,dog,female,159,Prosencephalon,60438,491,15.18,0.59,"Table I panel A, p. 43",primary
Canis lupus familiaris,dog,female,159,Mesencephalon,1915,14,13.52,0.52,"Table I panel A, p. 43",primary
Canis lupus familiaris,dog,female,159,Cerebellum,6954,53,14.2,0.55,"Table I panel A, p. 43",primary
Canis lupus familiaris,dog,female,159,Medulla,3691,35,17.65,0.69,"Table I panel A, p. 43",primary
Canis lupus familiaris,dog,female,159,Rhombencephalon,10645,83,14.51,0.56,"Table I panel A, p. 43",primary
