species_as_published,sex,n,structure_as_published,weight_mean_g,weight_se_g,weight_cv_pct,weight_cv_se_pct
dog,male,162,Brain,76.918,0.58,14.24,0.54
dog,male,162,Olfactory bulbs,1.542,0.017,21.41,0.84
dog,male,162,Hemispheres and dien.,61.975,0.48,14.61,0.56
dog,male,162,Prosencephalon,63.517,0.492,14.62,0.56
dog,male,162,Mesencephalon,2.045,0.018,16.31,0.63
dog,male,162,Cerebellum,7.369,0.061,15.59,0.6
dog,male,162,Medulla,3.986,0.036,16.94,0.65
dog,male,162,Rhombencephalon,11.355,0.091,15.12,0.58
dog,female,159,Brain,73.0,0.57,14.6,0.56
dog,female,159,Olfactory bulbs,1.473,0.018,23.31,0.93
dog,female,159,Hemispheres and dien.,58.967,0.477,15.13,0.59
dog,female,159,Prosencephalon,60.438,0.491,15.18,0.59
dog,female,159,Mesencephalon,1.915,0.014,13.52,0.52
dog,female,159,Cerebellum,6.954,0.053,14.2,0.55
dog,female,159,Medulla,3.691,0.035,17.65,0.69
dog,female,159,Rhombencephalon,10.645,0.083,14.51,0.56
