Code,Definition,Structure,Measure,Stat,role,taxon,Reference,Note,Source Note
Species,"accepted binomial (Stephan-collection key, Latimer1942 token)",,,,info,Canis lupus familiaris,Latimer__1942_TABLEI,,
species_as_published,"species name as printed (""dog"")",,,,info,Canis lupus familiaris,Latimer__1942_TABLEI,,
sex,"male/female, reported separately (162 male, 159 female adult dogs)",,,,info,Canis lupus familiaris,Latimer__1942_TABLEI,,
n,number of dogs in the sex group (162 or 159),,,,info,Canis lupus familiaris,Latimer__1942_TABLEI,,
structure_as_published,row label as printed in Table I Panel A: Brain / Olfactory bulbs / Hemispheres and dien. / Prosencephalon / Mesencephalon / Cerebellum / Medulla / Rhombencephalon / Cord weight / Cord length / Body weight / Body length,,,,info,Canis lupus familiaris,Latimer__1942_TABLEI,Prosencephalon = hemispheres+diencephalon+olfactory bulbs; Rhombencephalon = cerebellum+medulla,
measure,mass or length,,,,info,Canis lupus familiaris,Latimer__1942_TABLEI,,
value_mean_mg,"mean value in mg, for mass rows only (project unit; g x1000 or kg x1,000,000 -- see Method row)",Brain,Mass.mg,mean,primary,Canis lupus familiaris,Latimer__1942_TABLEI,blank for length rows,
value_se_mg,"SE of the mean, mg, mass rows only",Brain,Mass.mg,se,primary,Canis lupus familiaris,Latimer__1942_TABLEI,,
value_mean_cm,"mean value in cm, for length rows only (printed unit, no project-unit conversion defined for length)",Brain,Length.cm,mean,primary,Canis lupus familiaris,Latimer__1942_TABLEI,blank for mass rows,
value_se_cm,"SE of the mean, cm, length rows only",Brain,Length.cm,se,primary,Canis lupus familiaris,Latimer__1942_TABLEI,,
cv_pct,"printed coefficient of variation, percent",Brain,pct.CV,mean,primary,Canis lupus familiaris,Latimer__1942_TABLEI,,
cv_se_pct,"printed SE of the coefficient of variation, percent",Brain,pct.CV,se,primary,Canis lupus familiaris,Latimer__1942_TABLEI,,
source_location,page/table location of the printed values,,,,info,Canis lupus familiaris,Latimer__1942_TABLEI,,
data_role,primary (measured) vs secondary,,,,info,Canis lupus familiaris,Latimer__1942_TABLEI,,
Method:unit_conversion,"mass rows converted to mg (g x1000, kg x1,000,000); length rows kept in printed cm",,,,method,Canis lupus familiaris,Latimer__1942_TABLEI,,
