Code,Definition,Structure,Measure,Stat,role,taxon,Reference,Note,Source Note
Species,"accepted binomial (Stephan-collection key, Latimer1942 token)",,,,info,Canis lupus familiaris,Latimer__1942_Table1_brain,,
species_as_published,"species name as printed (""dog"")",,,,info,Canis lupus familiaris,Latimer__1942_Table1_brain,,
sex,"male/female, reported separately (162 male, 159 female adult dogs)",,,,info,Canis lupus familiaris,Latimer__1942_Table1_brain,,
n,number of dogs in the sex group (162 or 159),,,,info,Canis lupus familiaris,Latimer__1942_Table1_brain,,
structure_as_published,brain division as printed in Table I Panel A row label,,,,info,Canis lupus familiaris,Latimer__1942_Table1_brain,Brain / Olfactory bulbs / Hemispheres and dien. / Prosencephalon (=Hemispheres+dien.+Olfactory bulbs) / Mesencephalon / Cerebellum / Medulla / Rhombencephalon (=Cerebellum+Medulla),
weight_mean_mg,"mean wet weight of the structure, converted from printed grams (g x 1000) per project unit convention (brain weight in mg)",Brain,Mass.mg,mean,primary,Canis lupus familiaris,Latimer__1942_Table1_brain,printed value in g is g = weight_mean_mg/1000; see snapshot for the original grams,
weight_se_mg,"standard error of the mean weight, converted to mg",Brain,Mass.mg,se,primary,Canis lupus familiaris,Latimer__1942_Table1_brain,,
weight_cv_pct,"printed coefficient of variation of the weight, percent",Brain,pct.CV,mean,primary,Canis lupus familiaris,Latimer__1942_Table1_brain,,
weight_cv_se_pct,"printed standard error of the coefficient of variation, percent",Brain,pct.CV,se,primary,Canis lupus familiaris,Latimer__1942_Table1_brain,,
source_location,page/table location of the printed values,,,,info,Canis lupus familiaris,Latimer__1942_Table1_brain,,
data_role,primary (measured) vs secondary (compiled elsewhere),,,,info,Canis lupus familiaris,Latimer__1942_Table1_brain,,
Method:unit_conversion,brain weight project unit is mg; printed values were grams (see __HOWTO_build_a_dataset_file.md §6),,,,method,Canis lupus familiaris,Latimer__1942_Table1_brain,g x 1000 = mg,
